date,QUAM SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,NANYANG COMMERCIAL BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD
2024-04-02,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,0.0,81.18556111835036,0.0,0.0,0.0,0.0,18.814438881649636,0.0
2024-04-26,0.0,67.17634778683669,0.0,0.0,0.0,0.0,15.422085554959988,17.401566658203325
2024-05-14,0.0,67.1447772837928,0.0,0.0,0.0,0.0,15.41483772123582,17.440384994971378
2024-05-20,0.0,51.89908410385491,0.0,22.72280865118106,0.0,0.0,11.93065669535359,13.447450549610435
2024-05-21,0.0,51.82602581193326,0.0,22.878426087338674,0.0,0.0,11.756002519666584,13.539545581061482
2024-05-27,0.0,52.59652409199709,0.0,23.21855998097022,0.0,0.0,11.930779180232816,12.254136746799874
2024-06-28,0.0,52.60043414909751,0.0,23.22028606262452,0.0,0.0,11.931666121502275,12.2476136667757
2024-07-02,0.0,52.602389395662804,0.0,23.221149199693706,0.0,0.0,11.932109641590651,12.244351763052835
2024-07-03,0.0,52.6041511790419,0.0,23.22028606262452,0.0,0.0,11.931666121502275,12.243896636831305
2024-07-11,0.0,52.584605323781645,0.0,23.211658219758334,0.0,0.0,11.927232733379903,12.276503723080125
2024-07-22,0.0,52.89092667656027,0.0,23.0617021433687,0.0,0.0,11.850178306421247,12.197192873649781
2024-08-01,0.0,53.38585141903172,0.0,23.279125924159313,0.0,0.0,11.961900787025996,11.373121869782972
2024-08-07,0.0,47.02480206924623,0.0,20.505363496711002,0.0,11.91523443141683,10.536612265798354,10.017987736827594
2024-08-21,0.0,47.012456847328146,0.0,20.499980310567974,0.0,11.912106375438091,10.533846133651863,10.041610333013926
2024-08-28,0.0,47.029839386941,0.0,20.493255301280705,0.0,11.908198614318707,10.530390510182658,10.038316187276926
2024-10-03,0.0,41.56040015416325,0.0,17.44669917500321,13.293787109495003,10.13511626478096,8.964927861655244,8.599069434902336
2024-10-04,32.13554410135131,28.18434488606639,0.0,11.74238055403134,8.986765075848222,6.8213701025419775,6.32325407135608,5.806341208804676
2024-10-07,29.81026645245317,25.993897873520826,7.8156809524965665,10.895906920385194,8.321493823780655,6.33138180262498,5.6092903243090735,5.22208185042953
2024-10-08,29.831078788474553,25.73452716833839,7.8211375484139065,10.903514006905082,8.327303558018913,6.519069123705856,5.613206506516207,5.250163299627099
2024-10-09,29.80870669788171,25.70825095991284,7.815272014719571,10.895336816771515,8.32105842049254,6.6188255514083405,5.586323647209726,5.246225891603765
2024-10-10,29.722137048597563,25.576201889500343,7.792575110615959,10.863694870791766,8.296892625027615,6.947408517498496,5.570099995381147,5.230989942587103
2024-10-14,29.70818795526321,25.536387196374733,7.7611065693621475,10.858596358075104,8.292998755302756,7.046702358834075,5.567485854796632,5.2285349519913416
2024-10-15,29.693220172198988,25.59822664064094,7.757196315406456,10.853125505564194,8.288820519776976,7.018829364891843,5.564680805878361,5.225900675642244
2024-10-16,29.694251948870015,25.595641336198042,7.757465861590547,10.853502628747178,8.28910853877906,7.0190732543842795,5.564874166780408,5.226082264650474
2024-10-17,29.683937407724304,25.614539134900298,7.754771242411267,10.84973257588873,8.293176412657065,7.016635121912993,5.562941162249336,5.224266942256011
2024-10-18,29.68342186876286,25.6140942716491,7.754636560591344,10.849544141996443,8.293032380027697,7.018250020459041,5.562844547273029,5.2241762092404835
2024-10-21,29.682390844560175,25.616677992268766,7.754367210985616,10.849167293847065,8.29274432977745,7.018006248509042,5.56265132738789,5.2239947526639945
2024-11-08,29.68135989197821,25.615788253283256,7.754097880090422,10.84879047187567,8.29592957966225,7.0177624934928104,5.562458120924887,5.2238133086924945
2024-11-11,29.680844442542664,25.610133577255244,7.7539632216586645,10.848602070705864,8.313151610768205,7.017640622334303,5.551941863301849,5.223722591433206
2024-11-18,29.662814984143278,25.655321274141745,7.749253121256841,10.842012149718139,8.308101834592721,7.013377796864255,5.54856936812052,5.220549471162504
2024-11-19,29.661785390938245,25.65443078062416,7.748984145491663,10.841635824610622,8.307813461247166,7.013134363254606,5.548376777858197,5.223839255975343
2024-12-12,29.65663849683924,25.649979240143438,7.7476395467007935,10.839754590871188,8.306371894749539,7.011917448649027,5.547414027055416,5.240284754991354
2024-12-23,29.661785390938245,25.65443078062416,7.748984145491663,10.841635824610622,8.307813461247166,6.995779415560335,5.548376777858197,5.241194203669614
2025-01-02,29.670539212091718,25.63248982838807,7.751271034849021,10.844835420985852,8.31026527297251,6.997844018247794,5.55001422136894,5.24274099109609
2025-01-03,29.667964022503917,25.638944393857738,7.750598280224695,10.843894167203509,8.309544001665312,6.9972366556743,5.549532520017547,5.242285958852985
2025-01-13,29.72420469508442,25.715373724579237,7.765290857708289,10.864450613237105,8.32529615584537,6.793107746967205,5.560052602932452,5.25222360364592
2025-01-16,29.723687756493618,25.71666562087786,7.765155810242617,10.86426166776834,8.325151369234359,6.792989606899813,5.559955907132284,5.25213226135111
2025-01-20,29.72265393325113,25.715771166365485,7.764885729402585,10.86388379654601,8.328339923428663,6.79275333909216,5.559762525621514,5.251949586292453
2025-02-11,29.70818795526321,25.70325533314042,7.7611065693621475,10.858596358075104,8.372956404169646,6.78944731465365,5.557056596248777,5.249393469087052
2025-02-12,29.69476786409504,25.691644391725575,7.802773680158487,10.853691200167015,8.369174085353691,6.786380315007581,5.5545463049358,5.247022158556809
2025-02-13,29.697863731957224,25.72907502244639,7.758409420769836,10.854822766304405,8.370046624826049,6.787087838191934,5.555125401612804,5.247569193891357
2025-02-14,29.698379772694985,25.72778446420067,7.7585442336761625,10.85501138360022,8.370192065759927,6.787205773065866,5.555221929465328,5.247660377536844
2025-02-28,29.697863731957224,25.72907502244639,7.758409420769836,10.854822766304405,8.370046624826049,6.787087838191934,5.555125401612804,5.247569193891357
2025-03-06,29.701476393771,25.732204892247,7.759353209511782,10.856143225043697,8.358900098040687,6.787913468388135,5.555801167034527,5.248207545963176
2025-03-18,29.701992560067303,25.730914231398117,7.7594880552196095,10.85633188823223,8.359045362957744,6.788031431956954,5.5558977183733695,5.248298751794675
2025-03-19,29.70250874430428,25.72962352568903,7.7596229056143455,10.856520557978234,8.359190632923852,6.7881493996258975,5.555994273068099,5.248389960796264
