date,CCB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,KINGSTON SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,GLOBAL MASTERMIND SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,74.212408685719,0.0,0.0,25.787591314281
2024-03-08,0.0,0.0,0.0,0.0,74.19992835217741,0.0,0.0,25.8000716478226
2024-03-11,0.0,0.0,0.0,0.0,74.09776807437521,0.0,0.0,25.90223192562479
2024-03-12,0.0,0.0,0.0,0.0,74.10443516109022,0.0,0.0,25.895564838909777
2024-03-18,0.0,76.76875978127077,0.0,0.0,17.09219520621471,0.0,0.0,6.139045012514526
2024-03-19,0.0,76.76872668059845,0.0,0.0,17.09221955976396,0.0,0.0,6.1390537596376
2024-03-22,0.0,76.63678304642477,0.0,0.0,17.050989676197858,0.0,0.0,6.312227277377369
2024-03-25,0.0,59.835590445942266,0.0,21.94165361914229,13.31287659014755,0.0,0.0,4.909879344767892
2024-04-03,0.0,59.8383591653698,0.0,21.94266907559127,13.30886518578904,0.0,0.0,4.9101065732498865
2024-04-09,0.0,59.83559026008917,0.0,21.941653720673084,13.31287665175033,0.0,0.0,4.909879367487417
2024-04-10,0.0,59.82451720100801,0.0,21.937593240498472,13.30578654459354,0.0,0.0,4.932103013899973
2024-04-11,0.0,59.73757632901325,0.0,21.934548866475488,13.303940043454258,0.0,0.0,5.0239347610569975
2024-04-12,0.0,59.748631761299364,0.0,21.938608219643488,13.2832688293984,0.0,0.0,5.029491189658743
2024-04-22,0.0,59.748631761299364,0.0,21.938608219643488,13.278642163501706,0.0,0.0,5.03411785555544
2024-05-06,0.0,59.74586751962215,0.0,21.937593240498472,13.282654285362405,0.0,0.0,5.03388495451697
2024-05-08,0.0,59.74310353370572,0.0,21.936578355264157,13.286666036002506,0.0,0.0,5.033652075027613
2024-05-09,0.0,59.72928743929331,0.0,21.931505337296976,13.306719222696865,0.0,0.0,5.032488000712849
2024-05-10,0.0,53.36177120364597,0.0,19.709168161106362,12.012102471412655,10.420964911746248,0.0,4.495993252088763
2024-05-14,0.0,53.359566335097774,0.0,19.70835379299208,12.015738065650016,10.420534325256002,0.0,4.495807481004129
2024-05-17,0.0,53.355157144577326,0.0,19.706725258641335,12.023008352878978,10.419673259015767,0.0,4.4954359848865915
2024-05-22,0.0,53.35295282255993,0.0,19.705911092388188,12.026643045945047,10.419242779256953,0.0,4.4952502598498825
2024-05-30,0.0,53.37721038696763,0.0,19.714870622878017,11.98664489664726,10.423980013832102,0.0,4.497294079674995
