date,EVERBRIGHT SECURITIES INVESTMENT,HSBC BROKING SECURITIES (HONG KONG) LTD,EAST ASIA SECURITIES CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,J.P. MORGAN BROKING (HONG KONG) LTD,CELESTIAL SECURITIES LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,86.1727792933599,0.0,0.0,13.827220706640114,0.0,0.0
2024-03-08,86.08981321607978,0.0,0.0,13.910186783920233,0.0,0.0
2024-03-11,44.16445648974908,48.69955591737759,0.0,7.135987592873333,0.0,0.0
2024-03-12,44.402839057158225,48.422656063023375,0.0,7.174504879818406,0.0,0.0
2024-03-14,44.922706109124164,47.81879013214824,0.0,7.258503758727597,0.0,0.0
2024-03-18,44.584771412717956,47.45906940903406,0.0,7.1540395880704,0.0,0.8021195901775904
2024-03-19,44.44241944109836,47.314442123345145,0.0,7.1322382898102905,0.3112249435553581,0.7996752021908508
2024-03-21,44.44121865786313,47.315464745070464,0.0,7.132392441090491,0.31123167015667597,0.7996924858192369
2024-03-25,44.436416567535325,47.31035207844093,0.0,7.14242723881867,0.31119804005745494,0.7996060751476273
2024-03-27,44.921818718262394,46.73479557776526,0.0,7.220447696158318,0.31459741853155754,0.8083405892824743
2024-03-28,44.573200954633656,46.37210812692652,0.0,7.164413092038213,1.0882104000614774,0.8020674263401327
2024-04-02,44.573200954633656,46.37210812692652,0.0,7.164413092038213,1.0882104000614774,0.8020674263401327
2024-04-03,44.80826306471178,46.61665698928398,0.0,7.20219548196798,0.566587239126074,0.8062972249101822
2024-04-09,44.786605461406424,46.63494967439515,0.0,7.205021671200962,0.5668095717132375,0.8066136212842226
2024-04-12,44.06611235739595,47.49344632442376,0.0,7.08911272086045,0.5576911671478719,0.7936374301719716
2024-04-15,39.32327548626119,42.860251224140825,10.284476899979586,6.326111325969204,0.4976668516647483,0.7082182119844495
2024-04-16,39.42136902932688,42.96716790000957,10.060677803387339,6.341892073277733,0.49890830228508637,0.7099848917133922
2024-04-19,39.50842599612158,42.90542019707874,10.046219700267022,6.33277820129363,0.4981913259716623,0.7089645792673657
2024-04-22,39.42136902932688,42.96716790000957,10.060677803387339,6.341892073277733,0.49890830228508637,0.7099848917133922
2024-04-23,39.611392612398035,42.69225144289025,10.109173482035683,6.372462017571606,0.501313199566904,0.7134072455375171
2024-04-26,39.52393843570572,42.75407793405464,10.123813485873438,6.381690553273262,0.502039196324069,0.7144403947688674
2024-04-30,39.334061123832925,43.02909358856092,10.075177581490422,6.3510322156829755,0.4996273452579648,0.711008145174796
2024-05-02,40.040117657015855,41.958080397522465,10.283661756379994,6.482453195658189,0.5099660607779513,0.725720932645546
2024-05-03,40.01070178576667,41.978664718948856,10.288706844168283,6.485633438866331,0.5102162463253391,0.7260769659245212
2024-05-07,40.00128210699521,41.96878172466836,10.260779778063062,6.533154237275333,0.5100961266341101,0.7259060263639259
2024-05-14,40.017769456730775,41.98608001976849,10.265008969125189,6.486779090431884,0.5103063732261088,0.7340560907175565
2024-05-16,40.00834972704627,41.99267359791181,10.266621006704026,6.487797787219273,0.5103865127615768,0.7341713683570373
2024-05-17,40.059289449648844,41.922722546599786,10.29851283007542,6.476990466869507,0.5095363150941217,0.7329483917123135
2024-05-20,40.046732363839475,41.9095813443565,10.29528463229426,6.514142988083428,0.5093765945568997,0.7248820768694342
2024-05-21,39.98406483527844,41.84399871798847,10.52368332437288,6.415925892926216,0.508579491512444,0.723747737921555
2024-05-23,40.007542160796284,41.86856813540307,10.471145779193677,6.419693113225282,0.5088781126337114,0.7241726987479739
2024-05-27,40.08206925065471,41.94656199283949,10.30436910152078,6.431651884488708,0.5098260640143489,0.725521706481958
2024-05-28,40.06242995163827,41.92600913493844,10.299320195869354,6.4774982392670255,0.5095762608803106,0.7251662174065958
2024-05-29,40.08206925065471,41.94656199283949,10.30436910152078,6.431651884488708,0.5098260640143489,0.725521706481958
2024-05-31,39.804149901278016,42.17148635550934,10.35962282298835,6.4168548599100035,0.5125598352001847,0.735326225114111
2024-06-03,40.152050727240635,41.88660405356996,10.289640153367527,6.422458554337866,0.5090973244292211,0.7401491870547907
2024-06-04,39.956457213193445,42.16969303957451,10.239516016756173,6.391172699326403,0.5066173481173368,0.7365436830321281
2024-06-06,40.008689114374675,42.224818128066055,10.122179269296891,6.399527371490709,0.507279608715727,0.7375065080559416
2024-06-07,40.224512020049126,41.9621956466793,10.176782361525486,6.434048987240476,0.5100160782568671,0.6924449062487464
2024-06-11,40.1850984694227,41.921079445650136,10.166810752009871,6.525728566729542,0.5095163445494538,0.6917664216382969
2024-06-13,40.14576208106751,41.880043740272995,10.156858664512086,6.617228659608878,0.5090175892006829,0.6910892653378502
2024-06-18,39.5923667899152,42.32245043537019,10.269913335728921,6.591906593673344,0.514683397704225,0.7086794476081252
2024-06-19,39.56260662689869,42.36580458205569,10.262193809976432,6.586951693758968,0.5142965286418413,0.7081467586683815
