date,BANK OF CHINA (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,BOCI SECURITIES LTD,CHIEF SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING
2024-03-04,0.0,0.0,0.0,0.0,0.172158863008694,0.19222071306123178
2024-03-08,0.0,0.0,0.08703908088263472,0.06316304084807912,0.1759226411740725,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.19427368296962005
2024-03-13,0.0,0.0,0.0,0.0,0.1766069644768686,0.0
2024-03-27,0.0,0.04031918846190764,0.0,0.0,0.1745539945684803,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.19413681830906085
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.18455629206991558
2024-05-16,0.13496224177744492,0.0,0.0,0.0,0.0,0.0
2024-09-09,0.1347569447866061,0.0,0.0,0.0,0.0,0.0
2024-10-24,0.0,0.0,0.0,0.0,0.17489615621987836,0.0
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.1916732544189949
2024-12-03,0.13455164779576728,0.0,0.0,0.0,0.0,0.0
2025-01-21,0.13464289090280673,0.0,0.0,0.0,0.0,0.0
