date,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,RIFA SECURITIES LTD,CS WEALTH SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,VALUABLE CAPITAL LTD
2024-06-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-07-04,0.0,0.0,59.325142309414815,0.0,40.674857690585185,0.0,0.0,0.0,0.0,0.0
2024-10-24,0.0,0.0,59.317629442616905,0.0,40.682370557383095,0.0,0.0,0.0,0.0,0.0
2024-10-30,81.4379485488152,6.1740363335105,3.106094484421101,2.2019971949685613,3.123234763556504,2.021731277062747,1.202489937451225,0.0,0.09216656971698534,0.6403008904971796
2024-10-31,75.241,5.7789605,2.8729999999999998,2.03675,2.753604,1.896762,0.98725,0.0,0.08524999999999999,0.61875
2024-11-01,80.01163360835957,6.144963759647681,3.03155744953184,2.725530206555946,2.9157446166869994,2.010593137003802,1.0414497921256112,1.3464135173153167,0.11193524699639579,0.6601786657768426
2024-11-04,80.18325219201671,6.129900545557435,3.0380598988920235,2.7313762518454774,2.7325528938831467,2.0213004928845852,1.0490126137465268,1.3493014671100867,0.11217533918904946,0.6530683048749649
2024-11-05,79.92839887789474,6.184015548226566,3.0254279283657417,2.720019443402668,2.8225517849539203,2.0187336344103777,1.1332750992852205,1.3436911970920995,0.1385084527808207,0.6853780335878541
2024-11-06,79.98931323146209,6.170405915944049,3.0277336418431577,2.7220924015553596,2.7479606440087707,2.020537678652815,1.126172458784146,1.3447152396328497,0.14897023093089032,0.7020985571858717
2024-11-07,79.95194899543391,6.167277939181239,3.026198786502249,2.7207124855669664,2.806815564458557,2.0195134032658624,1.1128619112264455,1.3440335603269067,0.17012747080757248,0.6805098832302899
2024-11-08,79.97020236565365,6.090106815756496,3.026889680564278,2.7213336358063858,2.8488697025295893,2.019974466770589,1.1046209402585474,1.3443404089087443,0.19299673721892913,0.6806652465327844
2024-11-11,79.9141952234391,6.009970343726489,3.0247697979606047,2.719427749420642,2.9410503669906345,2.0172333566604754,1.1303757331266564,1.3433988999186548,0.2193899862228925,0.6801885425338529
2024-11-12,79.90932433877923,6.00053147329387,3.024424795226521,2.7191175737473308,2.9468157525772876,2.0170032726971265,1.1400611971481833,1.3432456729544906,0.2193649627830497,0.6801109607929134
2024-11-13,79.94983171147972,5.934335889170768,3.025837397846076,2.7203875780845577,2.949253617840813,2.017945344098988,1.1267940353669916,1.3438730558404253,0.2460051980181821,0.6857361722534872
2024-11-14,79.76438394696521,5.941695678576954,3.0190593198978153,2.7142937281417736,2.8616233992994884,2.0134250116953463,1.3885236865062394,1.3408626904019063,0.2719324611063898,0.6842000774088716
2024-11-15,79.76100484568413,5.941443967343369,3.0189314218722707,2.7141787410640807,2.8615021708160966,2.0133397158941415,1.3884648637342738,1.340805886718223,0.27192094108602194,0.6884074457873973
2024-11-18,79.85043621313291,5.945985210540544,3.0223163737772083,2.71722199154448,2.872662675516146,2.0158622253781453,1.2718009087338227,1.3423092542367816,0.27222583019375485,0.6891793169462148
2024-11-19,79.87099291261713,5.909455127886504,3.022612818095603,2.7174885106383115,2.89759827299748,2.0160599515025726,1.2618520447408412,1.3424409148251302,0.2722525315018579,0.6892469151945771
2024-11-20,79.88581704226132,5.910551928185935,3.0231738178108403,2.7179928790018346,2.847758677740452,2.0164341340812744,1.2620862456393263,1.342690073091922,0.30412036213199733,0.6893748400550942
