date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,DBS BANK LTD
2024-03-01,63.307237106998514,20.034978966885962,6.748770490210703,5.491058124210305,0.0,4.417955311694519,0.0,0.0,0.0
2024-03-04,59.784201918825175,18.95428170594679,6.360085640600882,5.136237827679996,0.0,4.15971853698528,5.605474369961872,0.0,0.0
2024-03-05,56.41630180303243,17.90045507422256,6.027292748632875,4.85878919452102,5.579693586371662,3.926401779968807,5.291065813250649,0.0,0.0
2024-03-06,56.400308832497736,17.901965628953658,6.027340133570322,4.884351378615823,5.578506407104105,3.9202471723820977,5.287280446876262,0.0,0.0
2024-03-07,56.414524903610285,17.75188046631227,6.054926137591413,4.890778853520035,5.617768428516307,3.946897361121562,5.323223849328131,0.0,0.0
2024-03-08,56.33728533641258,17.801683741289256,6.061629764893859,4.876673335392134,5.633954106636948,3.95826899579736,5.330504719577856,0.0,0.0
2024-03-11,54.91220945396967,17.460673820175128,5.947611767099423,4.77965048016274,5.521864926972151,3.87951806594707,5.224452755023699,0.0,2.274018730650114
2024-03-12,54.185138749821384,17.139455692898,5.894651799985373,4.72663225629799,5.426777673117461,3.836484551642752,5.140472855830688,1.4002908336389421,2.250095586767408
2024-03-13,54.2757802036673,16.970311314957442,5.939822748593494,4.7411479235544975,5.43074573811604,3.8429761008079897,5.142652889310556,1.4026602050438932,2.253902875948784
2024-03-14,54.17232054505086,17.029128938215358,5.954399494750353,4.732142693830368,5.442878647845752,3.8502552508884853,5.154142166527001,1.4057939090451341,2.2589383538466885
2024-03-15,54.026197156375254,17.084286161295275,5.990197686796648,4.744703254910984,5.4483502164926465,3.8615411467060676,5.169250025027294,1.4099145822381163,2.2655597701577164
2024-03-18,53.94344455707489,17.07967225939962,6.020687784175748,4.745025215668625,5.465322672229957,3.873570446142781,5.185353040391337,1.4143066847810086,2.272617340136026
2024-03-19,53.87993673401178,17.102291418300293,6.027269641010256,4.7594234478910895,5.471297400146849,3.8778050597000395,5.191021703602529,1.4158528144680156,2.2751017808691443
2024-03-20,53.848645880962266,17.11501952215496,6.033536386220498,4.756747417238916,5.475790631472706,3.880989656313147,5.1952847621837,1.417015565046809,2.2769701784070007
2024-03-21,53.837096711315844,17.116371984916285,6.037964267313453,4.750538139696113,5.476223339300371,3.8839304058674347,5.195695303881665,1.4171275404250119,2.2850523072838245
2024-03-22,53.8241766991822,17.121029036707128,6.038519270049629,4.756441959938841,5.481509331880738,3.8718597661697274,5.20071051329233,1.418495440380874,2.287257982398528
2024-03-25,53.55715677198336,17.03474036867619,6.010708918213529,4.728534878224159,5.453882946922622,3.8523458910802653,5.171876012437687,1.9150238341767747,2.2757303782854135
2024-03-26,53.57780112307623,17.04160714796531,5.986888083671463,4.717319082612001,5.456081431293658,3.8538987887709175,5.173960818564429,1.915795788765931,2.276647735280062
2024-03-27,53.57059611604817,17.04342147260907,5.987986543921245,4.718184605305155,5.45708250037798,3.8546058931241287,5.17491012481731,1.9161472945050144,2.277065449291918
2024-03-28,53.29055862212706,16.94572264205841,5.959555383987744,4.694753524786992,5.4299819627438985,3.8354634498746583,5.1492108896342454,2.4289962603904884,2.265757264396504
2024-04-02,53.22074825501498,16.97533140721932,5.965513038410856,4.701507254837648,5.43779337012933,3.840981031281828,5.156618388268386,2.432490540750494,2.2690167140871544
