date,CARRIER STOCK INVESTMENT CO LTD,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CMB WING LUNG BANK LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,0.0,0.0,0.0,41.97610898780644,27.933831256463233,0.0,23.439298151771766,6.6507616039585615
2024-03-06,0.0,0.0,49.305872528222594,0.0,21.292890373524916,14.169774688482805,0.0,11.697356245863833,3.534106163905853
2024-03-07,0.0,0.0,36.10794832912004,19.726542961309697,15.583536459225176,10.376887499438277,7.050696247709907,8.566272398307087,2.5881161048898145
2024-03-08,0.0,0.0,35.94015574598836,19.751586056704024,15.54314965780001,10.34999441929901,6.952350383261842,8.555789774651977,2.9069739622947726
2024-03-11,0.0,0.0,35.93454132974115,19.748500549049336,15.556343142995255,10.348377587773935,6.951264317045992,8.554453226044396,2.9065198473499327
2024-03-12,0.0,0.0,35.90254177074546,19.727698560691557,15.54775950061294,10.325773338252846,6.943942236109474,8.545442433757998,3.006842159829725
2024-03-13,0.0,0.0,35.888540651409585,19.718055358807394,15.541696252011667,10.360744108758766,6.94123426728292,8.542109918749535,3.0076194429801397
2024-03-14,0.0,0.0,35.90238766474403,19.709600466756694,15.521388840893719,10.36409770199121,6.938257939984889,8.552090450383762,3.012176935245695
2024-03-15,0.0,0.0,35.91063592916288,19.755944867119723,15.547504597866846,10.3659160269518,6.93947521986376,8.467817953616152,3.0127054054188402
2024-03-18,0.0,0.0,35.97237196193658,19.737426147690087,15.584390983695066,10.37360043831238,6.94461955849021,8.378504628684471,3.0090862811912036
2024-03-19,0.0,0.0,35.96097454952268,19.73973667937163,15.590117462465791,10.374814808022242,6.945432519784458,8.379485445547,3.009438535286199
2024-03-20,0.0,0.0,35.97220396600235,19.714674068169195,15.594985737704326,10.378054517675226,6.947601347391973,8.382102080194198,3.0103782828627326
2024-03-21,0.0,0.0,35.96314751115131,19.71505884049777,15.595290105859515,10.378257066709969,6.947736944092135,8.382265674120456,3.018243857568845
