date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,QUAM SECURITIES LTD,CMB WING LUNG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING
2024-03-04,57.1809211035893,0.0,0.0,0.0,0.0,0.0,42.8190788964107
2024-03-05,56.604129052515894,0.0,0.0,0.0,0.0,0.0,43.395870947484106
2024-03-06,25.096468925575177,41.85746846141589,0.0,0.0,13.892910832923441,0.0,19.15315178008549
2024-03-07,22.884454286289458,39.71660681468398,0.0,0.0,13.129338727587974,9.651213382600282,14.618386788838308
2024-03-08,23.12536604304995,40.312444476616015,0.0,0.0,13.500654764646658,9.524686930371209,13.53684778531616
2024-03-12,23.138569330760774,40.34005228534364,0.0,0.0,13.509900631506857,9.465359313573776,13.546118438814952
2024-03-13,23.005045662251437,40.8414286564519,0.0,0.0,12.979850415622376,9.571548548793473,13.602126716880816
2024-03-14,22.99804978018709,40.8594189006049,0.0,0.0,12.975903216209964,9.568637821042541,13.597990281955507
2024-03-15,22.9147595181802,40.70442107204247,0.0,0.0,12.926679882245242,9.861631575134517,13.592507952397574
2024-03-18,22.83857841367768,40.82696157253963,0.0,0.0,12.960981852787715,9.827716339054245,13.545761821940735
2024-03-19,18.804286455689706,33.37914829790753,0.0,16.908573481690173,10.344296607221274,8.883160434120551,11.680534723370764
2024-03-20,18.931004988490308,33.488900752578914,0.0,17.01597579807234,10.480996090722785,8.785253815994167,11.29786855414148
2024-03-21,19.016487785227174,33.45783097862055,0.0,17.05867119385377,10.587862918309211,8.322734727937156,11.556412396052139
2024-03-22,19.144075453023127,33.54529080373122,0.0,17.055191423491024,10.587131783837906,8.055151141980813,11.613159393935907
2024-03-25,19.18791138548007,33.56963104157189,0.0,17.062959614398995,10.594813735596109,8.101306643785524,11.48337757916741
2024-03-26,19.198976976204328,33.57891280680633,0.0,17.06422124041635,10.597743126558873,7.923826201160118,11.636319648853995
2024-03-27,19.19990783675585,33.578525964113936,0.0,17.064024653667808,10.597621036260477,7.923734915469025,11.636185593732899
2024-04-02,19.200165697222847,33.538728849152236,0.0,17.029992348010197,10.585060784415255,7.914343741190143,11.73170858000932
2024-04-03,19.214360970217566,33.561513705215525,0.0,17.041561836113143,10.523164433799865,7.919720426269337,11.739678628384564
2024-04-05,19.264868964645448,33.581364882180225,0.0,16.7297758522613,10.50236443974557,7.975315593810511,11.94631026735694
2024-04-08,19.253805911437546,33.56208043092508,0.0,16.72016860288164,10.496333346732744,7.970735685121484,11.996876022901509
2024-04-09,19.254733287775856,33.56169496781307,0.0,16.719976570440856,10.496212795525414,7.970644140600324,11.99673823784448
2024-04-10,19.26956841265193,33.555528761963814,0.0,16.716904651176144,10.494284352733807,7.969179714188929,11.99453410728537
2024-04-11,19.295414740589738,33.44569180855035,0.0,16.285279508455595,10.495851158517327,7.970369519653163,12.50739326423383
2024-04-15,19.27322194224577,33.43110187635245,0.0,16.278175420873488,10.491272579080594,7.966892624884486,12.559335556563218
