date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GF SECURITIES (HONG KONG) BROKERAGE LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2024-03-01,16.746813191291217,44.929624594409034,14.056488989618876,6.086895887916638,6.085531084645665,4.397371986768669,3.5695493155507636,4.127724949799134,0.0,0.0
2024-03-04,16.470734191694465,44.23873973864893,14.751648800416175,6.000588111229342,5.96210972076356,4.324288558853314,2.25713730612284,4.062311206608205,1.932442365663163,0.0
2024-03-05,16.495061484407124,44.187250659846015,14.788808205089401,5.992883133828023,5.980808539741597,4.311561147514788,2.238943285600074,4.077928816528458,1.9267547274445167,0.0
2024-03-06,16.481712617691013,44.114069636632436,14.79031003011567,5.952449421123683,5.976872103884758,4.300892510498198,2.449112508618575,4.0707867133358855,1.8637944580997827,0.0
2024-03-07,16.356490695606237,44.23691139508437,14.8113189453671,5.940397892609316,5.968726977861317,4.304979096615981,2.4402559792424805,4.075353634864571,1.8655653827486276,0.0
2024-03-08,15.780656831960938,43.117760487542284,14.222737014337463,5.784543000725106,5.745699477171327,4.174626967816396,2.5340613070889004,3.9742418853687496,1.8179981476036107,2.8476748803852243
2024-03-11,15.817668012616812,43.302021672668204,14.018665282461228,5.787388058494266,5.756431188788843,4.172531178672365,2.5389920793160945,3.9425179339038627,1.817539331709616,2.846245261368711
2024-03-12,15.884875504265663,43.45369274753198,13.94581022733266,5.931712718529263,5.706298543606845,4.1431159974653475,2.675046931501922,3.9723704810518434,1.4363999288641478,2.850676919850331
2024-03-13,15.884438935804326,43.67064099215044,13.83358955805988,5.825702431060599,5.768423025032647,4.128511965695109,2.60584684143554,3.9911095742253955,1.4380620835845732,2.8536745929514873
2024-03-14,15.907723552276531,43.77756732520389,13.811609266498529,5.812399524969567,5.879360470160326,4.125290382459514,2.405850139748778,3.989386056998941,1.4367439384866665,2.854069343197261
2024-03-15,15.88027873066683,43.71475756559209,13.817063711651894,5.795490118756224,5.90618881866175,4.121356857562667,2.476342947484583,3.998010255349629,1.439163048064431,2.851347946209904
2024-03-18,16.099397186157564,43.72990173679106,13.530564113091994,5.785186539856564,5.894946318981998,4.1139624211595605,2.516096342555613,4.044081174792372,1.4392132966422082,2.8466508699710733
2024-03-19,16.208923638455786,43.71855744317566,13.494302723830721,5.7988515055902825,5.817159128221504,4.116045781117893,2.5153629291155033,4.039647493025511,1.4441040624792436,2.8470452949878973
2024-03-20,16.208715879102936,43.63152056329387,13.406267185361004,5.774366375793014,5.8508958541339595,4.113803747055535,2.699212737826679,4.037144570552274,1.4325785940140667,2.8454944928666674
2024-03-21,16.994213609289925,43.69769822150227,13.31263814789484,5.796811825770086,5.849038492014156,4.114476326751819,2.576988281519728,3.375941998476655,1.4346629647715432,2.8475301320089725
2024-03-22,18.024274360135312,43.698636538937876,12.382406010205479,5.811891755746393,5.854371251171304,4.113948688336564,2.463234869576084,3.373133418776998,1.4345992913201928,2.843503815793793
2024-03-25,19.465448771625464,43.5579974963884,11.147126638110363,5.788987382442543,5.792895559578369,4.123040913547615,2.477260941633018,3.359684167178397,1.4377698947555921,2.849788234740237
