date,CCB INTERNATIONAL SECURITIES LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-03-01,0.0,0.0,0.0,0.0,80.79773805396246,0.0,0.0,0.0,19.202261946037535,0.0
2024-03-04,0.0,0.0,0.0,0.0,80.9593263900865,0.0,0.0,0.0,19.0406736099135,0.0
2024-03-05,0.0,0.0,0.0,0.0,59.36146317906671,0.0,26.747069767954944,0.0,13.891467052978342,0.0
2024-03-06,0.0,0.0,37.08298563361812,0.0,33.925345527776855,5.511029517827591,15.481136161649806,0.0,7.9995031591276256,0.0
2024-03-07,0.0,0.0,37.08374310439903,0.0,33.92629382905655,5.5111420881549575,15.479154418451433,0.0,7.999666559938033,0.0
2024-03-08,0.0,0.0,36.94219364411254,0.0,33.31521765975949,6.085296695954172,15.71130665009737,0.0,7.945985350076426,0.0
2024-03-11,0.0,61.92941039642717,9.864859970922597,10.763756299828792,8.719462197749348,1.9094435077547292,2.9247901020538736,1.7963065988740239,2.0919709263894655,0.0
2024-03-12,0.0,61.929578650924924,9.864886772518949,10.758351792617514,8.65421295359059,1.9597108921976452,2.965347415159862,1.7963114792154105,2.0716000437751134,0.0
2024-03-13,0.0,61.92810645506781,9.864652263488633,10.758096044051427,8.654007224813903,1.9596643057631906,2.9652769226379596,1.7962687771274035,2.0739280070496733,0.0
2024-03-14,0.0,61.908049503679116,9.861457351481132,10.741032113111862,8.54161659409347,1.9644614819443722,3.116816070246328,1.7956870109858858,2.0708798744578276,0.0
2024-03-15,0.0,61.9117908000674,9.862053310085352,10.741681227160411,8.564540575498448,1.9645802004746156,3.117004429156034,1.7957955299488082,2.0425539276089335,0.0
2024-03-18,0.0,61.97268307797279,9.871752963141985,10.74952725663168,8.52194805995738,2.0166057024625363,3.1107955771120057,1.7091338731401187,2.0475534895815017,0.0
2024-03-19,0.0,62.023271115622926,9.879811233104961,10.75830205001759,8.528904489918096,2.0182518491215946,3.1133349063125637,1.6288994571146904,2.0492248987875756,0.0
2024-03-20,0.0,62.02639341496173,9.880308590427878,10.758843631246268,8.529333841552903,2.018353449477408,3.108457556812614,1.6289814571705796,2.0493280583506146,0.0
2024-03-21,0.0,62.010447669892365,9.877768560719305,10.752677218682926,8.50347343811209,2.160248728570236,3.060051027591087,1.628562678621503,2.0067706778104903,0.0
2024-03-22,0.0,62.01255642489977,9.878104468533182,10.74964223432328,8.503694598137432,2.1603221909543144,3.0602231019486044,1.6286180602520584,2.0068389209513575,0.0
2024-03-25,0.0,61.979760434837786,9.872880329509442,10.7405583271806,8.484990152879663,2.191128836607866,3.097147587288039,1.627756748530722,2.005777583165884,0.0
2024-03-26,0.0,61.9887914452526,9.873236040188276,10.731496166505442,8.485023941672718,2.1912077809381802,3.0972591746297224,1.6278153950896466,2.0051700557234065,0.0
2024-03-27,0.0,61.92427016701664,9.938656545753545,10.717604691790848,8.474147791767459,2.1975645309523713,3.1340244335405214,1.6257288524497218,1.9880029867288973,0.0
2024-03-28,0.0,61.932016416867675,9.9375028441424,10.715953261987078,8.473164093627233,2.1973094327176876,3.1336606289335616,1.6255401341870757,1.984853187537286,0.0
2024-04-02,0.0,61.94687107049403,9.918738952665135,10.71443558797864,8.471728818773293,2.1976943405085847,3.1342095595357535,1.6258248838234939,1.990496786221062,0.0
2024-04-03,0.0,61.18468103676133,9.789322777657542,10.582605910690578,8.258002989393294,2.177427207340608,3.095579400193824,1.60582084646647,1.953197227162845,1.3533626043334996
2024-04-05,0.0,61.184269408170834,9.789578811701041,10.582882692593024,8.257749534379931,2.177484156682762,3.095660363272559,1.6058628457767181,1.9531141866778692,1.3533980007452615
2024-04-08,44.14630878233153,34.160844942170634,5.465608904547454,5.908517515715975,4.608952214421183,1.2157087679861411,1.7285968005861085,0.8965675069563127,1.0926126343463112,0.7762819309383409
2024-04-09,44.14633745715185,34.16089610378626,5.465617090216819,5.908526364715539,4.608959117102953,1.2157105887146624,1.7286368311590614,0.8965688497170742,1.092464503884579,0.7762830935512045
