date,CHINA MERCHANTS SECURITIES (HK) CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.
2024-03-01,0.0,91.65331943209,0.0,0.0,6.13891777806627,0.0,0.0,0.0,2.207762789843725
2024-03-04,0.0,75.85833284770996,12.680307761452555,0.0,5.075088062377962,4.559094466611308,0.0,0.0,1.8271768618482085
2024-03-05,0.0,70.01625558549445,11.70325634954645,7.700673251985098,4.685622662376023,4.207804121817213,0.0,0.0,1.686388028780764
2024-03-06,0.0,70.02873425885939,11.703145149352858,7.698858114566905,4.678293546330159,4.204596925571236,0.0,0.0,1.6863720053194582
2024-03-07,0.0,70.04370038866153,11.703423153799124,7.699040998463473,4.662726590114281,4.204696804417917,0.0,0.0,1.6864120645436715
2024-03-08,0.0,69.94392965398887,11.71019790260127,7.703977266827114,4.747009201570879,4.207392661190013,0.0,0.0,1.6874933138218515
2024-03-11,0.0,69.95101844245475,11.708917631055762,7.70313499388143,4.750609879864378,4.206932668528088,0.0,0.0,1.6793863842155767
2024-03-12,0.0,69.97529309453242,11.70009977719583,7.703226789801189,4.743116692710238,4.199005776387957,0.0,0.0,1.6792578693723672
2024-03-13,0.0,69.97755625713583,11.698915367402954,7.7024469864302505,4.745963375411088,4.196758871381901,0.0,0.0,1.6783591422379815
2024-03-14,0.0,68.69334248113412,11.469105251484327,7.551142341579096,4.651958498056935,4.112890112625402,1.8761713753182394,0.0,1.645389939801874
2024-03-15,0.0,68.69657789445695,11.469074970302707,7.551075812299846,4.653499297673845,4.112102712661459,1.8761664217769716,0.0,1.6415028908282183
2024-03-18,0.0,68.69965580245561,11.468214695299483,7.550509419475178,4.649889019579038,4.114325604731291,1.8760256938561304,0.0,1.6413797646032742
2024-03-19,0.0,67.59551574221466,11.282877479422112,7.428486032972397,4.568325361485895,4.047834204539208,1.8457073410652451,1.616400325938861,1.6148535123616141
2024-03-20,0.0,67.61477823959757,11.283618794272282,7.399942704546573,4.57626535452197,4.048100157937384,1.8458286089123428,1.6165065277094313,1.6149596125024468
2024-03-21,0.0,67.61634698270579,11.283498108472516,7.399863557242875,4.5749940466786025,4.048056860816664,1.8458088665490142,1.6164892380981208,1.6149423394364224
2024-03-22,0.0,67.60385663213661,11.282739571126916,7.391726851975204,4.598520940696166,4.046256879353638,1.845684781363316,1.6163805690095039,1.6148337743386416
2024-03-25,0.0,67.61123732544374,11.282084552760685,7.3912977259800785,4.5927540356992775,4.046021974297667,1.8455776303099352,1.616286730190231,1.6147400253183855
2024-03-26,0.0,67.57136493184733,11.282365511850136,7.3899081596973195,4.6335078546429775,4.046122732862671,1.8456235909485121,1.6163269807703329,1.6147802373807123
2024-03-27,0.0,67.56734311738124,11.28174500738304,7.389501731540059,4.633711336637476,4.045900205306059,1.845522085844679,1.6215850877706521,1.6146914281367983
2024-03-28,0.0,67.56819370771149,11.28219314265156,7.387503595485594,4.634048175190219,4.046060917197147,1.8455953939663359,1.6216495006312746,1.6147555671663767
2024-04-02,0.0,67.57814034811504,11.272639341118984,7.380989785489894,4.648415070666938,4.042744187768784,1.8440824803742535,1.6203201650796584,1.6126686213864427
2024-04-03,0.0,67.58358196639095,11.270951087720311,7.377281332360408,4.643158266452704,4.048028931689058,1.8440560194320044,1.620296914927472,1.6126454810270978
2024-04-05,0.0,67.58837625393441,11.26996876106221,7.376638360879058,4.637869211499058,4.047676123243575,1.8438952995980857,1.6230710598629523,1.6125049299206513
2024-04-08,0.0,67.58389190764274,11.269882751119427,7.376582063984472,4.641039164660451,4.049171588627905,1.8438812273914473,1.6230586729387337,1.6124926236348314
