date,UBS SECURITIES HONG KONG LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,INNOVAX SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,ZHESHANG INTERNATIONAL FINANCIAL,SINOLINK SECURITIES (HONG KONG) CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,0.0,59.01111554841021,29.914949991334712,0.0,0.0,5.581064317014043,5.4928701432410385,0.0,0.0,0.0
2024-03-04,0.0,58.972430459656735,29.914437704127483,0.0,0.0,5.5878186580741325,5.525313178141646,0.0,0.0,0.0
2024-03-05,0.0,49.30056715105092,25.00827477048249,0.0,11.59040516024995,4.671379945392242,4.640600089791281,4.788772883033113,0.0,0.0
2024-03-06,0.0,49.3012729585219,25.008632799369163,0.0,11.622783031266481,4.671446822814871,4.653551301734519,4.742313086293062,0.0,0.0
2024-03-07,0.0,47.93793896630092,24.31706608824108,0.0,11.336178131470433,4.542266745623875,4.540178667132169,4.590292550933107,2.736078850298414,0.0
2024-03-08,57.06266101603734,20.58427825962211,10.441609831616825,0.0,4.869184743300837,1.9408596687328523,1.9623782853249012,1.9710455058966985,1.1679826894684302,0.0
2024-03-11,56.99792819741234,20.56092711673145,10.434839718903556,0.0,4.97202767976022,1.9291049454584535,1.9720933564993104,1.966421274486975,1.1666577107476999,0.0
2024-03-12,53.28457961922092,19.22140668344878,9.755022075363225,5.46888518020306,4.6570364871427055,1.792820902103718,1.8542188782031603,1.8383112207592138,1.0850696867028728,1.042649266852349
2024-03-13,53.279821403655646,19.216341565508582,9.752476628994,5.458071717594531,4.66945723454723,1.7926608064741174,1.8643784010046045,1.8278219617692202,1.0849727919631644,1.0539974884889076
2024-03-14,53.26852404680464,19.212266967240097,9.750408731509433,5.4315256147712505,4.690507943062166,1.792280693922874,1.888534871912194,1.8274343937102775,1.084742736297032,1.0537740007700334
2024-03-15,53.2701588940195,19.212856604773794,9.750707978181715,5.407139768145865,4.702370157498988,1.79233570023576,1.9097973020102397,1.827490478914108,1.0733367744095532,1.053806341810471
2024-03-18,53.27001026739878,19.212802999866078,9.760724967635372,5.391221374045801,4.713238248292487,1.7923306995223427,1.9156510870050443,1.8168831748582654,1.0733337797419757,1.0538034016338556
2024-03-19,53.27222149368169,19.213499886998715,9.767775381344464,5.37523402426877,4.721221641559921,1.788489493670533,1.9249280837492988,1.803277316317107,1.0733727117239533,1.0599799666855467
2024-03-20,53.27400520660396,19.212469063118213,9.768102435608036,5.362578859402161,4.7185894735079845,1.782689855493023,1.9367115803689265,1.803337695422039,1.0734086514449304,1.0681071790307235
2024-03-21,53.274748455575825,19.21273710468601,9.768238714681935,5.351492524819608,4.718655304615694,1.7827147265797212,1.9501319806019208,1.7935968480911644,1.0734236270390025,1.0742607133091138
2024-03-22,53.27415385473925,19.212522670833447,9.775384357822483,5.351432796674015,4.718602639582578,1.7578615474762131,1.9688049331733588,1.7935768297106505,1.073411646530316,1.0742487234576859
2024-03-25,53.27341062235801,19.21225463524882,9.779991350325759,5.351358138366886,4.7308137669331325,1.7299348484214345,1.981054423192288,1.793551807363384,1.0733966712705256,1.0742337365197616
2024-03-26,53.27551000477149,19.213112375446105,9.790194179904514,5.3515970522826395,4.735489523660705,1.7043409351552408,1.9925832707831652,1.7894463682302815,1.073444593572726,1.0742816961931363
2024-03-27,53.27631292585339,19.212093817487823,9.801393980993197,5.351313344382502,4.735238477893292,1.6785807956517615,2.008102723787521,1.7893515030775842,1.0733876863152139,1.0742247445577262
2024-03-28,53.27675888335496,19.21225463524882,9.81012569929826,5.351358138366886,4.735278114929059,1.6504136497439974,2.0268139901505324,1.7893664811172032,1.0733966712705256,1.0742337365197616
2024-04-02,53.27229964427704,19.19585966380693,9.812373578851922,5.350910232266164,4.745762711864407,1.6483225221454976,2.037804282625375,1.789216712003906,1.073306828485736,1.0741438236730139
2024-04-03,53.10561535252399,19.119109998609375,9.781671533861772,5.334167709637047,5.04936726463635,1.643165067445418,2.0425531914893615,1.7836184119037688,1.0699485467946044,1.0707829230983175
2024-04-09,53.10709239583913,19.11964176447683,9.781943594593091,5.3315347388329535,5.049507704288814,1.6432107693163487,2.042610001668799,1.783668020248095,1.0699783056127274,1.070812705123213
2024-04-10,53.073141173527524,19.10741862856825,9.779581399227284,5.317563999221725,5.046279567501459,1.7063679573060566,2.0476971398393418,1.7825277260471968,1.0692942713400229,1.07012813742113
2024-04-11,53.073731258651456,19.090953564261216,9.785249300934497,5.317623121695769,5.046335673743489,1.720006893369579,2.0477199068283274,1.7789340849329842,1.0693061601151859,1.0701400354674984
2024-04-12,53.07058225146126,19.076457852153876,9.784514985005268,5.313610881812598,5.058464172454717,1.7307173847184352,2.0475662394765877,1.7788005881159443,1.0692259160128184,1.0700597287884979
2024-04-15,53.069844746218706,19.06646507206822,9.78437901266822,5.313537040228128,5.061173213858887,1.7390313453660111,2.047537785090523,1.7787758686818713,1.0692110573154936,1.0700448585039384
2024-04-16,53.06586257208365,19.04835961925936,9.795039255193497,5.31313833113319,5.060793441256166,1.7516848468005282,2.0473841450705206,1.7786423956089765,1.0691308274855833,1.069964566108525
2024-04-17,53.05657315609301,19.029742586582493,9.805828479971547,5.3122082425643535,5.0599075267861116,1.7716622949362024,2.0470257413417507,1.7783310363224114,1.0689436713644245,1.0697772640377006
2024-04-18,53.054509283082616,19.01233113458664,9.805447038360443,5.312001600435674,5.059710699023623,1.7877088763052167,2.0469461131085684,1.778261860173047,1.0689020900133925,1.0741813049107813
2024-04-19,53.05642573126714,18.996346095601698,9.805801233158002,5.3121934818791345,5.059893467152372,1.800833034630122,2.0470200534053555,1.7783260949903998,1.0689407011606356,1.0742201067551385
2024-04-22,53.055098944700994,18.981144657653,9.805556018649728,5.310115643876876,5.059766933964624,1.8099572656697174,2.0469688634001857,1.7763366287114681,1.0689139700692973,1.0861410733041028
2024-04-23,53.05642573126714,18.9621688909636,9.805801233158002,5.310248437712739,5.059893467152372,1.8152819341519193,2.0470200534053555,1.776381050824004,1.0689407011606356,1.0978385002042297
