date,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CMB INTERNATIONAL SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK LTD,THE CORE SECURITIES COMPANY LTD
2024-03-01,20.921756504812606,25.43282178443556,6.810595890102637,14.91349324973848,18.03112607955865,1.292085052412705,7.170794505917268,2.3046884136920442,3.1226385193300517,0.0
2024-03-04,20.79338222928851,25.415997896993225,6.9582175892540805,14.828233195028417,18.008027295469827,1.3178084334870184,7.203884251015963,2.3484214895499953,3.1260276199129646,0.0
2024-03-05,20.692079665474417,25.43915330410992,6.928734445246565,14.839766479561028,17.981203459823398,1.2831638454052456,7.197690292501472,2.5130658924038167,3.125142615474142,0.0
2024-03-06,19.914960399464952,24.923597549739686,6.885574845393726,14.93913082840805,17.537879265112643,1.2718921200315805,6.962503913409026,2.4536468955783857,3.061904238595006,2.048909944266942
2024-03-07,19.007761262855524,25.08251320361771,6.822502318503311,15.169151903566103,17.431498840992905,1.3042778628267038,6.80778012706569,3.3018979610509556,3.0361514727147583,2.0364650468063425
2024-03-08,18.991306968428525,25.273621004481612,6.6403687115654755,15.21921483549049,17.378343450479576,1.2770824399589233,6.870352085652898,3.290933443809876,3.028555317346727,2.030221742785903
2024-03-11,18.897480877736193,25.206019581761446,6.673239417047923,15.518410714313676,17.344892810087973,1.270552971077201,6.752194342891546,3.290613503792615,3.020348438646388,2.0262473426450356
2024-03-12,19.172080058510648,25.090135387559243,6.490620730162594,15.728664414640706,17.320654639541097,1.235573806966739,6.745938639087871,3.166451146612465,3.0268285152247296,2.0230526616939035
2024-03-13,19.29958100508968,25.318098245948228,6.320960828123891,15.588716290444477,17.291862778227728,1.256579440346318,6.726774100423993,3.1560811560138133,3.0217127420687997,2.019633413313075
2024-03-14,18.885776249054338,25.65834387344557,6.208413699141017,15.772874542278794,17.262655320828944,1.2315372411073349,6.726018794962327,3.214432500179175,3.0235477970749223,2.0163999819275764
2024-03-15,18.904127860863888,25.79144932742142,6.097312999775189,15.75160339039828,17.236378049188787,1.229717113442501,6.71235067369686,3.226509608254101,3.037154261075391,2.0133967158835837
2024-03-18,18.7073979381165,26.05831224005182,5.978769982587477,15.791512134442668,17.242361258671306,1.2301005463783687,6.714512412856164,3.229095447596745,3.0338903623840268,2.014047676914926
2024-03-19,18.722596404621726,25.936972111688366,5.982643400275118,15.885025945014355,17.229848351237255,1.2295754957441916,6.742557563008495,3.2361165434591896,3.0219624727148573,2.0127017122364466
2024-03-20,19.6553663184995,25.601872524853555,5.92873410655956,15.291692352583814,17.055703377221267,1.5330967881995416,6.8168904578596745,3.1481412000882307,3.010608826504722,1.957894047630139
2024-03-21,19.48696701582062,25.87385629234213,5.87339768469919,15.433651755872832,17.065488322491646,1.3526725916319327,6.802149906874945,3.148715841771039,3.0056026209349263,1.957497967560741
2024-03-22,18.949388680567427,26.009509326702783,5.855740378599101,15.687011844543388,17.067359637084635,1.4365401505438002,6.772212908662204,3.2305575780302536,3.036030828806865,1.95564866645954
2024-03-25,18.674639996827686,26.4083465659689,5.826664794911145,15.69466601274447,16.98318789865495,1.4321749387264227,6.868601037943428,3.1260482699723995,3.037525789401628,1.948144694848974
