date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2024-03-01,31.81673783325756,21.57303499767292,9.687243240292357,10.629122724489518,7.9115540029727525,9.929542109340709,5.499917679276374,0.0,2.9528474126978153,0.0
2024-03-04,31.859898922225938,21.457571267245992,9.726254737907393,10.625954027888564,7.919043777082196,9.935787894612114,5.515957549486647,0.0,2.959531823551156,0.0
2024-03-05,30.624580067710777,20.614094896157738,9.352944742664711,10.231764808841353,7.608538005493968,9.661739428098869,5.298868070455622,3.7516419871561735,2.855827993420789,0.0
2024-03-06,30.765509206261683,20.591911425913946,9.346320925798523,10.220208774768759,7.612025793016879,9.561132148659258,5.29448379608928,3.7493332475451955,2.8590746819464776,0.0
2024-03-07,30.82919710419229,20.51109750363614,9.321339434916165,10.249935868185801,7.620574043510669,9.552057538556639,5.302678747461057,3.7540549228510347,2.8590648366902043,0.0
2024-03-08,30.8377155048686,20.454320866849436,9.309353230180774,10.246608218577041,7.625661327843887,9.564711565331974,5.346275208389776,3.7534718636085747,2.8618822143499365,0.0
2024-03-11,31.022143083966135,20.307175442677973,9.20810415136504,10.2143826000082,7.624751751512786,9.546403769603959,5.394698552573033,3.7430125879406777,2.939328060352198,0.0
2024-03-12,31.038367977352323,20.26148647058669,9.197159934111099,10.206812714081376,7.611597494874191,9.598009890458243,5.417317419713971,3.737087470994921,2.932160627827186,0.0
2024-03-13,31.072150004687316,20.197614847549037,9.265244664071231,10.217705424622526,7.604831800615925,9.546000479596332,5.4175175831688644,3.739144818647459,2.9397903770413136,0.0
2024-03-14,31.25658331562238,20.256899436484723,9.294938224751757,10.270021696486138,7.6307827836611715,9.135196521519191,5.450660747375483,3.7527414972494495,2.9521757768497117,0.0
2024-03-15,31.105577347223402,20.196686588325544,9.234005737637013,10.242426412647413,7.592247065045675,9.522433292242496,5.421260974370988,3.7389858189043466,2.946376763603124,0.0
