date,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,BNP PARIBAS
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,91.91270860077022,0.0,0.0,0.0,0.0,8.087291399229782
2024-03-06,0.0,0.0,91.39922978177151,0.0,0.0,0.0,0.0,8.600770218228499
2024-03-07,0.0,0.0,90.88575096277279,0.0,0.0,0.0,0.0,9.114249037227214
2024-03-13,0.0,35.64098387359505,58.57631536080795,0.0,0.0,0.0,0.0,5.782700765597003
2024-03-14,0.0,34.98941195634468,59.22788727805831,0.0,0.0,0.0,0.0,5.782700765597003
2024-03-20,0.0,35.192405492456345,62.858111544329546,0.0,0.0,0.0,0.0,1.949482963214104
2024-04-03,33.63061639196207,23.210657033190337,41.86046511627907,0.0,0.0,0.0,0.0,1.2982614585685255
2024-04-05,33.08529542425588,22.83429586850289,40.73745002221235,0.0,0.0,2.0657485561972457,0.0,1.2772101288316304
2024-04-08,37.21889055472264,26.261869065467263,32.758620689655174,0.0,0.0,2.3238380809595203,0.0,1.4367816091954022
2024-04-11,37.21889055472264,26.261869065467263,32.50874562718641,0.0,0.0,2.3238380809595203,0.0,1.686656671664168
2024-04-18,36.941964285714285,26.066468253968257,30.90277777777778,2.108134920634921,0.0,2.306547619047619,0.0,1.6741071428571428
2024-04-29,36.941964285714285,26.066468253968257,31.150793650793652,2.108134920634921,0.0,2.306547619047619,0.0,1.4260912698412698
2024-04-30,36.941964285714285,26.066468253968257,30.90277777777778,2.108134920634921,0.0,2.306547619047619,0.0,1.6741071428571428
2024-05-03,36.951128752170675,26.07293475564376,30.885636318531382,2.1086579012651945,0.0,2.307119821384272,0.0,1.6745224510047136
2024-05-06,36.951128752170675,26.07293475564376,30.38948151823369,2.1086579012651945,0.0,2.307119821384272,0.0,2.1706772513024064
2024-05-08,36.96029776674938,26.079404466501238,30.12406947890819,2.109181141439206,0.0,2.307692307692308,0.0,2.4193548387096775
2024-05-10,36.96029776674938,26.079404466501238,29.87593052109181,2.109181141439206,0.0,2.307692307692308,0.0,2.6674937965260543
2024-05-13,41.03305785123967,28.953168044077138,22.14876033057851,2.3415977961432506,0.0,2.56198347107438,0.0,2.9614325068870526
2024-05-16,40.20242914979757,28.367071524966263,22.105263157894736,2.2941970310391366,0.0,2.5101214574898787,1.5519568151147098,2.968960863697706
2024-05-20,40.20242914979757,28.367071524966263,21.83535762483131,2.2941970310391366,0.0,2.5101214574898787,1.5519568151147098,3.2388663967611335
2024-05-21,40.20242914979757,28.367071524966263,22.105263157894736,2.2941970310391366,0.0,2.5101214574898787,1.5519568151147098,2.968960863697706
2024-05-22,40.20242914979757,28.367071524966263,22.267206477732792,2.2941970310391366,0.0,2.5101214574898787,1.5519568151147098,2.807017543859649
2024-05-23,42.49643366619116,29.985734664764625,17.83166904422254,2.4251069900142657,0.0,2.653352353780314,1.6405135520684737,2.9671897289586306
2024-05-28,42.49643366619116,29.985734664764625,17.546362339514978,2.4251069900142657,0.0,2.653352353780314,1.6405135520684737,3.252496433666191
2024-05-31,42.49643366619116,30.271041369472186,17.261055634807416,2.4251069900142657,0.0,2.653352353780314,1.6405135520684737,3.252496433666191
2024-06-05,42.49643366619116,30.271041369472186,17.089871611982883,2.4251069900142657,0.0,2.653352353780314,1.6405135520684737,3.4236804564907275
2024-06-13,42.49643366619116,30.271041369472186,17.845934379457915,2.4251069900142657,0.0,2.653352353780314,1.6405135520684737,2.667617689015692
2024-06-18,42.49643366619116,30.271041369472186,17.874465049928673,2.4251069900142657,0.0,2.653352353780314,1.6405135520684737,2.6390870185449358
2024-06-25,42.49643366619116,30.271041369472186,17.58915834522111,2.4251069900142657,0.0,2.653352353780314,1.6405135520684737,2.9243937232524964
2024-06-26,41.40950792326939,29.4968028912983,19.696969696969695,2.363080344731721,0.0,2.585487906588824,1.5985543508479287,2.849596886294134
