date,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BNP PARIBAS,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD
2024-03-01,33.187739300822585,24.96927812003387,12.687646702343997,12.995966676966662,4.455028499188226,0.0,6.191323192778433,1.000497884019185,2.555281269338929,1.9572383545081098
2024-03-04,33.13967810432699,25.033149672146486,12.648252693101297,12.977984355444761,4.44381050714534,0.0,6.164090852128668,1.008185573693701,2.627340883227188,1.9575073587855714
2024-03-05,33.124394191992415,25.007403096525664,12.649318272189713,12.988761689772618,4.441801501159798,0.0,6.168391168117249,1.015152188588611,2.653220219777349,1.951557671876579
2024-03-06,33.11446703684658,24.990099731704728,12.664001549794598,12.965325003508758,4.447709605445902,0.0,6.146806341296665,1.0078870062242486,2.7048514477544905,1.9588522774240336
2024-03-07,33.14918397768981,25.00593492101662,12.63627091506574,12.972194436495336,4.448378383047473,0.0,6.115278206900263,1.019001817934007,2.698304712423422,1.955452629427337
2024-03-08,33.144547490340315,24.99069947255169,12.642163287268938,12.965969498705471,4.459886070660996,0.0,6.067193428592768,1.0078091220220275,2.7649329705240375,1.9567986593337603
2024-03-11,33.14001583716793,24.996119669786935,12.631949793603244,12.966373233585344,4.458817333620384,0.0,6.073987076493422,1.0092209972019983,2.764824474536211,1.9586915840045307
2024-03-12,33.11942972930199,24.975188244013953,12.696158422781009,12.955180134068204,4.496152067547986,0.0,6.055106519647784,1.0141047979142137,2.730852295476344,1.9578277892485174
2024-03-13,33.13416210817309,24.980910600080588,12.637409828270982,12.93302396813632,4.506642970607967,0.0,6.032703420217196,1.0058706891431242,2.811540541154308,1.957735874216424
2024-03-14,33.13364435566078,24.94357182151751,12.833145179445774,12.929186170006721,4.515006320113053,0.0,5.989140911646811,1.004404396247952,2.7006307403961505,1.9512701049652477
2024-03-15,33.14868380209652,24.94402345455994,12.621775421703834,12.908941387793318,4.521535719949899,0.0,5.965487129962165,1.0255193298570626,2.9125249460568456,1.9515088080204173
2024-03-18,33.23952161257583,24.965259987208025,12.671655188657654,12.946713477234784,4.539182234434054,0.0,5.868275329358701,1.0144678799074938,2.799141784080581,1.9557825065428815
2024-03-19,33.50178619545063,25.22869062651886,12.759478606535044,13.032892366417789,4.3966026300691246,0.0,5.966880837236464,1.0068236349422612,2.1287869052807227,1.9780581975491076
2024-03-20,33.45419525644197,25.212695495808973,12.719402011325375,13.04808389832148,4.405550850479518,0.0,5.940122938280343,1.0273224871633353,2.21685168423934,1.975775377939663
2024-03-21,33.47255280188816,25.22757052217481,12.73664685057964,12.995922985387235,4.351295254232669,0.0,5.9597019767305435,1.0441736376363395,2.225797292831007,1.9863386785395964
2024-03-22,33.485392264696486,25.131529159837875,12.74032521347596,12.97694006299308,4.368033920782562,0.0,5.98677303169893,1.0542495731669599,2.2822026066791237,1.9745541666690243
2024-03-25,33.51744488985724,25.029934382542525,12.740463823379134,12.981900810275478,4.479364554572422,0.0,5.9054479476249035,1.07428392148661,2.3210241532104705,1.950135517051219
2024-03-26,33.65087319965049,25.06551093145059,12.780565159261794,12.86565276974581,4.551936619122281,0.0,5.783887231784414,1.1317390007329147,2.2190917404091786,1.9507433478425262
2024-03-27,27.526982772956494,20.505374019635326,10.454380683564182,10.50500221603001,3.715867765133722,0.0,4.634107498465978,0.946092310797372,1.8791169213777585,1.5946613178734481
2024-03-28,33.61445396733444,25.08618739807684,12.786942339060548,12.85058001143325,4.57575954500297,0.0,5.59562752956724,1.1520898743767038,2.38636490209849,1.951994433049518
2024-04-02,31.699352692240808,23.68110429934973,12.08677941909786,12.139529955889648,4.3327040713112135,5.629925543367088,5.2934939099350995,1.1219402699244703,2.1709470783228815,1.844222760561201
2024-04-03,31.68989135791059,23.65613407545084,12.11029701359603,12.049601069921735,4.3656028393317285,5.6480489308849124,5.291062578966717,1.110762267060787,2.2341352259307086,1.84446464094595
2024-04-05,31.686045206702257,23.649288806436665,12.102628397155366,12.046521290052006,4.376455224538345,5.6469396762977615,5.2578067008020755,1.1566699218011174,2.238119296993101,1.8395254792213072
2024-04-08,31.67295483888754,23.672162420110958,12.075822181080602,12.044332887967016,4.395403210285977,5.644966814907198,5.251335053315454,1.1445601366586133,2.259698488754283,1.8387639680323593
2024-04-09,31.677653969898607,23.67273427583827,12.05930515270258,12.039637414713827,4.4186362118585,5.642766129245228,5.249287824671432,1.1524888426677438,2.2478987410056215,1.8395914373981934
2024-04-10,31.725557495731405,23.70161968708118,12.10029141936626,12.03534734857794,4.368948495542966,5.649339577488002,5.2125875705658204,1.1644163158164265,2.202179485281082,1.839712604548924
2024-04-11,31.67098588803553,23.665966026875253,12.040471242119905,12.019562664089225,4.504892659028662,5.688231307322665,5.1395460305068585,1.2346487364471501,2.192039417056339,1.8436560285184118
2024-04-12,31.66708536173835,23.649386915882232,12.049425884587873,12.018365595378087,4.5360721069759435,5.688170521478142,5.101317459181024,1.2444906371058035,2.1957561788182707,1.849929338854273
2024-04-15,31.663729928334273,23.652062423403635,12.043463460522782,11.997564838567193,4.543220006605663,5.688943638621466,5.105038994712524,1.2579600322603217,2.1994390568094833,1.8485776201626594
