date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,BOCI SECURITIES LTD,MIRAE ASSET SECURITIES (HK) LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD
2024-03-01,7.723122787404509,33.31004285448109,51.136575367989565,0.0,0.0,4.523010993106018,3.307247997018819,0.0,0.0,0.0
2024-03-04,4.935748567889766,20.625483821024925,64.89239820405636,0.0,0.0,3.006657377302988,2.1984827372658304,0.0,4.341229292460133,0.0
2024-03-05,5.091475969174657,19.621742455438554,60.618271663039,0.0,2.376610388846403,2.641331843049591,1.9912936055062063,0.0,3.9061121242426027,3.7531619507029825
2024-03-06,5.1202799241872,20.50736258929873,58.84531272780289,0.0,2.35602857559411,2.618457501093454,1.9973757107450065,0.0,4.863682752587841,3.6915002186907713
2024-03-07,4.487706040194952,19.59366956902689,55.63769782596791,6.070313783472976,2.2123651497727397,2.390340068999507,1.8755818410820875,0.0,4.293302666885713,3.4390230545972287
2024-03-08,6.603440981525878,25.69454237766183,40.7629389366803,7.816245945564801,2.8486814271611904,3.902834579043858,2.415033140600762,0.0,5.528134254689043,4.428148357072345
2024-03-11,6.606344326439352,25.363331470095023,42.2582448295137,7.745248742314143,2.8228060368921186,3.6857182783678035,2.3930967020681946,0.0,5.331190609278927,3.794019005030744
2024-03-12,7.013233177717717,25.480009828354806,40.37347748253712,7.841623082593281,2.836182386184141,3.6364912773351117,2.579943135947208,0.0,5.093193864298501,5.145845765032118
2024-03-13,7.3814636206835855,25.727762328839454,39.941567813017,7.803864972367911,2.8441691013411243,3.60449153437291,2.587208279066493,0.0,4.9315357809144995,5.177936569397022
2024-03-14,6.904998579948877,25.823629650667424,40.30460096563476,8.030389094007385,2.86850326611758,3.6211303606929848,2.6554955978415222,0.0,4.604515762567452,5.186736722522011
2024-03-15,7.150738565581065,25.940558818295074,40.3061042890194,8.122441715607758,2.8759565759031855,3.591386367681082,2.8581598149136855,0.0,3.95444029186688,5.200213561131874
