date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),MORGAN STANLEY HONG KONG SECURITIES LTD,TAT LEE SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,22.568393658275507,0.4483796885902307,2.79296747205128,1.947252872621869,0.03419398614972087,2.559123562836653,0.0,0.09498105336665172,0.0,0.17775462573890904,30.62304691963082
2024-03-04,22.684875812470988,0.4518628730200743,2.6831273151654536,1.9472851243295526,0.03443948614860948,2.5248400620722555,0.0,0.09477612601602926,0.0,0.1768515779237644,30.59805837714673
2024-03-05,22.7197379895005,0.4582487111414542,2.678384459662752,1.9476882706755996,0.03474587737160498,2.4992322061713685,0.0,0.09795291922287735,0.0,0.1770612140237087,30.61305164776987
2024-03-06,22.722552273512985,0.4670534273391144,2.6770621235218655,1.9452048891839515,0.03953438516653246,2.4884601358050005,0.0,0.09563079626964828,0.0,0.1768032003622388,30.612301231161336
2024-03-07,22.73057520831639,0.4751808576754162,2.6828513050510963,1.938482794758261,0.04000203492794665,2.4761883610313387,0.0,0.09704987140773272,0.0,0.17667419353150385,30.61700462669969
2024-03-08,22.75533939179598,0.48488862168822094,2.677367353683384,1.9297425819759684,0.0436626037500508,2.462271749165806,0.0,0.0945503640622431,0.0,0.17648068328540142,30.624303349407057
2024-03-11,22.78330267053828,0.48632382268014734,2.6765862657008457,1.93001672149128,0.04845198234108575,2.4519512027070105,0.0,0.09469549674681992,0.0,0.17693220719297373,30.648260369398443
2024-03-12,22.82428720536325,0.4886459456333763,2.6856756354705227,1.932467851275244,0.04151702664468251,2.4262949692445974,0.0,0.09416334357003825,0.0,0.17801263940037892,30.671064616602088
2024-03-13,22.824800523542745,0.4645055424320992,2.770031234733936,1.9335160317749653,0.04291997592892507,2.404347682165814,0.0,0.09511476894670849,0.0,0.17804489110806268,30.71328065063326
2024-03-14,22.83846113747854,0.46266719509412624,2.788484017033479,1.9330322561597095,0.03465205715395298,2.3919146488537337,0.0,0.10859598275851058,0.0,0.17604528523167098,30.73385257976372
2024-03-15,22.817237691601157,0.4632315999785916,2.780344266544842,1.932467851275244,0.04283707291432402,2.391382495676952,0.0,0.11557847747203963,0.0,0.17710959158523432,30.72018904704838
2024-03-18,22.813745460567304,0.4626188175326006,2.7684679944625055,1.9316776844369925,0.034112324825865646,2.383448575586753,0.0,0.12278673413935486,0.0,0.17630329889314086,30.69316089044452
2024-03-19,22.85899934744862,0.46223179704039574,2.7812376710993894,1.9325484805444535,0.03411384065612678,2.375675914034972,0.0,0.12855978981474378,0.0,0.17525577955342694,30.74862262019213
