date,KINGSTON SECURITIES LTD,GLOBAL MASTERMIND SECURITIES LTD,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD,PHILLIP SECURITIES (HONG KONG) LTD,SINOPAC SECURITIES (ASIA) LTD,FUTU SECURITIES INTERNATIONAL
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.55626502444977,50.443734975550235
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.63526736368264,50.36473263631736
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.149473590093216,50.85052640990679
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.415757815966735,51.58424218403326
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.521390673348,51.47860932665199
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3234990362965,51.67650096370351
2024-03-12,0.0,0.0,0.0,42.58181000774822,0.0,0.0,0.0,0.0,27.772374444427612,29.645815547824167
2024-03-14,0.0,0.0,0.0,42.3924966154445,0.0,0.0,0.0,0.0,27.648901947193536,29.958601437361963
2024-03-19,0.0,0.0,0.0,42.279632528383615,0.0,0.0,0.0,0.0,27.575383158941435,30.14498431267495
2024-03-20,0.0,0.0,0.0,42.442561182194574,0.0,0.0,0.0,0.0,27.693264828730896,29.864173989074526
2024-03-21,0.0,0.0,0.0,42.59429939216855,0.0,0.0,0.0,0.0,27.774396487322257,29.631304120509196
2024-03-22,0.0,0.0,0.0,28.867358978489214,32.21506249240397,0.0,0.0,0.0,18.82349246852119,20.09408606058562
2024-04-02,0.0,0.0,0.0,28.853376775931245,32.19945879517895,0.0,0.0,0.0,18.814375116125383,20.132789312764423
2024-04-03,0.0,0.0,0.0,28.714163833897636,32.526335093364544,0.0,0.0,0.0,18.71166910600169,20.047831966736126
2024-04-08,0.0,0.0,0.0,28.713820215655332,32.52649187965891,0.0,0.0,0.0,18.711759301630927,20.047928603054824
2024-04-10,0.0,0.0,0.0,23.468516007116353,26.58470693206203,0.0,0.0,18.050839002209504,15.254186639098991,16.64175141951312
2024-04-11,0.0,0.0,0.0,23.49165376197642,26.61091695879888,0.0,0.0,18.06863543585384,15.269225835907946,16.559568007462914
2024-04-12,0.0,0.0,0.0,23.47313991109997,26.58994480616746,0.0,0.0,18.054395483852602,15.257192107972523,16.625327690907447
2024-04-23,0.0,0.0,0.0,23.556500751795674,26.506385721312864,0.0,0.0,17.997659421584288,15.209246276595797,16.73020782871138
2024-04-25,0.0,0.0,0.0,23.558814306057002,26.508988992583248,0.0,0.0,17.989605726917027,15.210740022076315,16.731850952366408
2024-04-30,0.0,0.0,62.40403569808303,8.851756013538067,9.961037323088217,0.0,0.0,6.759236632442743,5.715133100996582,6.308801231851372
2024-05-02,0.0,0.0,62.404034776960124,8.85175588288057,9.961037176057026,0.0,0.0,6.7592365326721495,5.715133016637615,6.308802614792517
2024-05-03,0.0,0.0,62.40403707976743,8.851752519366613,9.961037543635008,0.0,0.0,6.759236782098638,5.715133227535036,6.308802847597283
2024-05-13,0.0,0.0,56.77177464063333,8.05283957128904,9.062006323265297,0.0,9.018763475035167,6.149183374874913,5.199315153602619,5.746117461299631
2024-05-16,0.0,0.0,56.75272216527242,8.050137057082136,9.05896513504655,0.0,9.015736799015581,6.147119723254348,5.1640105084222165,5.811308611906751
