date,MIRAE ASSET SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,DBS BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-04,0.0,0.0,100.0,0.0,0.0
2024-03-18,0.0,21.785234335629095,67.71585755081472,0.0,10.49890811355619
2024-03-26,0.0,21.79667640076472,67.69890123742096,0.0,10.504422361814324
2024-04-18,0.0,21.691632177146577,67.80394546103909,0.0,10.504422361814324
2024-04-23,0.0,21.586587953528436,67.90898968465724,0.0,10.504422361814324
2024-05-06,0.0,22.78321027073771,66.13006940286924,0.0,11.086720326393046
2024-05-20,0.0,22.727776669105744,66.18550300450121,0.0,11.086720326393046
2024-05-27,0.0,22.417111363835186,66.64771236112325,0.0,10.935176275041554
2024-07-04,0.0,22.429374822206174,66.90299568918357,0.0,10.667629488610254
2024-07-10,0.0,22.18662741617784,67.26119612978636,0.0,10.552176454035802
2024-08-22,0.0,19.025875190258752,71.92523295095965,0.0,9.048891858781602
2024-08-28,0.0,19.0170504090985,71.93825488413515,0.0,9.044694706766359
2024-09-16,0.0,19.267279460140227,71.56901445515894,0.0,9.16370608470084
2024-09-20,0.0,19.314272824677158,71.522021090622,0.0,9.16370608470084
2024-09-23,0.0,21.663941051523526,69.17235286377563,0.0,9.16370608470084
2024-09-30,0.0,21.653765218698332,69.18683300766571,0.0,9.159401773635954
2024-10-02,0.0,21.64359894082518,69.20129955492122,0.0,9.1551015042536
2024-10-03,0.0,21.32631110451747,69.63318744900229,0.0,9.040501446480231
2024-10-04,0.0,21.784941337282152,68.9600182253104,0.0,9.25504043740745
2024-10-07,0.0,21.39900044756079,66.24645681038342,3.263464120543041,9.091078621512755
2024-10-09,0.0,30.0721291287329,51.23587104719181,5.222764656726921,13.469235167348376
2024-10-10,0.0,32.28651366474738,42.877706593139244,12.417889871056687,12.417889871056687
2024-10-14,0.0,35.291640811984756,37.56094317879621,13.57370800460952,13.57370800460952
2024-10-15,0.0,35.31120423956185,37.526330960775184,13.581232399831483,13.581232399831483
2024-10-16,0.0,35.863228454769754,37.38946265202297,13.37365444660364,13.37365444660364
2024-10-17,0.0,35.22123508405191,38.10425921087013,13.337252852538978,13.337252852538978
2024-10-18,3.653296691312788,31.62555344718533,38.00300988025911,13.35906999062139,13.35906999062139
2024-10-21,3.647330371918822,31.682780245623203,37.99538367738002,13.337252852538978,13.337252852538978
2024-10-22,3.6061056212189713,31.32467867984241,38.69620443927749,13.186505629830567,13.186505629830567
2024-10-23,3.608047561606066,32.257022229881095,40.440289505428225,13.193606755126657,10.501033947957952
2024-11-01,3.5375615113307566,32.524446134026064,40.70624511605313,12.935859257851273,10.29588798073877
2024-11-05,3.52453497180372,32.40467974076256,40.92458547260331,12.8882248968942,10.2579749179362
2024-11-11,3.504257411242913,29.603129772589387,43.879579070691854,12.814075608276324,10.198958137199524
2024-11-12,3.504257411242913,29.13240862779556,44.350300215485674,12.814075608276324,10.198958137199524
2024-11-18,41.56400753638791,28.830824654754757,6.830369158781756,12.68142197561026,10.09337667446531
2024-11-21,41.56400753638791,27.950889252365474,7.710304561171038,12.68142197561026,10.09337667446531
2024-11-25,41.3499763125914,27.806957918803683,8.185544501431544,12.616119796494264,10.041401470679109
2024-11-29,41.3499763125914,26.983048054542834,9.009454365692394,12.616119796494264,10.041401470679109
2025-01-02,41.50059580063278,26.913752722192548,8.986317130295435,12.583720261330484,10.015614085548753
2025-01-17,41.50059580063278,26.965114845708182,8.9349550067798,12.583720261330484,10.015614085548753
2025-02-13,40.72662755297486,26.46222706102946,10.63327889675195,12.34903929514708,9.828827194096656
2025-02-14,38.71045787213452,28.478396741869794,10.63327889675195,12.34903929514708,9.828827194096656
2025-02-18,37.945413940986974,27.915571453981304,12.399454534674598,12.104982311903397,9.634577758453725
2025-02-20,37.758854648075676,27.77832405750359,12.830144152294046,12.045467954138726,9.587209187987964
2025-02-21,37.758854648075676,27.72915888218057,12.879309327617062,12.045467954138726,9.587209187987964
2025-03-04,37.7774279867779,27.74279867779002,12.83645521800724,12.051393042657011,9.591925074767826
2025-03-11,37.79601960668517,27.756451898659424,12.79355892832536,12.05732396307014,9.596645603259907
2025-03-13,38.17173303644207,28.03236644863715,11.9266784627925,12.177180460844152,9.692041591284122
2025-03-17,38.362404843253614,28.172391056764372,11.486742991867969,12.238006753381686,9.740454354732362
2025-03-19,19.190596607662243,26.58697238353207,43.22781836899919,6.122000219892253,4.872612419914242
2025-03-25,19.20019200192002,26.600266002660028,43.199431994319944,6.125061250612506,4.875048750487505
2025-03-28,19.20019200192002,26.725267252672523,43.07443074430744,6.125061250612506,4.875048750487505
2025-04-02,19.20499329825755,26.73195030707984,43.060195650869225,6.126592914157681,4.876267829635705
2025-04-03,19.20499329825755,14.228699461860083,55.563446496088986,6.126592914157681,4.876267829635705
2025-04-07,38.400768015360306,28.450569011380228,11.14822296445929,12.250245004900098,9.750195003900078
2025-04-08,38.439207992152,28.479048629602193,11.059280466075396,12.262507757913072,9.759955154257343
2025-04-09,37.62935089369709,30.328864847914705,10.483301975540922,12.004154907494511,9.554327375352775
2025-04-11,37.574120824282275,30.284349987279597,10.614689132859743,11.986535940037966,9.54030411554042
2025-04-14,37.574120824282275,29.20800798450068,11.691031135638662,11.986535940037966,9.54030411554042
2025-04-16,34.846367447685076,27.087605945661448,18.101961923083902,11.116354198805785,8.84771048476379
2025-04-25,34.86218542324872,27.099901950103494,18.06478556124487,11.121400297781166,8.851726767621745
