date,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CITIBANK N.A.,TOTAL_CCASS_PCT
2024-03-04,0.0,0.0,5.929112072983772,0.0,0.0,0.0,0.0,0.0,5.929112072983772
2024-03-06,0.0,6.269532818179124,5.929112072983772,0.0,0.0,0.0,0.0,0.0,12.198644891162896
2024-03-07,0.0,6.269667534238087,5.929112072983772,0.0,0.0,0.0,0.0,0.0,12.198779607221859
2024-04-03,0.0,6.269600176208605,5.929112072983772,0.0,0.0,0.9568131299659708,0.0,0.0,13.155525379158348
2024-04-29,65.73194185116031,6.269600176208605,5.929112072983772,0.0,0.0,0.9568131299659708,0.0,0.0,78.88746723031865
2024-05-02,65.73194185116031,6.269465460149642,5.929112072983772,0.0,0.0,0.9568131299659708,0.0,0.0,78.8873325142597
2024-05-07,65.73194185116031,6.268522447736904,5.929112072983772,0.0,0.0,0.9493363886935505,0.0,0.0,78.87891276057454
2024-05-10,65.73194185116031,6.267175287147279,5.929112072983772,0.0,0.0,0.9493363886935505,0.0,0.0,78.8775655999849
2024-05-14,65.73194185116031,6.267040571088317,5.929112072983772,0.0,0.0,0.9493363886935505,0.0,0.0,78.87743088392595
2024-05-16,65.73194185116031,6.264278891879585,5.929112072983772,3.4585909777960993,0.0,0.9493363886935505,0.0,0.0,82.33326018251331
2024-05-23,65.73194185116031,6.260035336022265,5.922510986094609,3.458052113560249,0.0,0.9493363886935505,0.0,0.0,82.32187667553099
2024-05-29,65.73187449313083,6.259361755727453,5.911733701377607,3.458052113560249,0.0,0.9493363886935505,0.0,1.3366190580114294,83.64697751050112
2024-05-30,65.73187449313083,6.25329953307414,5.911733701377607,3.458052113560249,0.0,0.9493363886935505,0.0,1.3366190580114294,83.6409152878478
2024-05-31,65.73187449313083,6.253030100956214,5.911733701377607,3.458052113560249,0.0,0.947652437956519,0.0,1.3366190580114294,83.63896190499285
2024-06-05,65.73187449313083,6.254377261545841,5.918469504325732,3.458052113560249,0.0,0.949673178840957,0.0,1.3366190580114294,83.64906560941505
2024-06-06,65.73187449313083,6.2597659039043405,5.918469504325732,3.458052113560249,0.0,0.949673178840957,0.0,1.3366190580114294,83.65445425177353
2024-06-14,65.73187449313083,6.25707158272509,5.918469504325732,3.458052113560249,0.0,0.949673178840957,0.0,1.3366190580114294,83.65175993059428
2024-06-27,65.73187449313083,6.25707158272509,5.921972121858758,3.458052113560249,0.0,0.949673178840957,0.0,1.3366190580114294,83.65526254812731
2024-06-28,65.73187449313083,6.255387631988059,5.921972121858758,3.458052113560249,0.0,0.949673178840957,0.0,1.3366190580114294,83.65357859739028
