date,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,MERRILL LYNCH FAR EAST LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-09-17,21.435583163546664,5.200113507197476,10.635486406788663,0.0,0.0,13.772684697890453,9.914186509075893,2.9434495975212176,8.786841646327899,5.117134162362293,77.80547969071056
2024-09-19,21.89446198312835,5.058897761006921,12.326842950317808,0.0,0.0,14.333868946893864,6.485996508911569,3.4154038313626534,9.095479625334368,5.126569536498731,77.73752114345426
2024-09-20,26.679546953619838,4.941538669219989,11.721551330997341,0.0,0.0,13.640887363365975,5.965207146218085,4.434832927618135,7.660844593203739,5.964170668602272,81.00857965284537
2024-09-23,29.81721595327405,4.842202202188052,12.351520164224985,0.0,0.0,12.511734583985696,5.5362621394304465,4.66236609145634,6.828871467410942,6.947951719861975,83.49812432183248
2024-09-24,32.0864147751598,4.782052575530258,11.299275578831049,0.0,0.0,11.759272331224745,5.2487305976284695,5.7893736484135765,6.232733221157218,7.362472089226834,84.56032481717196
2024-09-25,33.1235366114603,4.757513535079537,11.230306881126479,0.0,0.0,11.697719236837255,5.2432374076185875,5.569931936320766,5.393507579132133,7.583201005450431,84.59895419302549
2024-09-26,33.72120148004621,4.7557642803239055,11.645855776949169,0.0,0.0,11.429195379917813,5.261860786532082,4.8621088979995415,4.805917534476663,7.67008277862227,84.15198691486766
2024-09-27,34.210553907702604,4.753608633049289,11.461789650172019,0.0,0.0,11.410907716563482,4.937924426187015,4.952241104553663,4.667881721400965,7.663677679138265,84.0585848387673
2024-09-30,29.864296683483175,12.431971495670652,8.625871765856417,0.0,0.0,10.377643491534512,5.0472154426106846,5.193795176604079,3.933186294506325,6.565428052764967,82.0394084030308
2024-10-02,29.999510946095747,12.431971495670652,9.316987593887056,0.0,0.0,10.544333589153236,4.733569025664191,4.374666147344581,3.8753986526818456,6.510099047627828,81.78653649812514
2024-10-03,29.912042357015494,12.50241799742951,10.922496556418276,0.0,0.0,10.294287687534043,4.642602233853193,3.713424706364077,3.8560999986940123,6.389995521231132,82.23336705853974
2024-10-04,32.43104516642506,12.430296758769515,10.233896982170197,0.0,0.0,10.252250254859618,4.539504969282406,3.818898560878607,3.7276273971592464,6.974125314877426,84.40764540442207
2024-10-07,32.93219604869643,12.435367063149103,10.084649960781963,0.0,0.0,10.24572615593337,4.359509163806939,4.351404666370131,3.4577248007792902,6.57568358842342,84.44226144794065
2024-10-08,33.259362048157136,12.43054259170913,9.972380669234084,0.0,0.0,10.253715726470906,4.381864596753315,4.332800644082302,3.555213386832727,6.763192663115918,84.94907232635552
2024-10-09,33.64411487465977,12.429205875099965,9.818668860725653,0.0,0.0,10.246018082549165,4.397121603568265,4.2515267377892085,3.3360533211646026,6.929422438555209,85.05213179411184
