date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,UBS SECURITIES HONG KONG LTD,DBS BANK (HONG KONG) LTD
2024-03-01,22.58107829346779,27.846987743778605,29.14830177308247,9.743160585180718,5.323557769931353,1.7830832683423077,1.0063059626689335,2.069786042210478,0.4977385613373472,0.0
2024-03-04,22.454617472909728,27.88734424562072,29.17516425921108,9.839913805707953,5.290896324624075,1.7806478045191028,1.0021197158894426,2.0628773965786085,0.5064189749392921,0.0
2024-03-05,22.652605722495483,27.844488818868783,29.00718284408925,9.881620719968673,5.2876482185332865,1.8035328862247881,0.9994374211198925,2.0616109864610648,0.46187238223877947,0.0
2024-03-06,22.751369518252744,27.36937514395988,29.087582492020864,10.178245787736005,5.263548918459629,1.8296480711327456,0.9934996146400575,2.049585968480695,0.47714448531737935,0.0
2024-03-07,22.78164667089673,27.952884069906077,29.535633046469002,9.181060752797565,5.22029186608507,1.8041733131445032,0.991466109157118,2.0368790322019983,0.49596513934193837,0.0
2024-03-08,22.943834386518482,28.18140785927951,29.05348040781489,9.46444003505918,5.114492303193011,1.7627752416429374,0.9898419701581235,2.0280565869176663,0.46167120941619677,0.0
2024-03-11,22.84128189516563,28.32650821052977,29.08538104573785,9.456775259716123,5.079988718395077,1.7428827822308055,0.9895642290898871,2.020650065973335,0.4569677931615221,0.0
2024-03-12,22.839605710178915,28.291575211740188,29.307616706455146,9.254472902569454,5.080915578020314,1.7373717691193082,0.99340167928665,2.0305845623159144,0.46445588031411056,0.0
2024-03-13,22.909300359012537,28.363622284383467,29.163433229746115,9.272140674584872,5.084066274839002,1.7160307616904802,0.9686170741717574,2.0314323901888627,0.49135695138290936,0.0
2024-03-14,22.745535405354993,28.351521346632524,29.105272302968277,9.598911237544723,5.000964131721015,1.7383838978217447,0.9708616861369695,2.029469787763512,0.45908020405624145,0.0
2024-03-15,22.846305256408094,28.662806188735452,28.85596366020245,9.456724039943873,4.959334445390311,1.7821523185651795,0.9721398127930356,2.008925801515459,0.4556484764461505,0.0
2024-03-18,28.58292368056654,25.445704163322063,28.2590167552376,7.8582806497415145,4.690288836937691,1.426506633542896,0.9792605352535746,2.2654432745659827,0.4752909559996797,0.01728451483245739
