date,THE BANK OF EAST ASIA LTD,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,DBS BANK (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,22.585486150077188,30.435201377157245,0.0,22.030201538661483,0.0,18.743214786332235,0.0,0.0,6.205896147771845
2024-03-07,0.0,16.376508525599345,22.068257974143503,21.19562281961311,15.973877246708218,0.0,13.590516259242023,0.0,6.29538438395167,4.499832790742137
2024-03-11,31.636379813859918,11.193196902108275,15.083456672402587,14.487018359981358,10.918002029127186,0.0,9.288996140612497,0.0,4.302838842228109,3.0901112396800725
2024-03-12,31.388349042544327,11.235142987022694,15.13998135966726,14.509836226333537,10.958916831592896,0.0,9.323806304705156,0.0,4.318963569151761,3.1250036789823668
2024-03-14,31.389995536264188,11.235732332844762,15.140775536009368,14.510597348053905,10.959491687814712,0.0,9.32429539027334,0.0,4.30753332965678,3.1315788390829478
2024-03-15,31.4007019573079,11.239564588282674,15.143899079215533,14.461907048581574,10.963812762238307,0.0,9.327475697587143,0.0,4.32591064746805,3.1367282193188224
2024-03-18,31.40247178215441,11.24019807923773,15.139504986739283,14.461167399439113,10.964430711106631,0.0,9.328001418262666,0.0,4.326154466990241,3.1380711560699264
2024-03-19,31.40137322775661,11.239804862770002,15.13897536060351,14.46066150362447,10.964047141823913,0.0,9.35041408203232,0.0,4.30326413913414,3.1414596822550336
2024-03-20,31.391123758603438,11.236136168652932,15.134033969669943,14.455941515650034,10.960468455562044,0.0,9.34736208873228,0.0,4.3140996181345015,3.1608344249948233
2024-03-21,28.682105273024277,10.301086748070654,13.82478858816801,13.125330686721187,10.014592421143648,8.503670113344297,8.567323329612334,0.0,3.9417976991580166,3.039305140757577
2024-03-22,28.690967483374852,10.304269582689379,13.815209329207129,13.11233895924617,10.017686734610761,8.506297581327523,8.5699704651962,0.0,3.9419501877668988,3.0413096765810863
2024-03-25,28.688827827774134,10.303501132195798,13.808852194926779,13.11082840914678,10.016939656299778,8.517382291082322,8.569331351673295,0.0,3.943254268819489,3.041082868081624
2024-03-26,28.68859204475889,10.297516039857861,13.807969558772543,13.109990389374932,10.01629939214381,8.516837875844658,8.568783615948279,0.0,3.9483287350445533,3.0456823482544726
2024-03-27,28.690120227371068,10.297531887928699,13.808705081065037,13.11068873174487,10.016832939922857,8.517291550376063,8.569240057522999,0.0,3.9485390544394767,3.0410504696289293
2024-04-03,28.655165620313312,10.264236698690828,13.79188124567293,13.093651263442219,10.00462893183215,8.506914508489158,8.55879972417408,0.0,3.9437283520092903,3.1809936553760383
2024-04-05,28.65478448979188,10.264100178318309,13.791697805557442,13.093477110195309,10.004495864395302,8.506801361533203,8.560015945807663,0.0,3.9436758981075024,3.18095134629339
2024-04-08,28.641984394957753,10.25951520383643,13.774901336446904,13.087628252780986,10.000026855184032,8.503001372592387,8.556192185907218,0.0,3.941914257725638,3.2348361405686483
2024-04-09,28.638786157863304,10.258369600178405,13.773363195799277,13.086166854800343,9.998910226657436,8.502051905752763,8.555236779645597,0.0,3.9414740935167494,3.2456411857861225
2024-04-10,28.638786157863304,10.258369600178405,13.757411402543877,13.086166854800343,9.998910226657436,8.502051905752763,8.555236779645597,0.0,3.9414740935167494,3.2615929790415237
2024-04-12,28.635436389748815,10.2571697183397,13.755802251310993,13.084636216447535,9.997740692778718,8.501057453605782,8.5542361066695,0.0,3.942076403023404,3.271844768075561
2024-04-15,28.63147858303206,10.255752037999384,13.753901012377401,13.082827741787014,9.996358869057659,8.499882491861479,8.548269478030496,0.0,3.946315871338662,3.285213914515846
2024-04-17,28.625543923866896,10.253626252121736,13.751050139186791,13.053010457464998,9.99428684952823,8.498120658102637,8.54649761474174,0.0,3.939651602788636,3.3382125021983367
2024-04-18,28.625543923866896,10.253626252121736,13.751050139186791,13.028562350883158,9.99428684952823,8.498120658102637,8.54649761474174,0.0,3.939651602788636,3.362660608780176
2024-04-22,28.62189304860519,10.252318514161328,13.749296343035036,13.026900700152297,9.993012187474143,8.497036815693768,8.545407602380793,0.0,3.949777399152067,3.364357389345375
2024-04-24,28.62189304860519,10.470729172218823,13.526634382630922,13.027432112945625,9.993012187474143,8.497036815693768,8.545407602380793,0.0,3.955622939878667,3.362231738172067
2024-04-25,27.40783783760403,10.026592116262155,12.95409624791992,12.473626062543506,9.56913845909431,8.136617894183457,8.182936936580267,4.261547307296973,3.775115433762619,3.212491704752756
2024-04-26,27.407558898900046,10.026490072291127,12.953964409763257,12.473499114292116,9.569041070781676,8.13653508511024,8.182853656102713,4.261503936109143,3.7750770131541524,3.213476743495526
2024-04-29,27.383173726104097,10.017569259830172,12.942438952071464,12.462909552197662,9.560527261840743,8.181662445390625,8.19082558946908,4.257712372247656,3.7925632058914194,3.2106176349570767
2024-05-02,27.384983704002597,10.01823140290892,12.943294423708544,12.463733327814982,9.561159195276034,8.18220323837347,8.191366988119055,4.257993799279052,3.786204069583484,3.210829850933863
2024-05-03,27.38066799780975,10.016652590820724,12.940492088456129,12.462531670653368,9.559652414976442,8.185997447080606,8.190076078706051,4.257322765459668,3.796283102279504,3.210323843757754
2024-05-06,27.379276124676462,10.016143402745847,12.927125730607544,12.461898148381138,9.559166458119545,8.198289857676057,8.18965974310553,4.257106348052414,3.7960901214341556,3.2152440652013112
