date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,EVERBRIGHT SECURITIES INVESTMENT,SOOCHOW SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,ABCI SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,CENTRAL CHINA INTERNATIONAL SECURITIES,KINGSTON SECURITIES LTD,KGI ASIA LTD
2024-03-01,70.29683634466657,0.0,0.0,0.0,0.0,12.203554100085604,10.422152948453583,0.0,0.0,7.077456606794248
2024-03-04,62.91361317488015,0.0,0.0,0.0,10.512845030304232,10.921824109510714,9.319018270008346,0.0,0.0,6.332699415296561
2024-03-05,62.94139503971654,0.0,0.0,0.0,10.49277467653716,10.927254739672017,9.303079687907024,0.0,0.0,6.335495856167256
2024-03-06,59.2393038585673,0.0,0.0,0.0,9.8935922523316,10.283409513382633,8.759888870638921,0.0,5.861603661026807,5.962201844052746
2024-03-07,59.220789682977056,0.0,0.0,0.0,9.89050018857921,10.280195619278619,8.778875907828514,0.0,5.859771722561093,5.9698668787755
2024-03-08,47.79942750774753,0.0,19.3189682980853,0.0,7.969040900773066,8.305084064213709,7.063471738540955,0.0,4.73140303466308,4.812604455976363
2024-03-11,47.76906945467091,0.0,19.30937140870685,0.0,7.963544244111052,8.354479315535228,7.0644229624933494,0.0,4.729052663213222,4.810059951269386
2024-03-12,47.78606181428453,0.0,19.294019793279208,0.0,7.96355739921659,8.346777871413522,7.063371397894688,0.0,4.72495420280542,4.821257521106043
2024-03-13,47.794712560421395,0.0,19.294436975098158,0.0,7.963987898749653,8.337614993485111,7.064729809556799,0.0,4.724115766635186,4.820401996053693
2024-03-14,47.80062547171573,0.0,19.288391692576507,0.0,7.967789707967397,8.32578745658448,7.068199024154668,0.0,4.722635619040769,4.826571027960442
2024-03-15,47.74757864954474,0.0,19.268534149113666,0.0,7.962041670235083,8.324120293682116,7.158349570063724,0.0,4.717773630360793,4.82160203699988
2024-03-18,47.8119328194311,0.0,19.277324047354448,0.0,7.950314372241913,8.324209193023787,7.0928721911940205,0.0,4.7197378706318664,4.823609506122861
2024-03-19,47.80024893875448,0.0,19.27583358192165,0.0,7.951668075564743,8.32860960751585,7.100878317232078,0.0,4.719448110272186,4.823313368739013
2024-03-20,47.82279452128649,0.0,19.283998961593383,0.0,7.974011498900231,8.326128326395805,7.04242557863778,0.0,4.721522491912231,4.829118621274082
2024-03-21,47.826526447215244,0.0,19.282903426990643,0.0,7.988912693835255,8.321202595612588,7.0325058887509995,0.0,4.721254259618825,4.826694687976446
2024-03-22,47.87142568879613,0.0,19.296193414977253,0.0,8.028071062031227,8.312263091441189,6.940255299384164,0.0,4.723154290677195,4.828637152692838
2024-03-25,47.87181634979641,0.0,19.294259421374868,0.0,8.034600840457122,8.308594833953475,6.933970510292445,0.0,4.722117061307347,4.834640982818334
2024-03-26,47.86048606335583,0.0,19.26836777806206,0.0,8.022592015777098,8.296831783156092,7.0148436086243855,0.0,4.71578028683145,4.8210984641930885
2024-03-27,47.82928912493254,0.0,19.251996707915144,0.0,8.033181822985464,8.302966413903444,7.054720380013781,0.0,4.7122986939709275,4.815546856278705
2024-03-28,47.851414836819,0.0,19.238386030414617,0.0,8.045695790190557,8.29870595846108,7.046354878989809,0.0,4.708142701059657,4.811299804065272
2024-04-02,45.035448815022136,0.0,18.10502069238737,0.0,7.580017649853374,7.809318153382878,6.663960011181183,5.848168741451712,4.430496085551206,4.527569851170144
2024-04-03,45.06042247181688,0.0,18.11972470553383,0.0,7.599635899976184,7.801736894651228,6.6265330926682395,5.81810318458693,4.435097702442431,4.538746048324279
2024-04-05,45.08246071297979,0.0,18.11079234958092,0.0,7.60237591657225,7.797890926120994,6.628311400436392,5.815235074311524,4.4329113628590235,4.530022257139107
2024-04-08,45.08908284832262,0.0,18.110557406506906,0.0,7.60227729440635,7.797789767627779,6.622315699289399,5.815159635911143,4.432853856715597,4.529963491220206
2024-04-09,45.086223419954344,0.0,18.109408883664077,0.0,7.605110174203912,7.7972952527726775,6.625643116369319,5.814790854126761,4.432572737046054,4.528955561862853
2024-04-10,45.09588543730631,0.0,18.11245017673673,0.0,7.605954912594146,7.799325502365159,6.607150820415223,5.815767389763963,4.433317143053219,4.530148617765257
2024-04-11,45.1173844378798,0.0,18.118594615398088,0.0,7.601577332508545,7.801971333088316,6.576225447100232,5.817740321401949,4.434821094478124,4.531685418144946
2024-04-12,45.19656868577817,0.0,18.14040200702155,0.0,7.597738917168684,7.8162139576315655,6.437840717254837,5.82836070022037,4.442916931936186,4.539958082988641
2024-04-15,45.20331093549511,0.0,18.141948341372522,0.0,7.597230736547549,7.81688023173798,6.428131492016216,5.828857524621346,4.443295657560221,4.540345080649056
2024-04-16,45.20527631144867,0.0,18.145172869103178,0.0,7.597858536061075,7.80887679554948,6.427684469665045,5.829893538635526,4.44408540350116,4.541152076035869
2024-04-17,45.21135223238697,0.0,18.147611713520472,0.0,7.594833071416785,7.809059221778784,6.420021480374061,5.830677119117933,4.444682721198516,4.541762440206474
2024-04-18,45.2127574983117,0.0,18.145366918425108,0.0,7.556430102950464,7.808652948125521,6.460441126391794,5.830373772654945,4.444451482398111,4.5415261507423486
2024-04-19,45.21203877088368,0.0,18.145078469464735,0.0,7.553419697585008,7.811130073076873,6.462217112251313,5.8302810897535275,4.444380830897082,4.54145395608778
2024-04-22,45.216288592175026,0.0,18.147596151479405,0.0,7.554467756371519,7.813659232490316,6.449816611899697,5.831090058084242,4.444997501566383,4.542084095933411
2024-04-23,45.24373871307259,0.0,18.14681684987595,0.0,7.543782735524389,7.810231925869098,6.435533824042411,5.831768584806723,4.445514737547329,4.5426126292615105
2024-04-24,44.67288420827232,0.0,18.33595495523703,0.0,7.6224697373199675,7.891698181608503,6.501930709814534,5.89259806534613,4.491884607730412,4.5905795346711
2024-04-25,44.69294233161064,0.0,18.328726858985796,0.0,7.61216487020632,7.892967285213072,6.503455661979657,5.890275183004298,4.4901138914315695,4.589353917568646
2024-04-26,44.61704378541171,0.0,18.300986098012988,0.0,7.5122334229470775,7.894930315533457,6.7351402058469105,5.881079094958115,4.4831037804605,4.575483296829243
2024-04-29,44.60633898510405,0.0,18.30664357312432,0.0,7.489183317203992,7.88366398602148,6.769885592780699,5.882897142271483,4.484489664692291,4.576897738801685
