date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,32.6646217157047,0.0,0.0,1.634983276221974,0.0,3.5304593753823617,1.4808498335971703,0.0,0.0,39.310914200906204
2024-03-04,0.0,32.6646217157047,0.0,15.610211384695505,1.633522295723161,0.0,3.530240228307539,1.4845022848442033,0.8483913756608886,0.0,55.771489284935996
2024-03-05,0.0,32.6646217157047,0.5732824655181976,15.610211384695505,1.6345449820723303,0.0,3.529948032207777,1.4845022848442033,0.8483913756608886,0.0,56.3455022407036
2024-03-06,0.0,32.6646217157047,0.5732824655181976,15.610211384695505,1.636152060621025,0.0,3.5297288851329545,1.4845022848442033,0.8483913756608886,0.0,56.346890172177474
2024-03-07,0.0,32.6626493920313,0.5732824655181976,15.610211384695505,1.6375399920948976,0.0,3.529509738058133,1.4837717945947968,0.8483913756608886,0.0,56.34535614265371
2024-03-08,0.0,32.67083088282465,0.5732824655181976,15.610211384695505,1.6388548745438294,0.0,3.529290590983311,1.4837717945947968,0.848318326635948,0.0,56.35456031979624
2024-03-11,30.352189525379636,32.665493336670295,0.5732824655181976,15.610211384695505,1.6453562377635487,2.4138319801393493,3.5291444929334297,1.4837717945947968,0.848318326635948,0.0,89.12159954433069
2024-03-12,30.352189525379636,32.665493336670295,0.572551975268791,15.610211384695505,1.6465250221625993,2.4138319801393493,3.528925345858607,1.48304130434539,0.848318326635948,0.0,89.12108820115611
2024-03-13,30.352189525379636,32.665493336670295,0.572551975268791,15.610211384695505,1.6386357274690073,2.4122249015906547,3.528779247808726,1.48304130434539,0.848318326635948,2.264154528035926,91.37560025789988
2024-03-14,30.352189525379636,32.665420287645354,0.572551975268791,15.612183708368901,1.631330824974941,2.4098873327925534,3.528560100733904,1.4837717945947968,0.8461268558877281,2.2808827547473385,91.38290516039395
2024-03-15,30.352189525379636,32.66439760129618,0.572551975268791,15.612329806418785,1.6263634912789755,2.4098873327925534,3.5283409536590824,1.483698745569856,0.8460538068627873,2.287530216016939,91.38334345454359
2024-03-18,30.352189525379636,32.66439760129618,0.572551975268791,15.613790786917598,1.6266556873787383,2.4098873327925534,3.52812180658426,1.483698745569856,0.8460538068627873,2.287530216016939,91.38487748406735
2024-03-19,30.352189525379636,32.66439760129618,0.572551975268791,15.613790786917598,1.6254138539547471,2.4098873327925534,3.527975708534379,1.483698745569856,0.8460538068627873,2.294835118511005,91.39079445508753
2024-03-20,30.352189525379636,32.66439760129618,0.5724789262438502,15.613790786917598,1.6272400795782638,2.4098873327925534,3.527391316334853,1.4844292358192628,0.8471495422368972,2.3343546410039053,91.433308987603
