date,UOB KAY HIAN (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,CGS INTERNATIONAL SECURITIES HK LTD,CITIC SECURITIES BROKERAGE (HK) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,46.538027497092976,53.46197250290702,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,46.581210975823744,53.41878902417626,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,38.769359167189116,44.44893459161594,0.0,0.0,0.0,0.0,16.78170624119495
2024-03-14,0.0,0.0,38.827533433540985,44.40864754697253,0.0,0.0,0.0,0.0,16.763819019486483
2024-03-15,0.0,0.0,38.85751357067662,44.36572346133753,0.0,0.0,0.0,0.0,16.77676296798585
2024-03-18,0.0,0.0,38.86801755941223,44.35068436695458,0.0,0.0,0.0,0.0,16.781298073633184
2024-03-19,0.0,0.0,38.871019742193035,44.34638598932568,0.0,0.0,0.0,0.0,16.782594268481283
2024-03-20,0.0,0.0,38.8725210075076,44.34423655149517,0.0,0.0,0.0,0.0,16.783242440997228
2024-03-22,0.0,0.0,38.87360858661585,44.30146159465238,0.0,0.0,0.0,0.0,16.824929818731764
2024-03-25,0.0,0.0,38.86461116718279,44.314353197209044,0.0,0.0,0.0,0.0,16.821035635608172
2024-03-26,0.0,0.0,38.88990042612743,44.274776446409454,0.0,0.0,0.0,0.0,16.835323127463113
2024-03-28,0.0,0.0,38.88839901148058,44.27692781902614,0.0,0.0,0.0,0.0,16.83467316949328
2024-04-03,0.0,0.0,38.885584994447555,44.27706457069182,0.0,0.0,0.0,0.0,16.837350434860628
2024-04-05,0.0,0.0,38.60113446185826,44.483147449788014,0.0,0.0,0.0,0.0,16.915718088353728
2024-04-08,0.0,0.0,38.50960702738857,44.61342722337567,0.0,0.0,0.0,0.0,16.876965749235758
2024-04-09,0.0,27.257193552264823,28.002132706862888,32.468644211639074,0.0,0.0,0.0,0.0,12.272029529233212
2024-04-11,0.0,27.272541963023976,28.017900589718952,32.430617589941036,0.0,0.0,0.0,0.0,12.278939857316033
2024-04-12,0.0,27.347999725352413,28.09542061284357,32.35095060589607,0.0,0.0,0.0,0.0,12.20562905590795
