date,VMS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,NANYANG COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.722942030185185,0.9299523544441284,0.0,0.8434703741234643,2.4963647587527773
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.7260687298968842,0.9317852473785727,0.0,0.8434703741234643,2.5013243513989214
2024-03-06,0.0,3.2295404770943543,0.0,0.0,0.0,0.0,0.7653142021402825,0.9329712369243898,0.0,0.8432547396605884,5.771080655819615
2024-03-07,0.0,3.224796518911086,0.0,0.0,0.0,0.0,0.7667158261489752,0.9448311323825596,0.0,0.8592116899133986,5.79555516735602
2024-03-08,0.0,3.224796518911086,0.0,0.0,0.0,0.0,0.7653142021402825,0.9451545840768732,0.0,0.8592116899133986,5.794476995041641
2024-03-11,0.0,3.224796518911086,0.0,0.0,0.0,0.0,0.7631578575115243,0.945585853002625,0.0,0.8476752461495426,5.781215475574778
2024-03-15,0.0,3.224796518911086,0.0,0.0,0.0,0.0,0.7631578575115243,0.945585853002625,0.0,0.8455189015207846,5.77905913094602
2024-03-18,0.0,3.224796518911086,0.0,0.0,0.0,0.0,0.7616484162713936,0.9419200671337361,0.0,0.8453032670579086,5.773668269374125
2024-03-20,0.0,3.224688701679648,0.0,0.0,0.0,0.0,0.7577669959396289,0.9423513360594876,0.0,0.8450876325950328,5.769894666273798
2024-03-21,0.0,3.223718346596707,0.0,0.0,0.0,0.0,0.7577669959396289,0.9423513360594876,0.0,0.844871998132157,5.7687086767279805
2024-03-26,0.0,3.223664437980988,0.0,0.0,0.0,0.0,0.7577669959396289,0.9423513360594876,0.0,0.8446563636692812,5.7684391336493865
2024-03-28,0.0,3.223664437980988,0.0,0.0,0.0,0.0,0.7578855948942106,0.9423513360594876,0.0,0.8446563636692812,5.768557732603967
2024-04-02,0.0,3.223664437980988,0.0,0.0,0.0,0.0,0.7577777776627728,0.9451545840768732,0.0,0.8419609328833335,5.768557732603967
2024-04-03,0.0,3.223041793469435,0.0,0.0,0.0,0.0,0.8170772549536217,0.9457772285884273,0.0,0.8419609328833335,5.827857209894817
2024-04-05,0.0,3.223041793469435,0.0,0.0,0.0,0.0,0.8175085238793733,0.946100680282741,0.0,0.8414218467261441,5.828072844357693
2024-04-10,0.0,3.223041793469435,0.0,0.0,0.0,0.0,0.8152443620191774,0.9328391608158784,0.0,0.8306401235823533,5.801765439886843
2024-04-11,0.0,3.223041793469435,0.0,0.0,0.0,0.0,0.8155678137134911,0.9328391608158784,0.9123300053259126,0.8303166718880395,6.714095445212756
2024-04-12,0.0,3.223041793469435,0.0,0.0,0.0,0.0,0.8127645656961054,0.9280952026326105,0.9123300053259126,0.8303166718880395,6.706548239012103
2024-04-15,0.0,3.223041793469435,0.0,0.0,0.0,0.0,0.8127645656961054,0.9279873854011725,0.9123300053259126,0.8303166718880395,6.706440421780664
2024-04-18,0.0,3.223041793469435,0.9479244626611288,0.0,0.0,0.0,0.8127645656961054,0.9280952026326105,0.9123300053259126,0.8298854029622879,7.65404143274748
2024-04-25,0.0,3.223041793469435,0.9634501439881876,0.0,0.0,0.0,0.8127645656961054,0.928526471558362,0.9123300053259126,0.8296697684994121,7.669782748537414
2024-04-26,0.0,3.223041793469435,0.9840432351928278,0.0,0.0,0.0,0.8127645656961054,0.9166665761001922,0.9123300053259126,0.8140362699409156,7.662882445725389
2024-05-03,0.0,3.223041793469435,0.9901888173847885,0.0,0.0,0.0,0.81200984507604,0.9166665761001922,0.9123300053259126,0.8086454083690202,7.662882445725389
2024-05-07,0.0,3.215494587268781,1.000215819908514,1.2372781489033768,0.0,0.0,0.8141661897047983,0.9166665761001922,0.8707988077760307,0.8086454083690202,8.863265538030712
2024-05-08,0.0,3.215494587268781,1.000108002677076,1.2156068853843573,0.0,0.0,0.7225215429825771,0.9231356099864666,0.8707988077760307,0.8086454083690202,8.75631084444431
2024-05-09,0.0,3.117725921800887,1.000108002677076,1.190377653227887,0.0,0.0,0.723659014774247,0.9172056622573819,0.8707988077760307,0.7978636852252294,8.61773874773874
2024-05-10,0.0,3.124194955687161,0.9887871933760957,1.1827226297957956,0.0,0.0,0.7298045969662077,0.9167743933316301,0.8707988077760307,0.7978636852252294,8.610946262158151
2024-05-13,0.0,3.117725921800887,0.9887871933760957,1.1908089221536386,0.0,0.0,0.7262466283287567,0.8735396835250294,0.8729551524047887,0.7870819620814387,8.557145463670635
2024-05-14,0.0,3.117725921800887,0.9887871933760957,1.1908089221536386,0.0,0.0,0.7261388110973188,0.8735396835250294,0.8729551524047887,0.7870819620814387,8.557037646439197
2024-05-16,0.0,3.117725921800887,0.9947171411051806,1.2123723684412202,0.0,0.0,0.7169743464250967,0.8582296366608465,0.8729551524047887,0.7918259202647067,8.564800487102726
2024-05-17,0.0,3.117725921800887,0.9947171411051806,1.2064424207121351,0.0,0.0,0.7169743464250967,0.8573670988093431,0.8729551524047887,0.7918259202647067,8.558008001522138
2024-05-20,0.0,3.117725921800887,0.9947171411051806,1.1918870944680178,0.0,0.0,0.7169743464250967,0.8483104513685591,0.8729551524047887,0.7870819620814387,8.529652069653968
2024-05-21,0.0,3.117725921800887,0.9947171411051806,1.1918870944680178,0.0,0.0,0.7237668320056849,0.8498198926086898,0.8729551524047887,0.7870819620814387,8.537953996474688
2024-05-22,0.0,3.117725921800887,0.9947171411051806,1.1918870944680178,0.0,0.0,0.7231199286170574,0.8500355270715656,0.8729551524047887,0.7870819620814387,8.537522727548936
2024-05-23,0.0,3.117725921800887,0.9947171411051806,1.1703236481804362,0.0,0.0,0.7231199286170574,0.8500355270715656,0.8729551524047887,0.7870819620814387,8.515959281261354
