date,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,SDICS INTERNATIONAL SECURITIES (HONG,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA INTERNATIONAL CAPITAL CORPORATION
2024-03-06,84.44738490565994,0.0,0.0,0.0,10.766952533997065,0.0,0.0,4.785662560342982,0.0
2024-03-14,84.44358143755504,0.0,0.0,0.0,10.770971545957238,0.0,0.0,4.785447016487723,0.0
2024-03-22,84.44167983197943,0.0,0.0,0.0,10.77298091617966,0.0,0.0,4.78533925184092,0.0
2024-04-03,57.85280565371242,17.447996400241824,0.0,9.858758245428001,7.377714562411917,0.0,0.0,3.278538540146245,4.184186598059584
2024-04-05,55.117973719954435,16.627600184708648,2.7854758088775537,9.392712622019825,7.021603900489282,1.9432184798607526,0.0,3.1250245750256886,3.986390709063813
2024-04-08,55.117163548314764,16.6288256643354,2.785434865545442,9.392574559807585,7.021500690883389,1.9431899167551843,0.0,3.1249786407121953,3.9863321136460366
2024-04-11,55.117973719954435,16.629070092787213,2.7854758088775537,9.392712622019825,7.021603900489282,1.9432184798607526,0.0,3.123554666947125,3.986390709063813
2024-04-17,55.117163548314764,16.6288256643354,2.792784297908359,9.392574559807585,7.021500690883389,1.9373103708648511,0.0,3.123508754239612,3.9863321136460366
2024-04-22,55.116353400491946,16.628581243069128,2.792743247753146,9.392436501654002,7.024337214046058,1.9358120301531019,0.0,3.1234628428818083,3.9862735199508066
2024-04-23,55.11473317629269,16.631032065408828,2.792661151062905,9.392160397522087,7.024130723586588,1.9357551241841293,0.0,3.1233710242150914,3.986156337727684
2024-04-24,55.11473317629269,16.63250188706728,2.792661151062905,9.392160397522087,7.024130723586588,1.9342853025256754,0.0,3.1233710242150914,3.986156337727684
2024-04-25,55.11392309991414,16.635197022655422,2.7926201045277708,9.392022351543398,7.022557682854334,1.9342568723992346,0.0,3.1233251169060594,3.9860977491996388
2024-04-26,55.11149301365024,16.63887274833804,2.792496972161671,9.391608237954252,7.022248043837499,1.9341715870340837,0.0,3.1231874030755535,3.985921993948659
2024-04-29,55.11149301365024,16.641812218835053,2.792496972161671,9.391608237954252,7.022248043837499,1.9341715870340837,0.0,3.120247932578541,3.985921993948659
2024-04-30,28.07208255974127,8.476822183625801,1.7787626519734083,4.783793495837576,3.5626909025573457,0.9852069233994131,0.0,1.2562136910822304,2.030304845181769
2024-05-02,55.10177481116681,16.64034712551743,4.048406599328905,9.38995214871568,6.993089715261824,1.9323610446887514,0.0,1.9147273317334168,3.979341223587178
2024-05-03,55.06455343088028,16.69665676982249,4.045671891016795,9.38360921364694,6.988365866482694,1.9310557301949491,0.0,1.9134339288547673,3.976653169101082
2024-05-06,55.07183191749145,16.698863750269595,4.0462066518903015,9.384849548304548,6.995164305730787,1.9298423014823436,0.0,1.9136868484257945,3.959554676405174
2024-05-08,55.07749429305024,16.7005806940259,4.854478381157044,9.38581447975598,7.000290020198596,1.9300407240061594,0.0,1.9138836098782541,3.137417797927821
2024-05-13,55.086394664705175,16.70181039603593,5.119694716350183,9.387331201571783,7.001421247820182,1.930352613280958,0.0,1.9141928882078298,2.858802272027964
2024-05-17,55.09206003543898,16.703528096901913,5.120221252326781,9.388296643434183,7.008018178328124,1.9305511407625222,0.0,1.914389753739396,2.842934899068098
2024-05-20,55.12526633664334,16.713596015669236,6.1303276792453785,9.393955364599034,7.107798872034408,1.931714765114731,0.0,1.9155436369440597,1.6817973297498112
2024-05-21,55.82199012660728,16.92483780611883,6.617196239616343,9.512684807907409,7.215497964858594,1.9591069181856258,0.0,1.9397540382947345,0.008932098411180665
2024-05-24,55.81201975754726,16.921814859806357,6.616014341792529,9.510985746693871,7.2142092043271555,1.9766180080765983,0.0,1.9394075787076863,0.008930503048538846
2024-05-27,54.97171961165749,16.667041720307278,6.516404296487453,9.367789303611884,3.1671337489416342,1.9468582465096373,5.444048972574148,1.9102080536160069,0.008796046294471251
2024-05-28,54.97171961165749,16.667041720307278,6.516404296487453,9.367789303611884,3.1715317720888696,1.9424602233624015,5.444048972574148,1.9102080536160069,0.008796046294471251
2024-06-04,54.97091373382074,16.66826336999594,6.516308766898149,9.367651973111174,3.1714852778699925,1.9424317471631152,5.443969163566167,1.910180050229086,0.008795917345644295
2024-06-14,55.00074695864622,16.67730939115133,6.503710628000439,9.372735884736763,3.21280958172296,1.9552201775202043,5.446923656132655,1.82174303111785,0.008800690971583815
2024-06-17,54.66000616750677,16.603143970759223,7.005681292666272,9.31466988350759,3.2453825876750595,1.938734107208935,5.413178858498139,1.810456963273306,0.008746168904701961
2024-06-18,54.66000616750677,16.600228581124323,7.010054377118623,9.31466988350759,3.2453825876750595,1.9372764123914847,5.413178858498139,1.810456963273306,0.008746168904701961
2024-06-19,54.669569153222,16.590011308587986,7.011280814043381,9.31629952209133,3.2415765307398154,1.9376153466133612,5.414125915692738,1.8107737099276107,0.008747699081775896
2024-06-27,54.55503370883456,16.558164207202417,7.214826140366997,9.296781414991955,3.234785267991364,1.9219167839130473,5.402783054804527,1.8069800496744928,0.008729372220649723
2024-07-03,54.580444536371964,16.567332297790156,7.304065495546565,9.301111701184247,3.236291977179817,1.9199008347201914,5.2742980080555775,1.807821710934403,0.00873343821707441
2024-07-04,54.58123900616976,16.56757345092206,7.326005726453235,9.301247087628884,3.2363390844588897,1.9053728384516757,5.265641215092212,1.8078480254827969,0.008733565340496604
2024-07-05,54.57806126574161,16.566608880514536,7.356144902663895,9.30070556549709,3.2652608531337814,1.9052619069226433,5.211480796772087,1.8077427718853498,0.008733056869011352
2024-07-08,54.56932438716671,16.563956890926956,7.389893963462228,9.299216704711231,3.301120060818915,1.9049569118101726,5.155346034549865,1.8074533876762677,0.00873165887766313
2024-07-09,54.53599111020163,16.53784065482926,7.619536293259212,9.293536345471724,3.3020123705840523,1.9037932826639261,4.992214299930923,1.8063493178522505,0.008726325207015703
2024-07-10,54.534404827029995,16.537359620235556,7.8374664491644905,9.293266025266485,3.3077337061886682,1.9037379072103018,4.7346499860055635,1.8426554075137147,0.008726071385226747
2024-07-11,54.48844272307909,16.523421779631086,7.976172909013722,9.285433574166092,3.3049459174353486,2.1927573182185656,4.367379705137352,1.8527273563476947,0.008718716971047974
2024-07-15,54.48844272307909,16.523421779631086,8.121484858531188,9.285433574166092,3.3063990369305234,2.1927573182185656,4.002646711848511,2.070695280623894,0.008718716971047974
2024-07-16,54.486067480072975,16.51979538353889,8.12113082932526,9.285028806474935,3.303348793124255,2.1926617322332826,3.93853775908082,2.1447108792420977,0.008718336907488203
2024-07-17,54.4963616956387,16.52291651785166,8.122665178843604,9.28678305471652,3.319959542180489,2.1930759983673282,3.904401942434589,2.145116085878182,0.0087199840889357
2024-07-19,54.48527577842175,16.51955534512379,8.280846680610475,9.284893891753104,3.316378109649366,2.265281623981704,3.6943706443912516,0.91395903879698,1.2394388872715802
2024-07-22,54.48527577842175,16.51955534512379,8.280846680610475,9.284893891753104,3.316378109649366,2.2594694838303715,3.6943706443912516,0.9197711789483122,1.2394388872715802
2024-07-23,54.49715371949424,16.523156653956864,8.355319518303984,9.286918024345532,3.340354718121328,2.6233000053120006,3.1792361371856557,0.9548521348974983,1.2397090883829014
2024-07-25,54.49952992919761,16.523877104154565,8.35568383074893,9.287322956772599,3.340500365788264,2.6234143876329483,3.148853041049604,0.9810552419125984,1.2397631427428837
2024-07-26,54.523303428146306,16.53108506311264,8.359328703301484,9.291374224055746,3.3186927545383966,2.624558759690238,3.129869928758134,0.9814831926819451,1.2403039457151097
2024-07-29,54.5193397380997,16.529883299954427,8.358721003732782,9.290698767412154,3.289372625574008,2.6243679616868447,3.1078332440248557,1.0395695803911877,1.2402137791240326
2024-07-30,54.523303428146306,16.53108506311264,8.359328703301484,9.291374224055746,3.2605307875646514,2.624558759690238,3.1080591911429796,1.0614558972708443,1.2403039457151097
2024-08-01,54.53043952279714,16.533248677205588,8.699260584663895,9.292590293547692,3.266774488829369,2.5885462789538174,2.765265460874305,1.0834084145059515,1.2404662786222507
2024-08-02,54.52488906554485,16.531565817305186,9.024091605435482,9.291644434214104,3.2664419756071794,2.588282800141018,2.4479920560075317,1.084752229722022,1.2403400160226337
2024-08-05,54.65761594380191,16.57180768044762,9.040227921025256,9.314262562939598,3.274393292040103,2.594583311742173,2.2148995695834084,1.0888504122873053,1.2433593061326256
2024-08-06,54.663990338277635,16.57374035236364,9.04128222933937,9.315348830293223,3.26457055768107,2.591970300510383,2.2151578802202128,1.0904351995398014,1.2435043117746665
2024-08-07,54.66797508990368,16.574948501245746,9.04194129692375,9.316027876063005,3.257518993070056,2.592159243136154,2.215319354966394,1.090514687213635,1.243594957477581
2024-08-08,54.66797508990368,16.574948501245746,9.04194129692375,9.316027876063005,3.257518993070056,2.590701335800307,2.215319354966394,1.0919725945494823,1.243594957477581
2024-08-09,54.669569153222,16.57543181011836,9.228822531273572,9.31629952209133,3.2590719289033676,2.590776878052628,2.018560722116727,1.097836234762875,1.24363121945914
2024-08-12,54.66638111954251,16.574465220557087,9.228284356242975,9.315756245875608,3.258881877449987,2.5906257979532015,2.0184430105695927,1.1036036741984094,1.2435586976106252
2024-08-14,54.66000616750677,16.57253237959277,9.527493326855337,9.31466988350759,3.258501841032112,2.4445542088641985,1.8607765883716914,1.1180519249844008,1.243413679285129
2024-08-15,54.66319345765911,16.5734987437218,9.52804888635462,9.315213033018056,3.2586918481608613,2.43886563446623,1.8608850924738982,1.1181171199256414,1.2434861842197813
2024-08-23,54.67355471825872,16.576640205620908,9.529854902272694,9.316978706475293,3.2403547946316995,2.4393279148565203,1.8612378182143725,1.1183290560041548,1.2437218836656379
2024-08-26,54.67196042251194,16.576156826277604,9.566027349565253,9.316707020838587,3.225680168820481,2.348859939056489,1.861183544012656,1.1897391125202326,1.243685616396763
