date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,40.93295294220098,14.565475254613688,44.501571803185335,0.0,0.0,0.0
2024-03-07,0.0,47.78625577433205,0.0,0.0,21.375803920966057,7.598549919578803,23.239390385123095,0.0,0.0,0.0
2024-03-08,57.32635510124343,20.40299893361,0.0,0.0,9.126693387825341,3.221575325490167,9.92237725183106,0.0,0.0,0.0
2024-03-11,57.32255643103474,20.408273344587602,0.0,0.0,9.12608861715372,3.221361851213068,9.92171975601087,0.0,0.0,0.0
2024-03-12,57.31407081736386,20.41233114910469,0.0,0.0,9.12790316966332,3.2220023589351228,9.923692504933006,0.0,0.0,0.0
2024-03-13,49.96718397223368,17.796850123613396,9.922482752371952,0.0,7.958323009103198,2.835162648229749,8.65214594516632,2.8678515492817107,0.0,0.0
2024-03-14,49.954191641051956,17.793251491068148,9.920476365336366,0.0,7.9567137872472395,2.8548099759039594,8.653285087331103,2.86727165206122,0.0,0.0
2024-03-19,49.13430099823014,17.502861264191452,9.758571758755547,0.0,7.826858267415379,2.8167433241289066,8.512061353096795,2.820477075703035,0.0,1.6281259584787502
2024-03-21,49.123134265816674,17.498883396098567,9.756353932158778,0.0,7.825079460550629,2.8161031640301784,8.510126820408106,2.8425630259764025,0.0,1.627755934960671
2024-03-22,49.07712509627915,17.48249378446402,9.74721604328337,0.0,7.829103257054951,2.8134655764689307,8.530538249891027,2.893826628452263,0.0,1.6262313641062935
