date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,DBS BANK LTD,TOTAL_CCASS_PCT
2024-03-01,23.022959602169628,20.861743673477516,12.418961883942307,6.578990539603939,5.390186522018632,1.0822807137033754,2.721828061052127,1.137959225419183,0.0,0.0,73.2149102213867
2024-03-04,23.16392988957026,20.813980315298263,12.43004943463674,6.554778949312018,5.455465947529637,1.0809230544346695,2.707120085641147,1.1278912768355498,0.0,0.0,73.33413895325828
2024-03-05,23.203980837997083,20.76759362361748,12.431407093905445,6.551384801140253,5.455465947529637,1.063273483941493,2.6962588114914996,1.1428255287913145,0.0,0.0,73.3121901284142
2024-03-06,23.382739308376692,20.758090008736538,12.41647284194968,6.543465122072802,5.430824431802625,1.0616895481280029,2.6892442386031856,1.1405401356889928,0.0,0.0,73.42306563535853
2024-03-07,23.41306036537779,20.76804617670705,12.384567849135092,6.539618420811469,5.441006876317919,1.059653059224944,2.683813375251818,1.137145987517228,0.0,1.5721694331614162,74.99908154350472
2024-03-08,23.465330247222965,20.770082665610108,12.423939967927563,6.5373556553636245,5.41315223365497,1.059653059224944,2.6786090147217783,1.1239540649563027,0.0,1.5877825147515334,75.05985942343378
2024-03-11,23.514884810530727,20.727995228280225,12.456523790376504,6.523100233042213,5.4090792558488525,1.0463027430826695,2.671820718378249,1.1323262971133223,0.0,1.5934394283711417,75.07547250502391
2024-03-12,23.561950331845864,20.717133954130578,12.485260911564112,6.513822894706056,5.406137660766657,1.0499231677992185,2.661864550407739,1.1495233145169301,0.0,1.577147517146671,75.12276430288382
2024-03-13,23.546110973710967,20.696090235465636,12.446115069316425,6.4916477933171945,5.548494344557178,1.0379305109256498,2.6362950745705667,1.1531150021122916,0.0,1.5454688008768669,75.10126780485277
2024-03-14,23.55991384294281,20.668937050091518,12.44158953842074,6.489611304414135,5.570162586485724,1.0422297652765518,2.645346136361939,1.161690883159617,0.0,1.5454688008768669,75.1249499080299
2024-03-15,23.57846851961512,20.606032170641477,12.440910708786387,6.4794288598988405,5.574063594117805,1.037477957836081,2.6408206054662533,1.1567127991743622,0.0,1.5454688008768669,75.0593840164132
2024-03-18,23.592271388846964,20.590645365596146,12.447925281674701,6.477844924085351,5.566370191595139,1.038156787470434,2.64851400798892,1.1440413126664404,0.0,1.5454688008768669,75.05123806080096
2024-03-19,23.592271388846964,20.52276240216085,12.418961883942307,6.477844924085351,5.603479544939766,1.0408721060078459,2.6598278352281355,1.1549025868160876,0.0,1.5454688008768669,75.01639147290417
2024-03-20,23.596570643197868,20.480448688286184,12.470779212697916,6.474677052458371,5.6141145425446295,1.0397407232839244,2.649419114168057,1.1297858903450289,0.0,1.5454688008768669,75.00100466785884
2024-03-21,23.6119574482432,20.477280816659203,12.495443356079406,6.474677052458371,5.610154703010903,1.0399669998287087,2.6489665610784883,1.1303515817069894,0.0,1.5454688008768669,75.03426731994213
