date,KINGSTON SECURITIES LTD,VMS SECURITIES LTD,GLOBAL MASTERMIND SECURITIES LTD,GET NICE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CORNERSTONE SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,HANG SENG SECURITIES LTD,CHIEF SECURITIES LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.3716361745325,48.6283638254675,0.0
2024-03-07,0.0,0.0,0.0,0.0,52.69056240519462,0.0,0.0,24.303632157420914,23.005805437384463,0.0
2024-03-08,0.0,0.0,0.0,0.0,52.69984117027535,0.0,0.0,24.30791200722899,22.99224682249566,0.0
2024-03-11,91.273422313012,0.0,0.0,0.0,4.607493164013917,0.0,0.0,2.125215862470771,1.9938686605033031,0.0
2024-03-12,91.27314126162581,0.0,0.0,0.0,4.607786898987363,0.0,0.0,2.125209318453367,1.9938625209334622,0.0
2024-03-13,86.99264799938526,0.0,0.0,0.0,4.391615740193233,4.692224378652742,0.0,2.0253712338219163,1.8981406479468543,0.0
2024-03-14,86.98965210753188,0.0,0.0,0.0,4.390754947582292,4.696996888517738,0.0,2.024898472051943,1.8976975843161503,0.0
2024-03-18,86.71220992698501,0.0,0.0,0.0,4.376013260816252,4.681227013473876,0.0,2.0181000013186905,1.8913261826554715,0.3211236147506876
2024-03-19,86.71384159231104,0.0,0.0,0.0,4.375475911184401,4.680652185322684,0.0,2.0178521900740445,1.8910939385173968,0.32108418259043564
2024-03-20,86.70496919322332,0.0,0.0,0.0,4.373274195344667,4.692159109088776,0.0,2.0176457271887474,1.8909004453007798,0.3210513298537055
2024-03-21,86.70451806531894,0.0,0.0,0.0,4.374403394463807,4.691802495681186,0.0,2.017492382107868,1.89075673311295,0.32102692931525634
2024-03-22,86.70603361707518,0.0,0.0,0.0,4.373904756296381,4.6912676771956905,0.0,2.017262408186056,1.8905412057855797,0.32099033546112504
