date,ABN AMRO CLEARING HONG KONG LTD,MIRAE ASSET SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2025-03-03,17569.0,337.0,16.0,904.0,23.0,15.0,0.0,0.0,0.0,0.0
2025-03-04,17357.0,3275.0,71.0,916.0,53.0,41.0,190.0,0.0,2.0,0.0
2025-03-07,16847.0,0.0,90.0,907.0,80.0,123.0,245.0,0.0,8.0,0.0
2025-03-11,17969.0,2068.0,93.0,916.0,92.0,167.0,0.0,0.0,14.0,0.0
2025-03-12,16783.0,2012.0,177.0,0.0,119.0,169.0,295.0,0.0,16.0,0.0
2025-03-13,16048.0,1843.0,174.0,918.0,168.0,190.0,255.0,0.0,21.0,800.0
2025-03-17,13838.0,0.0,2116.0,929.0,179.0,203.0,263.0,0.0,0.0,0.0
2025-03-19,13730.0,0.0,2107.0,935.0,0.0,222.0,0.0,0.0,25.0,0.0
2025-03-21,12754.0,0.0,2144.0,44.0,0.0,262.0,0.0,0.0,0.0,1630.0
2025-03-27,14208.0,0.0,414.0,0.0,200.0,259.0,0.0,0.0,845.0,0.0
2025-03-31,13900.0,0.0,586.0,902.0,236.0,0.0,276.0,0.0,0.0,0.0
2025-04-01,13774.0,1841.0,591.0,960.0,0.0,368.0,0.0,0.0,0.0,0.0
2025-04-02,13436.0,0.0,648.0,0.0,290.0,394.0,0.0,0.0,851.0,1200.0
2025-04-03,13519.0,0.0,652.0,0.0,292.0,288.0,290.0,0.0,0.0,0.0
2025-04-08,13508.0,1832.0,626.0,966.0,0.0,309.0,0.0,0.0,0.0,0.0
2025-04-09,9979.0,1819.0,826.0,1479.0,312.0,667.0,312.0,0.0,859.0,0.0
2025-04-10,9457.0,1781.0,820.0,0.0,354.0,663.0,314.0,611.0,0.0,0.0
2025-04-11,8717.0,1711.0,960.0,1481.0,379.0,702.0,0.0,973.0,0.0,0.0
2025-04-14,10127.0,1781.0,942.0,981.0,374.0,707.0,339.0,968.0,855.0,0.0
2025-04-16,9590.0,0.0,1308.0,981.0,474.0,0.0,344.0,0.0,0.0,0.0
2025-04-24,9015.0,1725.0,1129.0,1282.0,522.0,805.0,0.0,0.0,0.0,0.0
2025-04-29,10092.0,1717.0,1198.0,698.0,0.0,462.0,0.0,0.0,855.0,0.0
2025-04-30,10054.0,0.0,1196.0,0.0,549.0,508.0,314.0,0.0,0.0,0.0
2025-05-02,10183.0,1700.0,1188.0,694.0,469.0,468.0,0.0,0.0,0.0,0.0
