date,CNI SECURITIES GROUP LTD,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,LONG BRIDGE HK LTD,CMB WING LUNG BANK LTD,ADVENT SECURITIES (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,66.18036682804997,0.0,33.81963317195003,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,66.18548016389038,0.0,33.81451983610963,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,66.18548016389038,0.0,33.81451983610963,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,66.18156076046942,0.0,33.81843923953057,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,64.47552129126065,0.0,28.65526976015283,5.232310239133177,0.0,0.0,1.6368987094533372,0.0,0.0
2024-03-14,64.44188706073794,0.0,28.688794451708876,5.235139978442319,0.0,0.0,1.6341785091108685,0.0,0.0
2024-03-15,64.41866111664913,0.0,28.714496214157403,5.233253145607616,0.0,0.0,1.6335895235858484,0.0,0.0
2024-03-18,64.3336745941724,0.0,28.803934715270636,5.229860271716949,0.0,0.0,1.6325304188400187,0.0,0.0
2024-03-19,61.08367248092853,0.0,27.37016176363376,4.9670491598831354,5.004678320185281,0.0,1.574438275369293,0.0,0.0
2024-03-20,59.05893693593831,0.0,26.733969979492617,4.985411102394691,4.935590205302139,0.0,1.5286711924564669,0.0,2.7574205844157715
2024-03-22,59.06557972221732,0.0,26.740612765771626,4.985411102394691,4.935590205302139,0.0,1.515385619898453,0.0,2.7574205844157715
2024-03-25,58.93240732088108,0.0,26.735737091193144,4.9758495497025015,5.025574894969349,0.03598457485810837,1.5423144590267082,0.0,2.7521321093690982
2024-03-26,58.93453761598486,0.0,26.725563210869275,4.975189834949672,5.024908587464159,0.035979803902983803,1.5520537243272379,0.0,2.751767222501811
2024-03-27,58.91619149080762,0.0,26.746760616590354,4.974200590757155,5.023909457420285,0.035972649841884696,1.5517451210006914,0.0,2.7512200735820054
2024-03-28,58.919917648349184,0.0,26.739707854817894,4.975354747237239,5.025075147775919,0.035980996523158046,1.5521051701491253,0.0,2.7518584351474717
2024-04-02,56.23292934050862,0.0,30.079135567226167,4.748992633087607,4.796450920560168,0.03434398070097666,1.48148954060178,0.0,2.6266580173146776
2024-04-03,56.24439665381307,0.0,30.085490387071616,4.750495635671039,4.775814732996401,0.03435485018335052,1.4819584153250926,0.0,2.627489324939438
2024-04-05,56.14799672680021,0.0,30.060095211920284,4.744489326320426,4.927820692693901,0.00270255721119518,1.4927282374116067,0.0,2.624167247642384
2024-04-08,55.84242566868818,0.0,30.433771880799455,4.721060635967246,4.903486696517612,0.0026892117546648865,1.4853570188777692,0.0,2.6112088873950747
2024-04-09,55.80088774475336,0.0,30.657616980395545,4.717814641152727,4.72724398420633,0.0026873627702768696,1.4843357523546803,0.0,2.6094135343670843
2024-04-10,55.81455675116439,0.0,30.641393744202226,4.718704526827768,4.7281356484669965,0.002687869667180374,1.4846157313753585,0.0,2.609905728296078
2024-04-12,55.812802160077055,0.0,30.63728689039129,4.718556189236494,4.727987014398192,0.0026877851710840786,1.4908562776451746,0.0,2.609823683080704
2024-04-15,55.799932212422895,0.0,30.647174488812283,4.719594748270944,4.729027649166889,0.0026883767553442088,1.4911844166339074,0.0,2.6103981079377334
2024-04-16,50.98383433769982,0.0,33.98683339459848,5.233458711071648,5.244355393654874,0.0029813323547705564,1.653680548830335,0.0,2.8948562817900774
2024-04-17,50.98732127612645,0.0,33.983346456171844,5.233458711071648,5.244355393654874,0.0029813323547705564,1.653680548830335,0.0,2.8948562817900774
2024-04-18,50.89977132179698,0.0,34.077182542923815,5.2312697771989045,5.242161902161841,0.002980085389859291,1.6529888843751683,0.0,2.893645486153431
