date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,TSE\,HANG SENG BANK LTD
2024-04-24,85.6577735748296,14.34222642517039,0.0,0.0
2024-05-08,61.42198824380043,10.284274574416429,28.293737181783147,0.0
2024-11-18,61.38899907711883,10.332460038688227,28.27854088419294,0.0
2025-02-19,59.48920471495073,13.107385342063582,27.403409942985686,0.0
2025-02-20,59.07371749729392,13.71426470567488,27.2120177970312,0.0
2025-02-26,57.86136357146828,15.485083512390727,26.653552916140992,0.0
2025-03-05,55.58005471253511,18.817266091479695,25.60267919598519,0.0
2025-03-26,55.561799349305666,18.843930698111073,25.59426995258327,0.0
2025-04-01,45.925367581259344,15.575709464444168,21.155294992458817,17.343627961837676
2025-04-08,39.97770568086178,26.50925584048497,18.41553375275426,15.097504725898995
2025-05-02,39.975816209087505,26.508002929898566,18.419389690546787,15.096791170467142
