date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,REALINK FINANCIAL TRADE LTD,SHANGHAI COMMERCIAL BANK LTD,EAST ASIA SECURITIES CO LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-18,97.56391292988117,0.0,0.0,0.0,2.4360870701188313,0.0,0.0,0.0,0.0
2024-04-03,95.20632100137021,0.0,0.0,0.0,2.386791293872152,0.0,0.0,0.0,2.406887704757635
2024-04-05,83.2088120787747,12.53611260469874,0.0,0.0,2.151493699114746,0.0,0.0,0.0,2.1035816174118214
2024-04-08,76.89258856104702,11.584520011600318,7.590810828723332,0.0,1.9881778824230436,0.0,0.0,0.0,1.9439027162062912
2024-04-09,75.26546638182052,11.339380267974663,7.430181867091713,0.0,1.9285578023974164,0.0,2.133645842174316,0.0,1.9027678385413689
2024-04-11,72.19664786728939,10.872758932896797,7.124426058506157,0.0,1.8491966560858244,2.248292499457395,2.0458452174549424,1.838364805791418,1.824467962518075
2024-04-17,72.19968497866411,10.873216319504143,7.1247257632162775,0.0,1.8597912485284824,2.2483870788447424,2.045931280450447,1.83844214066537,1.8098211901264205
2024-04-24,71.97435613804053,10.961346588000847,7.182473533151776,0.0,1.874865344110176,2.26661084549488,2.0625140897842837,1.8533431961315308,1.8244902652859718
2024-05-06,71.97817171652062,10.961927682162687,7.1828542978146,0.0,1.8696634337043285,2.2667310053966676,2.0626234298992654,1.8534414474642946,1.8245869870375357
2024-05-13,72.04118721958783,10.971524638726107,7.101594674373189,0.0,1.871300288031572,2.268715484735566,2.064429216986846,1.8550640997550132,1.8261843778038762
2024-05-14,72.0404227347074,10.93214464331306,7.141844059422948,0.0,1.8712804302136743,2.2686914096369595,2.0644073097281788,1.8550444142318951,1.8261649987458737
2024-05-20,72.02590060412382,10.929940907881724,7.140404384472393,0.0,1.891061520128169,2.268234079826084,2.063991160136164,1.8546704686580187,1.8257968747736335
2024-05-21,72.0297216497622,10.93052075211392,7.140783190024296,0.0,1.8911618428219892,2.268354411899198,2.064100656919321,1.8547688607703765,1.8205886356886951
2024-05-28,72.03430743971747,10.93121664640759,7.1412378097434255,0.0,1.8849157194962523,2.2684988272410704,2.0642320683956163,1.8548869450863537,1.8207045439122307
2024-06-04,72.03201447175329,10.930868688185036,7.141010492648221,0.0,1.888038880571201,2.268426617271648,2.0641663605659493,1.8548279010489583,1.8206465879556901
2024-06-17,71.96901500772718,10.921308510342646,7.222225305421009,0.0,1.8863875948420878,2.2664426430329883,2.0623610330969058,1.853205661764333,1.8190542437728525
2024-06-26,71.97664543658352,10.922466429033037,7.222991033232786,0.0,1.8759852162737998,2.2666829399071755,2.0625796924621542,1.8534021456811514,1.819247106826369
