date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,25.242197988822866,17.83073112427832,20.248078909669687,3.8285486171763714,3.848949919400244,7.657212115011334,6.706770417070137,6.666247797153485,5.932722928300632,2.0385401831169223
2024-03-04,25.137294412285705,18.94488703034323,19.604242053485464,3.83815001908835,3.7929087980811063,7.5702510452251195,6.67792829940472,6.526623749107759,5.87544983481739,2.032264758161155
2024-03-05,24.688871096429263,19.14146241748239,19.52422176080604,4.339442031979228,3.774744823887611,7.5426581915259705,6.519372717308934,6.518620967243599,5.838882374105476,2.111723619231486
2024-03-06,24.888437855795956,19.04007757623457,19.55963943214676,4.29409772478638,3.7237374138814427,7.5160091115845,6.64947761923798,6.505702667742456,5.796497289447691,2.0263233091422674
2024-03-07,25.696069354254327,19.326969382408414,19.869578477896006,3.28646021595708,3.798335016257338,7.429691376102563,6.573111579534039,6.543605303300271,5.592138574173299,1.8840407201166607
2024-03-08,25.059397072121776,19.383503946472135,19.651708999026077,3.490478346213468,4.132366268212722,7.538767830634792,6.675290636232681,6.499112194764358,5.747094713691309,1.8222799926306827
2024-03-11,25.217277733293127,19.42048864240081,19.67143997703505,3.4229296279540975,3.8003769918933465,7.465688124839377,6.929074887528756,6.491455070804446,5.760995290025337,1.8202736542256563
2024-03-12,24.90401042130478,19.092255252761444,19.662833086540818,3.844333956984901,3.7991010016226068,7.546509137042352,6.73759587120055,6.523577555217417,5.788818760265793,2.100964957059342
2024-03-13,24.17111437208183,19.089305959207984,19.835525967606983,4.069578911455889,3.977449231693416,7.686895710622636,6.37450665730069,6.607312254689508,5.91829431832683,2.270016617014234
2024-03-14,23.261366504160492,19.96848536147084,19.771191297171164,4.522194548732475,4.200046380487155,7.290360762117822,5.998059616071694,6.5798033873466295,5.955540644151423,2.4529514982903073
2024-03-15,23.389338966471527,19.91689653580017,19.740388837931718,4.628958362715392,4.271474252819677,7.235820732953581,5.998088782940489,6.569746022305894,5.942087025138431,2.3072004809231226
2024-03-18,23.75274123717861,20.253250855161127,19.83115792627267,4.486467089362566,3.755571622201496,7.230408034368812,6.093678664730252,6.480375726479701,5.926379297229032,2.1899695470157328
2024-03-19,24.64700746947008,20.156010188947164,19.892382286090264,3.7839583058470057,3.3870002871325045,7.218910332675428,6.306452709839777,6.430431878540956,6.024040234898431,2.1538063065583875
2024-03-20,24.108916589193626,20.20047725002446,19.619897897911105,4.561170054633242,3.494560044321044,7.0846027484931104,6.18957704866401,6.343442483347317,6.002396735613692,2.394959147798391
2024-03-21,24.270316364206586,20.457432372682817,19.538683437936527,4.1865277467539626,3.502706724986773,7.050886065257274,6.336534159076143,6.325800403209671,6.002075199404005,2.329037526486238
2024-03-22,24.020365277023508,20.816334116756146,19.66457711890455,3.9050821319876987,3.3801761248082913,7.106955130297958,6.329473353538025,6.394135596513497,6.009241814472525,2.3736593356978024
2024-03-25,24.05895254249798,20.702256534827114,19.547027664052425,3.885907370151275,3.7690132911082252,7.054065662608005,6.224880313865483,6.367443654645102,6.033203905665336,2.3572490605790533
2024-03-26,24.418246374342242,20.87659704664476,20.06943441339436,4.074916843223419,3.343567357166933,6.895356990729956,6.786199899961227,6.3201391745682605,5.90250561666912,1.3130362832997213
2024-03-27,24.14966480949644,20.869036620068687,20.317030923877187,3.678493186657856,3.597107888905852,6.970305309535668,6.824435838280035,6.339548957597254,5.953073746835802,1.3013027187452209
2024-03-28,23.46118458942822,20.519641883419375,19.941088283013926,4.535492619658159,4.739852164649787,6.8835107547474905,6.496390334760636,6.262044100440847,5.869624614112044,1.2911706557695128
2024-04-02,24.299808870754564,20.661398164846958,20.094236832898968,3.720960372580606,4.355722746583385,6.9163410983931985,6.463181770530671,6.335069601236633,5.948207347558339,1.2050731946166784
2024-04-03,23.173958219854136,20.717022891301703,19.481899748694527,3.9773627691310542,5.479029580372311,6.985684312459566,6.382997584942155,6.347829556822872,6.085053588674985,1.3691617477466917
2024-04-05,23.134066030744005,20.92809778792474,19.56365906336857,3.657261541011383,5.591174671448869,7.087136015038617,6.285594875528893,6.392750182362517,5.955313279145561,1.4049465534268422
