date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,ZHESHANG INTERNATIONAL FINANCIAL,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD
2024-03-01,29.851504094914002,32.865740460466846,3.792802668550431,5.788357560848667,1.1307022182293363,3.240645043315671,1.3853697311605926,1.0218098605309442,0.0
2024-03-04,29.82633629963091,32.80585333782654,0.0,5.893512349334295,1.1327237278906288,3.195969679801107,1.3780652586882198,1.0018400741154172,0.0
2024-03-05,29.86262239805111,32.855931691288326,0.0,5.802197220291807,0.0,3.161604015559135,1.3809583422399785,1.0298480904726244,0.0
2024-03-06,29.84291267885351,32.871276566825266,0.0,5.840839640910951,1.133229105305952,3.1178383313921536,1.3786399738849253,0.9921956536723571,0.0
2024-03-07,29.832400828614787,32.89786624146637,3.7934091214488186,5.807334684945015,1.1316118975769178,3.1253179171389354,1.358081220629581,1.0122085993191525,0.0
2024-03-08,29.78317706836232,32.89058880668571,0.0,5.802829295825152,1.1321172749922412,3.1222856526469966,1.3642024529594576,1.008569881928826,0.0
2024-03-11,29.75002430991712,32.89093579881908,3.793510196931883,5.792363131704776,0.0,3.134920088030075,1.357066523855095,1.0291892804740093,0.0
2024-03-12,29.739356803434482,32.79821991519454,0.0,5.7659105154187085,0.0,3.12279103006232,1.3703621445106402,1.040517315238477,0.0
2024-03-13,29.765217976531396,32.72313680120384,0.0,5.815820679276673,0.0,3.1079834717933528,1.3774292412110356,1.0350592391529874,0.43168631288519205
2024-03-14,29.7154888388636,32.79657572031152,0.0,5.7950109555968785,0.0,3.1157662839893288,1.37119227745305,1.0673791861554727,0.0
2024-03-15,29.538707818983575,32.91226252359474,3.80109085816173,5.832477615659273,1.1336334072382104,3.1303211535506343,1.3875813638055294,1.0711307543226407,0.0
2024-03-18,29.504847532156926,32.94678859462834,3.792802668550431,5.813867243953224,1.130500067263207,3.1333534180425735,1.3777803774392023,1.0737959631978302,0.0
2024-03-19,29.499096337170545,32.84038623145524,3.807963991010124,5.820667754067036,1.1334312562720812,3.134527915155784,1.399230464841952,1.0736379822178004,0.0
2024-03-20,29.482216731498756,32.83560167185116,0.0,5.839758385930867,1.1344420111027274,3.129474141002553,1.4211638446669752,1.0653652066176684,0.0
2024-03-21,29.46260808778422,32.86991659620063,0.0,5.907585947982988,1.137474275594666,3.110674101152533,1.396820976938916,1.0663165290642729,0.0
2024-03-22,29.47797156121004,32.84916590060295,0.0,5.926941700838897,1.1386871813914416,3.1115837805001147,1.381578996243737,1.0654068497166913,0.0
2024-03-25,29.4722446243396,32.791802683312504,3.802910216856893,5.9623699716343275,1.1371710491454723,3.0838385603988754,1.3771207588367225,1.06534908507812,0.0
2024-03-26,29.359531310154917,32.797412473698074,3.797856442703662,6.0448661131662025,1.137805803179118,3.0848493152295218,1.3841899275845206,1.066359839908766,0.0
2024-03-27,29.30227609201813,32.8059028142755,3.792802668550431,5.984995162603187,1.132054608192741,3.0855173230970956,1.378389508837891,1.0653859776294385,0.0
2024-03-28,29.735889914365366,32.78065794893658,3.80766076456093,5.605529902345265,1.1985420609526503,3.092996908843878,1.226644886112972,1.0971160986505004,0.0
2024-04-02,29.871836439087282,32.701954412217994,3.8567834493303375,5.527926420646616,1.2091549866744358,3.0370010912260765,1.2403756367231102,0.0,0.0
2024-04-03,30.038813137110036,33.15033505941452,0.0,5.31732630219929,1.1402215072243627,2.830200652875857,1.2018714368270573,1.056607117085602,0.0
2024-04-05,30.049830364764084,33.14868848925766,0.0,5.27701249739219,1.1397161298090395,2.7255875279039716,1.1989023950497757,1.075912534350945,0.0
2024-04-08,30.213370496362643,33.102654064797804,0.0,5.264660921748468,1.1404236581904919,2.6870777688563505,1.1710456381529748,1.0572135699839897,0.0
2024-04-09,0.0,33.11981860225636,0.0,5.167077394472761,1.2045055144534629,2.6376518576377497,1.1510513914705462,1.056607117085602,0.0
2024-04-10,30.249757670265907,33.111301426138176,3.856278071915014,5.1888086233316555,1.2004624951308782,2.618498053597003,1.1598449584971684,0.0,0.0
2024-04-11,30.265828672073184,33.09973242742208,0.0,5.170101320237347,1.2012710989953952,2.6638405152997935,1.1579902233829327,1.0634402745804443,0.0
2024-04-12,30.337086887633745,33.09224682768406,0.0,5.194701980984962,1.2013721744784596,2.6670749307578614,1.1555795731118412,1.0635413500635091,0.0
2024-04-15,30.373878363469267,32.8340601191212,0.0,5.313015887686257,1.2016754009276536,2.6671760062409255,1.1541645163489367,1.065663935207866,0.0
2024-04-16,30.67761019007846,32.71753145813953,0.0,5.108949541152936,1.2022818538260414,2.6618190056385007,1.1534569879674843,1.060148751474445,0.0
2024-04-17,30.92221285909485,32.64831067162884,0.0,5.022104020509307,1.2030904576905583,2.6620211566046303,1.1448049266171525,1.0595422985760572,0.0
2024-04-18,31.15943701784752,32.79398232556705,0.0,4.898762518204895,1.2036969105889461,2.661010401773984,1.1506881767221535,1.067994230469921,0.0
2024-04-19,31.202923733681246,32.64819271654011,0.0,4.928680861192023,1.2071334770131432,0.0,1.1443052599666226,1.0614243240707204,0.0
2024-04-22,31.424768246930803,32.43204077449675,0.0,4.891130712780618,1.20662809959782,0.0,1.1643243206801435,1.0646587395287885,0.0
2024-04-23,31.61711489120278,32.319413374472674,0.0,4.929790771071556,1.2126926285816975,2.665558798511892,1.1462671856306486,1.064759815011853,0.0
2024-04-24,31.832607821096556,32.203211136763564,0.0,4.816419202803413,1.21471413824299,2.667378157207055,1.1442658910659689,1.112096950835182,0.0
2024-04-25,31.988567291465273,32.08769727363187,0.0,4.793879370080003,1.2167356479042826,2.661717930155436,1.145276645896615,1.1122991018013113,0.0
2024-04-26,32.10621915375249,31.959220681948096,0.0,4.773965023566936,1.219060384014769,2.6618190056385007,1.153868061957108,1.1107324318138097,0.0
2024-04-29,32.19546880529855,31.895497997414196,0.0,4.658990297061906,1.2204754407776737,0.0,1.1561284129848823,1.1040614499315444,0.0
2024-04-30,32.33242608485112,31.81130464690844,0.0,4.67327595207407,1.2215872710913844,2.6485781173570353,1.1617974336035277,1.1063811322678774,0.0
