date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BNP PARIBAS,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,51.80591589337013,0.0,22.186014974624005,11.261379416055304,13.628765863973893,0.9285570913551566,0.18936676062151114,0.0,0.0
2024-03-04,0.0,51.611955896901826,0.0,22.124519967843135,11.25567350540943,13.597884962822462,0.964050837680853,0.19902053556644772,0.24689429377584168,0.0
2024-03-05,0.0,51.57433849071917,0.0,22.117031841539813,11.263711109994516,13.573296723726106,0.9822517080452139,0.24257893346870574,0.24679119250646692,0.0
2024-03-06,0.0,51.519342579721915,0.0,22.105004589836305,11.289948712359516,13.574728667834654,1.0327950835112054,0.23153892174580967,0.24664144499059568,0.0
2024-03-07,0.0,51.474129859309,0.0,22.119408114583873,11.35190925698689,13.61444008265651,0.9816210988727984,0.22917511705883736,0.2293164705320852,0.0
2024-03-08,0.0,51.43117001899553,0.0,22.09412899323972,11.370758542941818,13.610917528064729,1.0015670654269564,0.2617619122604835,0.2296959390707563,0.0
2024-03-11,0.0,51.38341920123294,0.0,22.24029069377501,11.367263285444665,13.646736432861143,0.9672770905689968,0.16535084168926856,0.2296624544279838,0.0
2024-03-12,0.0,51.24473210121538,0.0,22.22889020546536,11.395622203442416,13.552908332604083,1.1201901993887153,0.24219892220532596,0.2154580356787335,0.0
2024-03-13,0.0,51.30028537067312,0.0,22.289058680040394,11.415728313061031,13.636468175089517,0.9606051985195815,0.18659693179444184,0.211257330821909,0.0
2024-03-14,62.71525845551453,19.11686751395589,0.0,8.307375786163634,4.250576214484857,5.100176014581786,0.3574062432872139,0.0742730238789186,0.07806674813316242,0.0
2024-03-15,62.70736512209827,19.108780893966916,0.0,8.29145602265638,4.3048246064046545,5.1008062425497105,0.32907549292726485,0.07939005531254453,0.07830156408426217,0.0
2024-03-18,62.67721180589124,19.09876090963643,0.0,8.278168469003111,4.265456570846523,5.101059544048369,0.3476564160851383,0.09231164050155141,0.0781987058360338,0.061175938151601876
2024-03-19,62.68931673122936,19.098063502898167,0.0,8.100461963492588,4.279715464328062,5.164019011313188,0.43633261396901785,0.07615615102990865,0.0947468086055492,0.0611877531341526
2024-03-20,62.68600519645832,19.09628837432914,0.0,8.1025285527642,4.279701340640216,5.158692023842764,0.43823342186243763,0.09550482488572114,0.08186174429840655,0.061184520918798675
2024-03-21,62.67979190254231,19.09102102664892,0.0,8.08944479569377,4.265925598251776,5.190915637287709,0.4500956861765787,0.08977326660139363,0.08185363034894992,0.06117845644858102
2024-03-22,62.65026749520857,19.08091458062044,0.0,8.06364517334421,4.260999466440573,5.214737390899778,0.49872813814769756,0.08774304173220904,0.08181507438297086,0.06114963922354865
2024-03-25,62.643746003916235,19.074561887471667,0.0,8.062805799565217,4.261663839648067,5.223791077358235,0.5014116356183407,0.08903733876309902,0.08183914372109619,0.06114327393804119
2024-03-26,62.626845057126076,19.065520869547406,0.0,8.080434120500422,4.268603446651844,5.242070281386419,0.4836936649195407,0.08988128211874703,0.08182132010628627,0.0611299576432544
2024-03-27,62.64476876064165,19.069364169337767,0.0,8.052764609780185,4.268574795859884,5.250089541731849,0.4832715611280043,0.08808620259375233,0.08193004303551495,0.06115031589139997
2024-03-28,62.63409902382383,19.065888163183523,0.0,8.049804584348202,4.2720348062959355,5.262147465974838,0.4833021531396252,0.08966781393613521,0.08191608860621531,0.061139900691698605
2024-04-02,62.63340513662731,19.059306848530447,0.0,8.040380202568292,4.279970461920065,5.2696811494585845,0.4831175890893332,0.0911493745516883,0.08185001389641847,0.06113922335786691
