date,DBS BANK LTD,FUTU SECURITIES INTERNATIONAL,YUEN META (INTERNATIONAL) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD
2024-03-05,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,61.805803929307004,0.0,0.0,38.194196070692996,0.0,0.0,0.0
2024-03-15,0.0,61.675824175824175,0.0,0.0,38.324175824175825,0.0,0.0,0.0
2024-03-20,0.0,61.62833919809684,0.0,0.0,38.371660801903154,0.0,0.0,0.0
2024-03-22,0.0,62.09795858422675,0.0,0.0,37.90204141577324,0.0,0.0,0.0
2024-03-25,0.0,61.72362337630568,0.0,0.0,38.27637662369432,0.0,0.0,0.0
2024-03-26,0.0,61.32150096405794,0.0,0.0,38.67849903594206,0.0,0.0,0.0
2024-03-28,0.0,50.62857258072646,0.0,0.0,32.329902311655054,17.04152510761848,0.0,0.0
2024-04-02,0.0,51.011323623559534,0.0,0.0,32.07926536491678,16.909411011523687,0.0,0.0
2024-04-03,0.0,39.98258246116044,0.0,21.93754568216102,24.935850582398956,13.144021274279583,0.0,0.0
2024-04-05,0.0,39.49103221226235,0.0,22.01028233513547,25.311083545923342,13.187601906678836,0.0,0.0
2024-04-08,0.0,39.232079389645435,0.0,21.941810998514555,25.679532745895585,13.146576865944423,0.0,0.0
2024-04-09,0.0,38.82671050306881,0.0,21.864173727348845,25.36391639332929,13.945199376253061,0.0,0.0
2024-04-10,0.0,38.838455985131255,0.0,21.859975730765097,25.3590464341121,13.942521849991552,0.0,0.0
2024-04-12,0.0,38.82671050306881,0.0,21.864173727348845,25.36391639332929,13.945199376253061,0.0,0.0
2024-04-18,0.0,38.93138002480147,0.0,21.92311543468047,25.43229274980552,13.713211790712542,0.0,0.0
2024-04-19,0.0,38.99011973283265,0.0,21.902028378835915,25.407830342577487,13.700021545753948,0.0,0.0
2024-04-22,0.0,38.962135281568,0.0,21.84319985265452,25.531441376452353,13.663223489325127,0.0,0.0
2024-04-25,0.0,39.00894130638161,0.0,21.826449703234513,25.511862951091206,13.652746039292671,0.0,0.0
2024-04-26,0.0,39.07901590122246,0.0,21.80137259107203,25.482551548760686,13.63705995894482,0.0,0.0
2024-04-29,0.0,39.076600691364064,0.0,21.768025941448194,25.443574291045916,13.711799076141821,0.0,0.0
2024-04-30,0.0,39.11237362167446,0.0,21.734781147866457,25.404716087846303,13.748129142612786,0.0,0.0
2024-05-02,0.0,39.01785918630465,0.0,21.714054668487424,25.380489926076244,13.887596219131682,0.0,0.0
2024-05-03,0.0,38.767229457623515,0.0,21.62743339969302,25.43121134294789,14.174125799735574,0.0,0.0
2024-05-08,0.0,38.371405169275576,0.0,21.586427618007523,25.64843465598835,14.393732556728553,0.0,0.0
2024-05-09,0.0,38.417721041473335,0.0,21.47454033785262,25.47776947858431,14.629969142089738,0.0,0.0
2024-05-10,0.0,38.565146921991776,0.0,21.357715280487437,25.526758111474624,14.550379686046163,0.0,0.0
2024-05-13,0.0,38.68465049875077,0.0,21.387485206544813,25.37448575131967,14.553378543384742,0.0,0.0
2024-05-16,0.0,38.772838628840724,0.0,21.291492902960375,25.447609073738146,14.488059394460755,0.0,0.0
2024-05-22,0.0,38.818604824995795,0.0,21.275577896959614,25.42858744604115,14.477229832003438,0.0,0.0
2024-05-27,0.0,38.74992984491048,0.0,21.299459338110115,25.4571305632986,14.493480253680804,0.0,0.0
2024-05-29,0.0,38.975468175179785,0.0,21.04745530845026,25.155935148725344,14.82114136764461,0.0,0.0
2024-05-30,0.0,38.779249812178186,0.0,20.86233118941601,25.66763784288934,14.690781155516463,0.0,0.0
2024-06-04,0.0,38.89429520959183,0.0,20.904467252997446,25.71947927951086,14.48175825789986,0.0,0.0
2024-06-11,0.0,38.87184762044708,0.0,20.91214664878864,25.72892750215822,14.487078228606066,0.0,0.0
2024-06-12,0.0,38.45787632981158,0.0,21.359749510189882,25.55728489553769,14.625089264460842,0.0,0.0
2024-06-13,0.0,38.65344868582298,0.0,21.336308598394087,25.52923746639109,14.48100524939184,0.0,0.0
2024-06-14,0.0,38.66222083798985,0.0,21.371489291537657,25.479728120477073,14.486561749995419,0.0,0.0
2024-06-17,0.0,38.70311669750994,0.0,21.373838796562655,25.4642065338879,14.458837972039504,0.0,0.0
2024-06-19,0.0,38.90461493507679,0.0,21.303577624778566,25.38049929689355,14.411308143251093,0.0,0.0
2024-07-02,0.0,39.0204215953343,0.0,21.326946633270563,25.408340493994185,14.244291277400956,0.0,0.0
2024-07-04,0.0,38.964627518436515,0.0,21.34646000695372,25.43158819331345,14.257324281296322,0.0,0.0
2024-07-05,0.0,39.0204215953343,0.0,21.326946633270563,25.408340493994185,14.244291277400956,0.0,0.0
2024-07-09,0.0,38.99811620974084,0.0,21.334747700129853,25.417634471532818,14.249501618596486,0.0,0.0
2024-07-10,0.0,39.009270941905754,0.0,21.33084645345329,25.412986633020644,14.246895971620313,0.0,0.0
2024-07-22,0.0,38.8954728608675,0.0,21.56034058380586,25.33885171477018,14.205334840556457,0.0,0.0
2024-07-30,0.0,39.30879663993338,0.0,21.408114126400783,25.159947136882888,14.123142096782953,0.0,0.0
2024-08-01,0.0,39.31978206961464,0.0,21.404239144206922,25.155393053016457,14.120585733161981,0.0,0.0
2024-08-06,0.0,39.36368404869137,0.0,21.388753233128945,25.137193191889594,14.110369526290087,0.0,0.0
2024-08-08,0.0,39.407522547761495,0.0,21.373289713882915,25.119019646827045,14.100168091528548,0.0,0.0
2024-08-22,0.0,39.47316157221009,0.0,21.350136313575387,25.091808547132,14.08489356708253,0.0,0.0
2024-08-28,0.0,40.412968858377646,0.0,20.995607092677897,24.716950931047364,13.874473117897097,0.0,0.0
2024-08-29,0.0,39.432724117359946,0.0,21.340998246470345,25.123560569083647,14.102717067086068,0.0,0.0
2024-09-02,0.0,39.454614453259126,0.0,21.333285143755536,25.114480365758894,14.097620037226449,0.0,0.0
2024-09-05,0.0,39.68945986027481,0.0,21.093144174245538,24.83177586792217,14.385620097557489,0.0,0.0
2024-09-09,0.0,39.64632467323475,0.0,21.10823037173458,24.849536002288698,14.395908952741967,0.0,0.0
2024-09-10,0.0,37.954364415692794,0.0,20.35428441376171,24.11713386185184,13.881714386209323,3.6925029224843358,0.0
2024-09-11,0.0,37.96506035312006,0.0,20.350775574656172,24.112976351782322,13.879321342007907,3.691866378433543,0.0
2024-09-12,0.0,38.12851625039333,0.0,20.410590851092522,24.183849539926623,13.574325796267544,3.702717562319973,0.0
2024-09-13,0.0,38.11781713546584,0.0,20.414120348754768,24.188031527652406,13.576673134054776,3.7033578540722063,0.0
2024-09-16,0.0,38.12851625039333,0.0,20.410590851092522,24.183849539926623,13.574325796267544,3.702717562319973,0.0
2024-09-17,0.0,38.17127573921968,0.0,20.396485056653063,24.167136039918034,13.564944556364528,3.7001586078446955,0.0
