date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-11,0.0,84.7522026381168,0.0,0.0,0.0,15.247797361883201,0.0
2024-03-14,70.16566739973688,25.28525402110474,0.0,0.0,0.0,4.54907857915838,0.0
2024-03-15,70.1641300986351,25.286890990659355,0.0,0.0,0.0,4.548978910705545,0.0
2024-03-18,70.16131188823222,25.28989191521648,0.0,0.0,0.0,4.54879619655131,0.0
2024-03-19,70.1582377350718,25.293165376169576,0.0,0.0,0.0,4.548596888758633,0.0
2024-03-21,70.15388314587781,25.304374205668534,0.0,0.0,0.0,4.541742648453651,0.0
2024-03-27,62.88104448127322,22.68140218223568,0.0,10.366652216077632,0.0,4.07090112041347,0.0
2024-04-03,62.88104448127322,22.679765902192102,0.0,10.368288496121208,0.0,4.07090112041347,0.0
2024-04-05,62.88660108615296,22.68177004348656,0.0,10.36920470994888,0.0,4.062424160411599,0.0
2024-04-17,62.88721854731551,22.681992747717,0.0,10.36930652148082,0.0,4.061482183486664,0.0
2024-04-18,62.90904329416516,22.692483652475833,0.0,10.372905146051364,0.0,4.025567907307648,0.0
2024-04-19,62.90821944378315,22.693496063784917,0.0,10.372769303548926,0.0,4.025515188883006,0.0
2024-04-24,62.2559810867555,12.794495778274776,10.70052141519285,10.265223452335961,0.0,3.9837782674409157,0.0
2024-04-26,62.255779376193985,12.794778325765252,10.700486745300166,10.265190192816949,0.0,3.9837653599236424,0.0
2024-04-29,62.25545537429411,12.795102327665129,10.700486745300166,10.265190192816949,0.0,3.9837653599236424,0.0
2024-05-07,62.24537156497135,12.793029844677706,10.698753537064011,10.263527491613592,0.0,3.9993175616733407,0.0
2024-05-13,62.24292528848241,12.793858757301892,10.699446752977492,10.264192507455016,0.0,3.99957669378319,0.0
2024-05-14,62.246151834292995,12.789662156689735,10.700001390391085,10.264400594975932,0.0,3.999784023650249,0.0
2024-05-21,62.25724563730228,12.775739343339215,10.70190839514762,10.264609740171187,0.0,4.000496884039695,0.0
2024-05-22,62.25458021919962,12.77532536537707,10.70156161645173,10.26427713145804,0.0,4.004255667513544,0.0
2024-05-30,62.22672611138697,12.818231633003466,10.697887143480807,10.260752803865737,0.0,3.9964023082630193,0.0
2024-06-03,62.231765689341344,12.819269747678439,10.698753537064011,10.26158379509502,0.0,3.9886272308211908,0.0
2024-06-05,62.23788219741691,12.818813171232819,10.697020890208728,10.259921947214218,0.0,3.9863617939273275,0.0
2024-06-06,62.23957422132759,12.81922838213877,10.697367374682406,10.260254273727586,0.0,3.9835757481236476,0.0
2024-06-07,62.2415902727935,12.819643619943577,10.697713881602592,10.257347442371723,0.0,3.983704783288606,0.0
2024-06-12,62.25691653322376,12.82280030658801,10.700348067976034,10.259873193682644,0.0,3.9600618985295544,0.0
2024-06-14,62.29425544497234,12.830490848228662,10.70676565777067,10.206051082635117,0.0,3.962436966393206,0.0
2024-06-17,62.29364959184921,12.831338629761385,10.70666152734378,10.205951821990954,0.0,3.962398429054665,0.0
2024-06-26,62.303748682702334,12.833418855521767,10.708397298938586,10.207606418171594,0.0,3.946828744665716,0.0
2024-07-04,62.30677904852533,12.834043054782876,10.70891814017013,10.203239043712935,0.0,3.9470207128087242,0.0
2024-07-05,62.30738515706452,12.834167901921608,10.709022314496414,10.203338298888797,0.0,3.9460863276286595,0.0
2024-07-24,62.3124365201812,12.835208389212314,10.709890512707569,10.2041655004576,0.0,3.9382990774413207,0.0
2024-08-05,62.31344689109151,12.83541650691575,10.710064169242777,10.204330956866647,0.0,3.9367414758833257,0.0
2024-08-06,62.31950980469597,12.836665354881019,10.711106226727898,10.205323808009851,0.0,3.927394805685262,0.0
2024-08-23,62.325169588604936,12.83783116559179,10.71207899668163,10.197168762101839,0.0,3.927751487019808,0.0
2024-09-03,62.32150324965684,12.83908048350238,10.713121446296178,10.198161103051607,0.0,3.9281337174929924,0.0
2024-09-16,62.44709532925451,12.796284540003649,10.677411868752843,10.164168020220018,0.0,3.915040241768987,0.0
2024-09-17,62.45109256975524,12.794326193851008,10.678205897352996,10.164923881303583,0.0,3.911451457737173,0.0
2024-09-19,62.38188531751933,12.817907709817385,10.697887143480807,10.183659085578677,0.0,3.9186607436037995,0.0
2024-09-25,62.46561350362625,12.828757814973116,10.712356963408528,10.197433367471659,0.0,3.795838350520447,0.0
2024-09-26,62.54168639351689,12.844381141567604,10.725402860279443,10.209852171710024,0.0,3.67867743292604,0.0
2024-09-27,62.70823267770152,12.862437793523146,10.754075910285302,10.237146960137602,0.0,3.43810665835243,0.0
2024-10-02,62.71329930553862,12.85546927587433,10.755056501163072,10.238080415788023,0.0,3.4380945016359576,0.0
2024-10-07,61.162890973925165,12.541307205206609,10.479481977241663,9.892299714815522,0.0,3.330962334406055,2.59305779440498
2024-10-08,61.09055867289488,12.587379346054739,10.463180421821189,9.876911561814525,0.0,3.392629066404415,2.589340931010252
2024-10-09,60.9885376015189,12.623290183843636,10.445706938195839,9.891729596033603,0.0,3.4565466079474723,2.594189072460554
2024-10-10,60.98757312153994,12.623090557633047,10.445541748545386,9.891573167046651,0.0,3.4580733575885967,2.594148047646377
2024-10-14,61.01632772130522,12.581577404719072,10.45046664319093,9.896553306459092,0.0,3.45970378015285,2.5953711441728338
2024-10-15,61.01608100650775,12.581657029370618,10.450532780745721,9.896615938479163,0.0,3.459725675476393,2.595387569420348
2024-10-16,61.01550178604368,12.58153759277123,10.450433574727453,9.896521990746335,0.0,3.4606421240842606,2.5953629316270383
2024-10-17,61.015255066799845,12.581617216918866,10.450499711863687,9.896584622370034,0.0,3.4606640252769694,2.5953793567706036
2024-10-18,60.72503577627047,12.58842881037648,10.456157534243658,10.099819942504084,0.0,3.5337734608629745,2.5967844757423393
2024-10-21,60.789024715225636,12.565791841759713,10.437354893062613,10.0816580804864,0.0,3.534055625618382,2.5921148438472583
2024-10-22,60.82017236953761,12.55591127039721,10.429147926788197,10.073730801141732,0.0,3.530960986597899,2.590076645537358
2024-10-23,60.81364297685563,12.554563321649775,10.42802829822584,10.075491097385015,0.0,3.5384757198591377,2.589798586024597
