date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BOOM SECURITIES (H.K.) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,92.43965978172297,4.635284908369125,0.0,1.7905323424645143,0.0,1.1345229674433972,0.0,0.0,0.0
2024-03-04,90.94345145103638,4.5601002313039745,0.0,1.7614897704103478,1.6188376294353046,1.116120917813995,0.0,0.0,0.0
2024-03-05,90.94681501789343,4.560268887779598,0.0,1.7610265587571974,1.6157273377376264,1.116162197832157,0.0,0.0,0.0
2024-03-12,90.92778968189256,4.580338488544873,0.0,1.7606172526526787,1.6153518027638438,1.1159027741460499,0.0,0.0,0.0
2024-03-13,90.92769383515535,4.580386879232922,0.0,1.7606358533479027,1.6153688687482408,1.115914563515585,0.0,0.0,0.0
2024-03-25,90.91165404652114,4.59288938108603,0.0,1.760366181728873,1.6151214472627942,1.1199689434011626,0.0,0.0,0.0
2024-03-26,90.91213421047726,4.592385473681014,0.0,1.7603754793750208,1.6151299777764214,1.1199748586902885,0.0,0.0,0.0
2024-03-27,90.9306200015898,4.592385473681014,0.0,1.7418896882624717,1.6151299777764214,1.1199748586902885,0.0,0.0,0.0
2024-04-02,88.57404269173314,4.474251840966637,2.569807698560075,1.6970816559573745,1.5735826876645393,1.1112334251182383,0.0,0.0,0.0
2024-04-03,88.57918848207868,4.474251840966637,2.562089013041773,1.6970816559573745,1.5735826876645393,1.1138063202910058,0.0,0.0,0.0
2024-04-05,86.91557486122583,4.390501079924355,2.514130848788336,1.6653150309909486,1.5441277637265982,1.0954824013750342,0.0,0.9104193453234324,0.9644486686454554
2024-04-08,86.91873664978726,4.390456740969815,2.5141054589908203,1.6652982132459784,1.5365380421187118,1.100015814904901,0.0,0.9104101511469068,0.9644389288356028
2024-04-10,86.90030721708185,4.411233725481716,2.5135723916781023,1.6664596234041804,1.5362122490211818,1.0977632387435294,0.0,0.9102171163276999,0.9642344382617343
2024-04-11,86.9020747085952,4.417869523680546,2.5059733616369186,1.6666110856243916,1.5358865940505828,1.0975305286766324,0.0,0.910024163349721,0.9640300343860049
2024-04-15,86.90163609190814,4.4178472255789085,2.505960713357376,1.6666026738179365,1.5358788420436043,1.0975249891632657,0.0,0.9100195702282676,0.9645298939025067
2024-04-16,86.89856589906759,4.421728804269755,2.5058721789754377,1.667048500937738,1.5312822136981827,1.0974862141353654,0.0,0.9135203713888302,0.9644958175271019
2024-04-17,86.85860179237382,4.463317550286019,2.5039670887873076,1.6671242278299692,1.5313517733079403,1.0975360682459183,0.0,0.9135618687169981,0.9645396304520348
2024-04-23,86.79239642054803,4.534325557550215,2.503600632278511,1.6668802435831327,1.5311276594099983,1.0973754434367309,0.0,0.9098955734727182,0.9643984697206681
2024-04-24,86.9099403138107,4.557142661305594,2.355389313492816,1.6686323778488048,1.5332012823722814,1.0988616310212675,0.0,0.9111278550155647,0.9657045651329697
2024-04-25,86.89730681609834,4.569776159017957,2.355389313492816,1.6686323778488048,1.5332012823722814,1.0988616310212675,0.0,0.9111278550155647,0.9657045651329697
2024-04-26,86.88042434538183,4.589178072168267,2.3549727918855106,1.6673267996614856,1.5329301545978629,1.0986673108678486,0.0,0.9109667332695935,0.9655337921676058
2024-04-30,86.87471819054522,4.5959497060107966,2.3548181213773067,1.6672172925434696,1.5328294744172384,1.098595152313871,0.0,0.9109069025623865,0.9649651602297051
2024-05-06,86.8735244803465,4.596367695667439,2.3550322859528507,1.667368921614333,1.5329688812660263,1.0986950666819295,0.0,0.910989747172922,0.9650529212979928
2024-05-07,86.8602807120711,4.600270341275023,2.3549608934327537,1.6647921355633821,1.532922409499029,1.1107877116953249,0.0,0.9109621306284605,0.9650236658349194
2024-05-08,86.8747655013601,4.584361516539419,2.355353605867546,1.6650697557034035,1.5331780390907819,1.1109729462561253,0.0,0.911114042346961,0.9651845928356604
2024-05-09,86.89672135911502,4.5602471241258495,2.355948874337446,1.6654905687496002,1.5335655191460655,1.1112537224267058,0.0,0.9113443081807372,0.9654285239185845
2024-05-10,86.88517036525421,4.592544898121986,2.3354471619237094,1.6657939505952277,1.5333795042797087,1.1111189321552206,0.0,0.9112337660567947,0.9653114216131323
2024-05-13,86.87405159495292,4.605179864373468,2.3354471619237094,1.6642777546450498,1.5333795042797087,1.1111189321552206,0.0,0.9112337660567947,0.9653114216131323
2024-05-16,86.87894784389887,4.641297739088858,2.295131265543302,1.6633510228810853,1.5334570049897334,1.1111750907943074,0.0,0.9112798220159819,0.9653602107878677
2024-05-20,86.88433353459784,4.661396907715269,2.2940624434219554,1.6390492408057722,1.5334182536554775,1.1111470107651837,0.0,0.9112567934544581,0.965335815584035
2024-05-22,86.01788827995527,4.614911597114514,2.270684765783889,1.622703987535732,1.5181263947528247,1.1000662092498634,0.9977402871249614,0.902169376974075,0.9557091015088646
2024-05-23,86.01466559552834,4.623325373323995,2.26663642933641,1.622671510008384,1.518096010288448,1.1000441920300439,0.9977203179021639,0.9011505980650938,0.9556899735171178
2024-05-30,86.01445040404188,4.623313806688787,2.2666307586654946,1.6271706903267527,1.5180922123159186,1.0942873000444675,0.9977178218055179,0.9011483435665687,0.9571886625446119
2024-06-05,86.00713453410326,4.634427876489622,2.266437972735324,1.6315351499094684,1.5179630925560648,1.0941942265722193,0.990128200451039,0.9010716973281057,0.9571072498548951
2024-06-07,86.00670422756824,4.634404689755031,2.2664266334077645,1.6320273020256355,1.5179554979600791,1.0941887521551392,0.9901232466918248,0.9010671891318729,0.9571024613044269
2024-06-12,85.99792910777239,4.655510150398105,2.26598448811815,1.6317089183755857,1.5176593679802353,1.0939752926080337,0.9899300887385912,0.8903868408058072,0.956915745203095
