date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-01,27.702865388930075,24.227643862593528,14.987256532177723,6.8263921838594035,8.104123752386876,8.035048936007765,6.4426366293467945,2.1544467633500854,1.4837346253297372,0.035851326018013836
2024-03-04,27.678558473900644,24.290526621669752,15.050855692373908,6.821670998991477,8.035423141815553,8.046451217468146,6.4204478010657535,2.156510224297152,1.4656819891233426,0.03387383929427054
2024-03-05,27.60571373483924,24.300851687286432,15.09284496708344,6.822067458803193,8.065417546620676,8.032096359459986,6.430858092426125,2.155071834302968,1.454742439331611,0.04033587984632693
2024-03-06,27.594550953981933,24.30689863130768,15.08224778741658,6.81328737543406,8.073748766481916,8.038420094426595,6.4382698056729835,2.1537488519279018,1.465226434674252,0.033601298676101954
2024-03-07,27.553898490093655,24.51704234080871,15.114441554308103,6.830639566875527,7.94620601429777,8.054835947717546,6.413335040518565,2.158539605763487,1.3762146884424307,0.034846751174203494
2024-03-08,27.650166786023366,24.490300255608684,15.055955814939662,6.825808117719177,7.950688021727894,8.04906521701155,6.403286997073962,2.156856707733448,1.378680126677911,0.039191955484349235
2024-03-11,27.700688944857323,24.585089662408045,15.085654562160023,6.830380275478534,7.843572395984919,8.01334880802883,6.372763382225413,2.158739903571158,1.3761014803099536,0.033660584975804576
2024-03-12,27.602120227856474,24.444420156933884,15.060286946825757,6.842675388057362,8.052266257666982,8.03186203702554,6.4113977429473055,2.1608864956813827,1.3560801853582412,0.0380045616470683
2024-03-13,27.493435940139527,24.55521438000098,15.026998748748877,6.872458730368915,8.063484803606832,8.036208876746603,6.428890053463123,2.154276020707092,1.332874025441211,0.036158420776843996
2024-03-14,27.556007320432673,24.586129135465796,14.87167657656503,6.857748775432445,8.113646167198564,7.972505584719629,6.565021748354251,2.129719737536218,1.3174330773707328,0.03011187692466144
2024-03-15,28.271479397116405,24.718790412747218,14.717154006703218,6.839856394472451,7.586750752271522,7.960770349886054,6.417093325538728,2.120691399692134,1.3374502111017228,0.029963750470547588
2024-03-18,28.356173401181938,24.68859794073815,14.679044522543894,6.817558829537286,7.752478921457478,7.930312620407329,6.270305182248757,2.114503251819332,1.349003181100497,0.04202214896533735
2024-03-19,28.650221840473495,24.64992564129143,14.649279925064421,6.79037713694305,7.623400484703429,7.89828592227986,6.233115294691287,2.1079509387775617,1.3677765536308897,0.029666262144578952
2024-03-20,28.72351274973376,24.71862635168767,14.567245676687326,6.796068427077636,7.602030658392556,7.894074591524595,6.209988738893765,2.0956818847146392,1.36305661820779,0.02971430308025962
2024-03-21,28.365334568604155,24.8504647865907,14.9090561052766,6.839937142411244,7.279563291118434,7.94247835153287,6.2349403833618,2.131347341752679,1.4171217813053039,0.02975624804621537
2024-03-22,29.00410913078715,24.615621856777803,14.58182793312896,6.806895926841475,7.350837493379343,7.923043781685765,6.249579122735308,2.0919590676725988,1.3460802740086917,0.03004541298290437
2024-03-25,28.78301658271503,24.71154343980451,14.663608628004901,6.796084038229503,7.407311425882181,7.922906926394842,6.265869791545094,2.09327372757292,1.326527960419845,0.029857479431171605
2024-03-26,28.67755882069317,24.671932173531587,14.722687235283724,6.786178117237468,7.4613388380084285,7.951506757052855,6.243597375992438,2.1002448078993123,1.3353892846327118,0.04956658966830184
2024-03-27,28.546834964250152,24.92544905749538,14.78551053778639,6.766168836337988,7.357313182207329,7.926735377350765,6.216073945101785,2.100482951009325,1.3457817004070904,0.029649448053797028
2024-03-28,28.394809815559128,25.133180602595434,14.617269645205361,6.742222813979713,7.600015076509085,7.876688144650242,6.176410590877336,2.100518671166186,1.3300109783963288,0.028873661061182856
2024-04-02,28.547991635122074,25.348435915436113,14.643091230561092,6.738661684613026,7.222250892522057,7.873030449861995,6.173800860664586,2.1027257031438276,1.3197468699088615,0.030264758166366708
2024-04-03,28.360364308303083,25.25718393999597,14.8166048887791,6.724777704939573,7.337622191809298,7.854363398000698,6.1967623327184596,2.095663811157453,1.3278558345635267,0.02880158973283751
2024-04-05,28.432037443129982,25.16451531938434,14.799273231957805,6.722926763369864,7.285396803879768,7.865398339961098,6.273737731487285,2.106872642303926,1.3208724990738219,0.028969225452111457
2024-04-08,28.515654069372793,25.288714840460248,14.653294381799201,6.711017557212613,7.162313593374307,7.933025116820655,6.26251833665516,2.1142252139348137,1.3234058893903777,0.035831000979834424
2024-04-09,28.509806541693035,25.292282172110014,14.655361436655538,6.709423259985738,7.153343469108697,7.947149314147263,6.266002779965883,2.1185520024385895,1.3193266146461768,0.028752409249070358
2024-04-10,28.56237676152614,25.336562325287726,14.578121312342246,6.701709359754641,7.223522408357569,7.909540538536061,6.254977207949371,2.1063433001913157,1.29613120746454,0.030715578590392676
2024-04-11,28.722319889895694,25.217911457906062,14.501316252028445,6.703494182400882,7.309419881479464,7.961668322249163,6.155014684328216,2.096598242185612,1.3035067209289815,0.028750366597485158
2024-04-12,28.590443108452313,25.33044181000389,14.523772061215348,6.703135089718362,7.3321379643139935,7.937946588351119,6.155331191792132,2.0921816336800845,1.305860776223143,0.02874977624961115
2024-04-15,28.597069219649494,25.39146394541767,14.476647219828958,6.698724280052659,7.385683376589173,7.905263439031966,6.152552398971095,2.0777142551528667,1.286142224645758,0.028739640660355045
2024-04-16,28.51426322263832,25.403817477140358,14.493282295933563,6.68098923919116,7.415162188435079,7.93826525007187,6.149608862001058,2.07564360414183,1.2927999509643155,0.03616790948244469
2024-04-17,28.188791651997263,25.630182008885328,14.547040924830787,6.705664548125939,7.418508334784232,7.975013683651554,6.133543994612685,2.086760125928539,1.2855671258491659,0.0289276013345086
2024-04-18,28.102897308607393,25.639989167626908,14.532332063069733,6.700682075639968,7.504784174012714,7.990045715063933,6.114539697994532,2.0991801624649247,1.2779122846954987,0.03763735082439807
2024-04-19,9.766611107684438,9.125389998943682,5.083739751059602,2.3564568801721997,2.578556400159662,2.805097027211167,2.1492094188909903,0.7393332252009264,0.45456142769610397,0.039350749154716376
2024-04-22,28.003427807917618,25.940799748115566,14.359959167398484,6.728477379835823,7.463871496817721,7.955570991580721,6.0635095550243205,2.132472947342876,1.3229819165330834,0.028928989433785718
2024-04-23,27.956384649285443,25.951053410825303,14.371118115513399,6.7236760718536015,7.480634162506876,7.955373775079331,6.0092129931851375,2.1356569750978425,1.3877472689468286,0.029142577706237256
2024-04-24,27.53880635889752,26.066099720175075,14.44111490590653,6.771391182993443,7.55060896257884,8.020958261263083,6.0358913275919,2.1489435036760054,1.39708505192498,0.02910072499262253
2024-04-25,27.61752065031088,26.037788594991657,14.392624906169308,6.763602140059249,7.5770055552920965,8.033307005403561,6.021084534154372,2.140207059920125,1.3878451747522638,0.029014378946494994
2024-04-26,27.49949527254992,26.316493153676852,14.344288556857649,6.737150165948402,7.410346028728078,8.192495548866436,5.996755066818459,2.10006521944795,1.3724180601437783,0.03049292696247788
2024-04-29,27.57502995087452,26.293834032487183,14.403047762755229,6.7666592158573025,7.328290423507462,8.07900353006219,6.014007797057127,2.111188033758582,1.399994944698525,0.02894430894187967
2024-04-30,9.8049798298646,9.16117291218576,4.950672653153915,2.3624803698059917,2.553275605840118,2.8087319927289314,2.108501713657102,0.7212316832072206,0.49335442461492257,0.010130805240612257
2024-05-02,28.04500993835036,26.269572563110323,14.125853396968338,6.751438532896807,7.269211800670919,8.012891497687438,6.057108646684559,2.0562922886728385,1.377637515093785,0.03498381986463157
2024-05-03,28.06760125069094,26.24890978295884,14.071087936711546,6.72924504765042,7.30262392003055,8.034540990436776,6.134849059218417,2.0471855498159126,1.3262193283197399,0.03773713416685726
2024-05-06,27.95285615866114,26.288658202487404,14.092395621912813,6.707466466042608,7.206062739000559,7.9967934399158,6.263211727148126,2.0373219609388955,1.3530697224042638,0.10216396148839012
2024-05-07,28.07049578884565,26.266290511887952,14.08040511472724,6.6984096867527345,7.548369232420908,7.763978001340647,6.198870952251662,2.0280516027247137,1.3144572598019773,0.030671849246512683
2024-05-08,28.03140047161791,26.58022340049525,14.100205701830756,6.681751904166268,7.396389265673041,7.6433930891302,6.16935979459049,2.025079786737112,1.3433607373470065,0.028835848411964113
2024-05-09,9.711408051438505,9.398756186138476,4.896679781504074,2.3421925514682735,2.5865404292988394,2.670716355050149,2.158735928756671,0.7052759277324758,0.48113391690546214,0.018234056614168097
