date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,DEUTSCHE BANK AG,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,UBS SECURITIES HONG KONG LTD,CHINA INTERNATIONAL CAPITAL CORPORATION
2024-03-01,0.0,30.10183518760674,16.401324378009864,17.216236141814967,11.991292995080965,0.0,12.690942554523657,11.341712554643838,0.2566561883199686,0.0
2024-03-04,71.93032414942365,9.633824326315098,4.575275999701989,4.871106190949025,2.221936797758296,0.0,3.54152763774274,3.1716252473501676,0.05437965075902794,0.0
2024-03-05,70.90105734891331,9.448164228162407,4.570392632694116,4.888205081613817,2.1405396946896893,0.0,3.491566784852692,3.1268270127649087,0.07143318999817225,1.3618140263108878
2024-03-06,70.94617243772461,9.300977236434672,4.738531865306944,4.906104815032884,2.0867238808807027,0.0,3.4956113335603867,3.1295797866952246,0.07111969070357795,1.325178953660999
2024-03-07,71.06085619033239,9.406352081820902,4.795216972724169,4.799420892104257,2.3529618061466784,0.0,3.0485855144865006,3.1347889082159637,0.07438019748323009,1.3274374366859076
2024-03-08,71.11187248824983,9.32621309295273,4.7866260716304865,4.759005608007302,2.431246698359194,0.0,3.047037775214578,3.1369199105951893,0.07266463088928792,1.3284137241014036
2024-03-11,70.7610487354383,9.69160406844124,4.766844905426588,4.738517151665684,2.4943443516929,0.0,3.0321295520818983,3.1213449689095416,0.07230614674854956,1.321860119595312
2024-03-12,70.79567174176663,9.497660349883583,4.7791390343629,4.744070938709802,2.610669953114229,0.0,3.049561595790122,3.1240022433132326,0.07626498209626804,1.322959160963227
2024-03-13,70.7942913622052,9.399077308282074,4.7559652289026,4.794376420703376,2.6794574420275827,0.0,3.0524245259759017,3.1248181351771978,0.07628490012882738,1.32330467659725
2024-03-14,70.90118292922747,9.151124064415672,4.76544918590336,4.7963331244751535,2.4365753357498314,0.0,3.4034600319943173,3.129315386740893,0.09118747174113402,1.3253724697521736
2024-03-15,70.9527909832287,9.234287261291971,4.77892801555722,4.824275582544549,2.2731090967969982,0.0,3.36338311083356,3.1317579957018697,0.0725639493337746,1.368904004711357
2024-03-18,70.8867646548113,9.038164860239997,4.774592829197426,4.842843133831877,2.52005059451792,0.0,3.3686164069541316,3.128843684945625,0.07249368773290626,1.3676301477688118
2024-03-19,71.14534517905685,8.95844521619898,4.808385492650891,4.854854657072631,2.263967330861846,0.0,3.383375801340021,3.1402570714117077,0.07275026654989805,1.372618984857176
2024-03-20,70.92599141567227,8.929463750129434,4.811135200344169,4.883802163480146,2.4276469937177696,0.0,3.402710682363989,3.162728696530548,0.07418956290152952,1.3823315348601442
2024-03-21,70.96645256006049,8.937706929401205,4.836503307140041,4.969559585306504,2.2665798321142643,0.0,3.4021489765766404,3.164620978050439,0.07330771793524958,1.38312011341517
