date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCOM INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL
2024-03-01,42.30116304919324,26.09310618820163,22.589569570546804,0.0,0.0,2.393791840552744,0.0,3.026699214417034,1.9822281496682643,1.6134419874202819
2024-03-04,42.35470687957682,26.038683014893742,22.597908819493938,0.0,0.0,2.394675541591121,0.0,3.027816561879468,1.9817799410567962,1.6044292415081158
2024-03-05,42.39619861534116,26.030854134856966,22.6073597897206,0.0,0.0,2.3511565140236454,0.0,3.0290828650762243,1.9711413565348106,1.614206724446588
2024-03-06,42.38065983613048,26.05034109291259,22.603929088414702,0.0,0.0,2.350799722439043,0.0,3.0286231971345643,1.964772171862149,1.6208748911064785
2024-03-07,41.186574855183935,25.29138296933796,21.93686044319998,0.0,2.9034997904777518,2.2814248460675595,0.0,2.939244949438065,1.8882984613460145,1.5727136849487386
2024-03-08,41.19725335619499,25.305363751721604,21.950833187104372,0.0,2.905349182696107,2.282878005930328,0.0,2.9411171096342383,1.885898914718617,1.531306491999744
2024-03-11,41.77514004900902,25.03862455385238,21.868740231710554,0.0,3.020745210868366,2.2743403709024035,0.0,2.941210506912231,1.5207099081858482,1.5604891685592017
2024-03-12,39.548044892981665,23.61279000682193,20.680273638464836,0.0,2.8525705957676855,2.150740313292859,5.440561567150519,2.8415318154392812,1.3757438261018564,1.4977433439793693
2024-03-13,39.54820966166477,23.56638411189993,20.682974238056378,0.0,2.8532836504886174,2.1901620261005283,5.441921539841724,2.843476526488695,1.3935238411789301,1.480064404280419
2024-03-14,39.617354021039844,23.55672687571819,20.654758313505468,0.0,2.8445329843721843,2.187402647367469,5.438147429921323,2.8291065098190784,1.38606616500034,1.485905053256104
2024-03-15,39.702510093209696,23.49951437332615,20.625103055727845,0.0,2.8404489201760246,2.1842620640507073,5.430339560111411,2.8250445943245657,1.3946942621725407,1.4980830769010594
2024-03-18,39.61420775203586,23.468608879974877,20.597033701474974,0.0,2.8365832635166526,2.1812894328114214,5.455989765612506,2.8125939974154317,1.5593173569122003,1.4743758502460742
2024-03-19,34.29561806687993,20.337410731560414,17.829815624299936,13.08805594927877,2.4554873932092045,1.8898288625737336,4.7229757924789,2.465318068507422,1.6338753156580244,1.281614195553664
2024-03-20,34.28025669117219,20.330600153818324,17.868961935944135,13.116791474524971,2.460878546811599,1.8939780826872434,4.751077217699748,2.4653979096897443,1.549763098218997,1.28229488943305
2024-03-21,34.172947570459414,20.497661420327113,17.871758994385193,13.118844667790755,2.461131742397308,1.8920077145804501,4.751820911747757,2.4652504494441727,1.480747188715754,1.2878293401520888
2024-03-22,33.981008216409805,20.82658793821669,17.858738503785844,13.114962349511059,2.460403408691543,1.8914478042894416,4.705091387708798,2.471186087526793,1.4061920644965227,1.2843822393635047
2024-03-25,34.06933111417708,20.819939168464117,17.87716922738914,13.131535930238892,2.4541695995418635,1.8884991652804324,4.712372007165945,2.429462280474552,1.3241751992909185,1.2933463079770577
2024-03-26,33.93092807598601,21.03138935194537,17.8813936336796,13.134638935098414,2.546867153647272,1.888945420929292,4.7134855488960055,2.371695201272802,1.2152819868562614,1.2853746916889692
2024-03-27,33.8364436116139,20.876958201207493,17.901684250340402,13.149543250112664,2.549757169166158,1.9044544008259001,4.905951521981577,2.376792238745665,1.2078397581134142,1.2905755978928268
2024-03-28,33.861470004969476,20.89493161097655,17.908841148951254,13.154800294450169,2.457180419059438,1.9052157809767896,4.907912868028215,2.3777424544255914,1.211264231503263,1.320641186659257
2024-04-02,33.9614279081708,20.863328141109978,17.93097848833607,13.171061105310885,2.341693749513803,1.9075708416975807,4.913979599645688,2.380681611194335,1.1937513800068165,1.3355271750140407
2024-04-03,33.92486521414501,20.878230641168358,17.96591276119373,13.17370653079217,2.310831270362277,1.913310016044167,4.914966579111009,2.383837792402149,1.1939911465900659,1.340348048191064
2024-04-05,34.0242012336541,20.82596287724042,17.955021187329674,13.165720162403838,2.3090321149309347,1.9121500996156737,4.913726608425216,2.399923009763279,1.193267306786379,1.3009953998504848
2024-04-08,34.072870059636095,20.750798552052657,17.941751799743987,13.155990235501665,2.307325659574455,1.8973648708279105,4.910095192890975,2.3981493828619174,1.262277307312087,1.303376939598255
2024-04-09,34.07341681870947,20.751131535078983,17.94203970667908,13.156201346482863,2.307362684669124,1.8973953173813358,4.910173983996425,2.4027344465929836,1.262297562769572,1.2972465976401675
2024-04-10,34.09267503846212,20.76241824859629,17.93261555593681,13.149290982515788,2.306150730280833,1.8963987005093967,4.907594889280749,2.4014723976850267,1.2612335761200366,1.2901498806129543
