date,EMPEROR SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,LUK FOOK SECURITIES (HK) LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,WEBULL SECURITIES LTD
2024-03-11,0.0,0.0,0.0,75.27202265613356,0.0,24.72797734386645,0.0,0.0,0.0
2024-03-18,0.0,45.35309929135782,0.0,41.13382748228395,0.0,13.51307322635823,0.0,0.0,0.0
2024-03-20,0.0,45.450836393308855,0.0,41.011831905344756,0.0,13.537331701346389,0.0,0.0,0.0
2024-04-03,0.0,45.450836393308855,0.0,41.00367197062423,0.0,13.545491636066911,0.0,0.0,0.0
2024-04-25,0.0,45.53971486761711,0.0,40.936863543788185,0.0,13.523421588594706,0.0,0.0,0.0
2024-05-10,0.0,45.54697031313542,0.0,40.93533956893046,0.0,13.51769011793412,0.0,0.0,0.0
2024-05-23,0.0,45.64935064935065,0.0,40.86038961038961,0.0,13.490259740259742,0.0,0.0,0.0
2024-06-05,84.98757188809826,6.85373818110927,0.0,6.133638756214056,0.0,2.025051174578419,0.0,0.0,0.0
2024-06-20,84.983429991715,6.858277693844729,0.0,6.133339831375798,0.0,2.024952483064477,0.0,0.0,0.0
2024-06-24,84.98446542796223,6.858361254949741,0.0,6.132196162046908,0.0,2.024977155041121,0.0,0.0,0.0
2024-06-25,80.007111641298,6.456682075222813,5.85678072056985,5.773046879480621,0.0,1.9063786834287288,0.0,0.0,0.0
2024-07-09,80.00619393911587,6.456608015416027,5.8567135417861484,5.772980661145649,0.0,1.9075038425363031,0.0,0.0,0.0
2024-07-18,80.00435859790788,6.4541659020003666,5.856579188841989,5.775142227931731,0.0,1.90975408331804,0.0,0.0,0.0
2024-07-19,80.00619393911587,6.45431396389163,5.8567135417861484,5.775274712670046,0.0,1.9075038425363031,0.0,0.0,0.0
2024-07-23,80.04751139010983,6.457647153333257,5.808095298208568,5.778257227125102,0.0,1.9084889312232463,0.0,0.0,0.0
2024-08-14,80.04751139010983,6.456499535214662,5.808095298208568,5.779404845243697,0.0,1.9084889312232463,0.0,0.0,0.0
2024-08-26,80.0493487117691,6.45090950823435,5.808228610776381,5.780685143742469,0.0,1.910828025477707,0.0,0.0,0.0
2024-09-02,80.05210485240785,6.45113161639811,5.808428591103154,5.783179543680852,0.0,1.9051553964100445,0.0,0.0,0.0
2024-10-04,79.2949388386158,6.3901141376017465,5.751216406711836,5.734163976172071,0.0,1.8871356464008004,0.0,0.0,0.9424309944977491
2024-10-07,78.45124282982792,6.322123495669778,5.6652794961196715,5.673152626251266,0.0,1.8670565740636598,0.0,1.088741423911821,0.9324035541558879
2024-10-09,78.45741988459332,6.36986378412427,5.6308561015938725,5.653352530285817,0.0,1.8672035814314476,0.0,1.0888271486901455,0.9324769692811267
2024-10-16,77.5752385612919,6.298240540961363,5.5675423182151835,5.578664056765353,0.0,1.8517694686033321,1.1299686366972885,1.0765842916564718,0.9219921258091065
2024-10-23,77.5752385612919,6.2960161932513286,5.5675423182151835,5.578664056765353,0.0,1.8539938163133662,1.1299686366972885,1.0765842916564718,0.9219921258091065
2024-10-24,77.5717876287284,6.295736115127115,5.5672946462332344,5.582864387553104,0.0,1.853911341444427,1.1299183700705087,1.076536399830957,0.9219511110122557
2024-11-01,77.56316164042344,6.295036028823059,5.576683569077484,5.583355573347567,0.0,1.8537051863713194,1.1297927230673428,1.0764166889066809,0.9218485899830976
