date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,FIRST SHANGHAI SECURITIES LTD,GET NICE SECURITIES LTD,LONG BRIDGE HK LTD,ORIENT SECURITIES (HONG KONG) LTD,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-04-29,989324000.0,370466000.0,221018000.0,423428594.0,0.0,0.0,511336000.0,0.0,0.0,666375000.0
2024-05-02,989340000.0,371334000.0,232018000.0,0.0,0.0,0.0,0.0,404068000.0,0.0,672851000.0
2024-08-14,988652000.0,369910000.0,251406000.0,0.0,0.0,0.0,518776000.0,0.0,0.0,667955000.0
2024-08-30,985564000.0,385382000.0,0.0,422148594.0,0.0,0.0,513808000.0,404204000.0,0.0,0.0
2024-09-02,981184000.0,394482000.0,0.0,421912594.0,0.0,0.0,512808000.0,0.0,0.0,667155000.0
2024-09-04,973808000.0,433506000.0,226046000.0,419428594.0,669624625.0,0.0,0.0,0.0,0.0,674875000.0
2024-09-05,977752000.0,436374000.0,226066000.0,419700594.0,0.0,0.0,510848000.0,0.0,0.0,665859000.0
2024-09-09,977680000.0,433462000.0,226578000.0,419524594.0,673436625.0,0.0,505848000.0,0.0,17602718.0,666059000.0
2024-09-10,977448000.0,433662000.0,0.0,0.0,0.0,0.0,505852000.0,0.0,17362718.0,667059000.0
2024-09-11,978636000.0,433862000.0,226250000.0,0.0,0.0,0.0,506752000.0,0.0,16882718.0,669359000.0
2024-09-12,979796000.0,428390000.0,0.0,0.0,0.0,0.0,506796000.0,0.0,17598718.0,668859000.0
2024-09-16,981952000.0,430870000.0,0.0,0.0,0.0,0.0,495972000.0,0.0,16962718.0,672219000.0
2024-09-20,978596000.0,431170000.0,0.0,0.0,0.0,0.0,496784000.0,0.0,16902718.0,674219000.0
2024-09-26,979288000.0,431618000.0,227250000.0,419604594.0,0.0,0.0,492712000.0,0.0,16882718.0,675879000.0
2024-10-04,977284000.0,424766000.0,230334000.0,419520594.0,0.0,0.0,491172000.0,0.0,0.0,684599000.0
2024-10-07,975876000.0,422410000.0,232334000.0,0.0,0.0,0.0,490988000.0,0.0,0.0,695695000.0
2024-10-08,967808000.0,417810000.0,231334000.0,426620594.0,0.0,0.0,492748000.0,0.0,17382718.0,689391000.0
2024-10-09,967992000.0,418818000.0,234414000.0,428620594.0,0.0,0.0,491876000.0,0.0,0.0,689191000.0
2024-10-10,967296000.0,417818000.0,0.0,429524594.0,0.0,0.0,491904000.0,0.0,0.0,689091000.0
2024-11-14,967996000.0,425866000.0,237382000.0,432396594.0,0.0,0.0,497684000.0,0.0,0.0,685487000.0
2025-01-21,895708000.0,433410000.0,240890000.0,421760594.0,603564625.0,0.0,0.0,0.0,0.0,0.0
2025-02-04,904616000.0,0.0,244806000.0,418608594.0,0.0,0.0,498480000.0,0.0,0.0,679451000.0
2025-02-12,0.0,431686000.0,244910000.0,0.0,594164625.0,0.0,499280000.0,0.0,0.0,677611000.0
2025-02-13,905764000.0,431286000.0,245138000.0,417904594.0,592364625.0,0.0,0.0,0.0,0.0,675907000.0
2025-02-14,905664000.0,431586000.0,245290000.0,0.0,591292625.0,0.0,499284000.0,0.0,0.0,675135000.0
2025-02-17,905504000.0,431558000.0,245962000.0,0.0,590292625.0,0.0,499280000.0,0.0,0.0,0.0
2025-02-19,905052000.0,428506000.0,248246000.0,417628594.0,587864625.0,0.0,0.0,0.0,0.0,676399000.0
2025-03-05,921648000.0,421906000.0,253930000.0,0.0,0.0,0.0,498404000.0,0.0,0.0,667415000.0
2025-04-15,950120000.0,410758000.0,254062000.0,0.0,0.0,0.0,500404000.0,0.0,0.0,661843000.0
