date,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,100.0,0.0,0.0,0.0
2024-03-05,100.0,0.0,0.0,0.0
2024-03-07,100.0,0.0,0.0,0.0
2024-03-11,100.0,0.0,0.0,0.0
2024-04-16,100.0,0.0,0.0,0.0
2024-04-17,100.0,0.0,0.0,0.0
2024-04-18,100.0,0.0,0.0,0.0
2024-05-20,100.0,0.0,0.0,0.0
2024-06-06,100.0,0.0,0.0,0.0
2024-06-11,100.0,0.0,0.0,0.0
2024-06-12,100.0,0.0,0.0,0.0
2024-06-28,57.39960119684013,25.115801490892608,0.0,17.484597312267265
2024-07-04,57.282131689349114,25.064401467724156,0.0,17.653466842926726
2024-07-18,57.28422137435162,25.061667774130914,0.0,17.654110851517466
2024-07-22,57.28418327213844,25.06171761885675,0.0,17.6540991090048
2024-07-26,57.32211808294952,25.03100600828675,0.0,17.646875908763725
2024-07-29,57.3439340719581,25.01821071181417,0.0,17.63785521622773
2024-07-30,57.35265422380169,25.013096255252943,0.0,17.63424952094537
2024-08-02,57.35701296286889,25.010539811050954,0.0,17.632447226080146
2024-08-12,57.35700710074024,25.010547475290085,0.0,17.63244542396967
2024-10-10,57.50393572019068,25.074615762636217,0.0,17.4214485171731
2024-10-14,57.56291815685424,24.997763949365968,0.0,17.439317893779798
2024-10-23,52.24317849067772,28.1313817824366,0.0,19.62543972688568
2025-03-12,41.28282125669432,22.229558755415063,20.979499239195732,15.508120748694884
2025-03-18,41.28284573254544,22.22951264670244,20.979511677568023,15.508129943184096
2025-03-20,41.29414537792742,22.208225864924625,20.985254039511272,15.512374717636682
2025-03-26,41.31676323600448,22.165617323426865,20.99674819911266,15.520871241455994
2025-04-11,41.32211979827466,22.16359406233908,20.994831631530467,15.51945450785579
2025-04-14,41.338183619375165,22.15752649465024,20.989084027523567,15.515205858451035
2025-04-15,41.37563168629227,22.143381747929382,20.975685181874262,15.505301383904078
