date,GRANSING SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-07,0.0,0.0,71.05383984283854,0.0,0.0,0.0,28.94616015716146,0.0,0.0
2024-03-08,0.0,33.05175898293512,31.53044171114808,22.41326614140143,0.0,0.0,13.004533164515376,0.0,0.0
2024-03-11,0.0,28.476224654412658,26.95607635287066,19.30574448073618,10.26304933306949,0.0,11.151459513899436,3.8474456650115787,0.0
2024-03-12,0.0,28.480318420700794,26.959951581345397,19.308519890990937,10.264524757774947,0.0,11.15306265720848,3.8336226919794383,0.0
2024-03-13,0.0,28.502287787756874,26.964153283934163,19.290955757627117,10.255187559337175,0.0,11.142917193908744,3.8444984174359256,0.0
2024-03-14,0.0,28.446982943588456,27.053545928118417,19.276189674300184,10.247337821048568,0.0,11.134387951197413,3.841555681746965,0.0
2024-03-18,0.0,28.442900814551237,27.04966375665539,19.287773504148813,10.245867332759655,0.0,11.13279017162067,3.84100442026424,0.0
2024-03-19,0.0,28.438819856913224,27.05056533098921,19.304136641702925,10.234832002884882,0.0,11.13119285053941,3.8404533169703563,0.0
2024-03-20,0.0,24.9871698885924,24.098852648890084,17.342727150563437,9.12932283034604,3.856498990015336,10.001386462579374,3.412830964615342,7.171211064397988
2024-03-21,0.0,24.981853596994284,24.090069239769075,17.34425314178915,9.121151481441228,3.853047167861154,9.992434558934786,3.4268251360181057,7.19036567719222
2024-03-22,0.0,25.051073316880277,24.07057636083719,17.330218751796668,9.113770950493912,3.8499294108628486,9.984349014839689,3.4155347206991196,7.1845474735902926
2024-03-25,0.0,25.052140230281584,24.06734256248416,17.33095683764233,9.114159101701665,3.850093377541264,9.984774243556735,3.4156801867124926,7.184853460079769
2024-03-26,0.0,25.05534151582723,24.07041800574606,17.320392981200712,9.115323753724399,3.8505853613863814,9.986050147059137,3.4161166591060597,7.185771575950027
2024-03-27,0.0,25.077680713849247,24.063243193755735,17.31523018912917,9.112606695210983,3.8494375946124904,9.983073545975017,3.4150983969902846,7.183629670477071
2024-03-28,0.0,25.089235046195636,24.046809876322797,17.36156718717787,9.096724966471767,3.8427286774254568,9.965674741072776,3.426149683633759,7.17110982169994
2024-04-02,0.0,25.099836598182396,24.049177785002303,17.357140276954393,9.094405453243494,3.841748845669214,9.963133660136968,3.425276072576755,7.169281308234473
2024-04-03,0.0,25.09868609605574,24.053210031441132,17.392615048860076,9.086296463774762,3.8383233660057874,6.012241024628534,7.355739121389099,7.162888847844871
2024-04-05,0.0,25.161142556607196,24.0319464561786,17.386896948078526,9.07666173953798,3.834253370346885,6.005865898684944,7.347939406920742,7.155293623645129
2024-04-08,0.0,25.16642316883624,24.028888950146204,17.388925761080916,9.075506945519393,3.8337655508175374,6.005101791988532,7.347004552596593,7.154383279014587
2024-04-09,0.0,25.183448972189403,23.994620725056688,17.39482732654702,9.078587049437997,3.835066678828014,6.00713984205804,7.349498026255782,7.156811379627056
2024-04-10,0.0,25.1601569213208,24.00497327712229,17.399256130136916,9.080898499742213,3.8360431045639998,6.008669287679894,7.351369242487572,7.158633536946314
2024-04-12,0.0,25.042389688180734,23.997844987581104,17.521353924731525,9.07820192211836,3.834903989530373,6.011127160580242,7.349186249493593,7.16499207778407
2024-04-17,0.0,25.030709444346684,24.02905365725419,17.517421805931576,9.073967677170279,3.8331153178326782,6.0083234572664885,7.345758450132399,7.161650190065702
2024-04-18,0.0,25.037072845969057,24.03957263924315,17.497704812367086,9.074737246071678,3.8334404067517744,6.008833026954938,7.346381448523129,7.162257574119188
2024-04-19,0.0,25.02009027385045,24.015131778216933,17.56463942353517,9.065511025821879,3.8295429753939154,6.002723889527852,7.347384875423357,7.154975758230446
2024-04-23,0.0,24.96500162117831,24.027345993358466,17.590526384941903,9.070121789696087,3.831490699946385,6.005776904672596,7.351121791815276,7.158614814390978
2024-04-24,0.0,24.956510125731633,24.03549570825004,17.583773390514267,9.068958426520874,3.8327902840462222,6.007813973997232,7.353615181919744,7.161042909019989
2024-04-25,0.0,24.984078356098212,24.021237333129942,17.581816910629048,9.072053118756608,3.8305165900775213,6.004250009004256,7.349252858586565,7.1567948237178465
2024-04-26,0.0,24.986200513006253,24.015131778216933,17.57734808385174,9.069747245927404,3.8295429753939154,6.002723889527852,7.347384875423357,7.171920638652543
2024-04-29,0.0,24.945924351314748,24.02938290391426,17.587778882203466,9.07512944033876,3.831815513342475,6.00628604248483,7.347506246834196,7.176176619567268
2024-04-30,0.0,2.942615,2.8345,2.07365,1.0705,0.45199999999999996,0.7085,0.8667100000000001,0.8465
2024-05-03,0.0,24.908816103820122,24.02175779403441,17.6254242282279,9.077053201028534,3.8326277878233515,6.00755926476293,7.3490637831512755,7.1776978371514755
2024-05-06,0.0,24.906704198364064,24.015481825176618,17.62392984850958,9.076283598888462,3.8323028367095615,6.007049911081248,7.361158508538956,7.177089272731512
2024-05-07,0.0,24.9141120031205,24.018536459205585,17.6261715131254,9.077438051043101,3.8327902840462222,6.007813973997232,7.345135557397518,7.178002158064441
2024-05-08,0.0,24.938462223673856,23.970358367674162,17.634395831168252,9.081673556041476,3.8345786523407264,6.010617201733195,7.348562775318718,7.181351392049612
2024-05-09,0.0,24.956495369614405,23.96730843860471,17.63215207428975,9.080518026376339,3.834090750044003,5.988646171528908,7.360351514868765,7.180437654673116
2024-05-13,0.0,25.00738536785913,23.95529362400107,17.603241508946148,9.07436016436417,3.831490699946385,6.086306023366159,7.266354298453629,7.175568313063306
2024-05-17,0.0,24.990441592094147,23.93095082342032,17.678503003012537,9.065139015028825,3.827597230072889,6.080121263699855,7.258970401749516,7.168276670921905
2024-05-20,0.0,24.969297252934368,23.90647243098492,17.752385464898605,9.057469027559497,3.8243587113095683,6.074976890974048,7.252828608233794,7.162211613105198
2024-05-23,0.0,24.95346246451288,23.891311654571627,17.804544464855336,9.051725049095356,3.8219334163391885,6.071124320644994,7.248229079248043,7.157669550732572
2024-05-27,0.0,24.951352676712485,23.88929167045375,17.811494000198692,9.050959735700138,3.821610276073296,6.070611013762448,7.247616249453075,7.157064377646116
2024-05-28,0.0,24.983065673073472,23.879196871322357,17.80396747087993,9.047135109095942,3.8199953940321025,6.068045780785507,7.244553654243935,7.154040046566758
2024-06-03,0.0,24.94925182632143,23.879007394039547,17.83233555710992,9.048664571794454,3.8206411830463276,6.069071613777131,7.245778381679519,7.155249472231673
2024-06-04,0.0,24.94503474547802,23.87497121270064,17.8462240570971,9.047135109095942,3.8199953940321025,6.068045780785507,7.244553654243935,7.154040046566758
2024-06-11,0.0,24.960862773447985,23.83534251150442,17.854523240304474,9.051342376220461,3.821771839375664,6.0708676563533785,7.24792265139649,7.157366951397123
2024-06-12,0.0,24.960862773447985,23.8311148877883,17.858750864020596,9.051342376220461,3.821771839375664,6.0708676563533785,7.24792265139649,7.157366951397123
2024-06-13,0.0,24.95348606272145,23.77778106440115,17.892706301935984,9.047135109095942,3.8199953940321025,6.110302367002677,7.244553654243935,7.154040046566758
2024-06-14,0.0,24.94926897897879,23.79066245017206,17.889682474296496,9.04560616334903,3.8193498232916965,6.109269739468798,7.243329340760786,7.152831029682348
2024-06-17,0.0,24.949260404099736,23.782006723022867,17.892706301935984,9.047135109095942,3.8199953940321025,6.110302367002677,7.244553654243935,7.154040046566758
2024-06-18,0.0,25.011584463091285,23.730725121916706,17.894352231038756,9.043695707729382,3.818543166645194,6.107979445762115,7.2417995307078025,7.151320333108754
2024-06-19,0.0,25.08866217988381,23.727718308312514,17.824508646595106,9.042549821661996,3.8180593361898385,6.107205531117818,7.240881954812592,7.150414221426324
