date,ABN AMRO CLEARING HONG KONG LTD,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,32.01587728362828,0.0,31.173638353401294,20.36490541548834,0.0,0.0,0.0,8.444309110325742,4.362365741175657,3.638904095980685
2024-03-04,29.265170390453942,0.0,32.92754250323697,21.52347918589412,0.0,0.0,0.0,8.81256881033758,3.651103275512929,3.820135834564454
2024-03-05,26.99156904271986,0.0,33.92762646725405,22.1166438745581,0.0,0.0,0.0,9.05543403624119,3.751723882385772,4.157002696841025
2024-03-06,24.457725852994262,0.0,31.347606644547,20.64262323429918,0.0,0.0,0.0,16.170415122072477,3.5016805905303316,3.8799485555567568
2024-03-07,23.831301823387882,0.0,28.871965162752776,18.989481219303652,0.0,6.979380008351395,0.0,14.875425026346662,3.0224095762661314,3.430037183591497
2024-03-08,21.422988129646797,0.0,26.35836469069822,17.57830252131392,8.85277489956554,6.162403882859792,0.0,14.380760211594046,2.1086691752558577,3.1357364890658235
2024-03-11,27.09816197688043,0.0,25.253143526695933,16.94618841923016,8.516815025970164,5.928542697749252,0.0,11.229254472639512,2.0286458788758504,2.9992480019586925
2024-03-12,27.369873059663703,0.0,25.056311222084478,16.91955789142847,8.50343105585724,5.919226135391384,0.0,11.211607969129227,2.0254579106354,2.9945347558100956
2024-03-13,35.76233183856502,0.0,24.594687823387375,16.712659537771646,8.313211452224905,5.8468437392204216,0.0,3.8289065194894794,2.000689893066575,2.9406691962745772
2024-03-14,32.58029395753947,0.0,25.929958265287606,17.61930684086373,8.746144075485393,6.151333696243875,0.0,4.028307022318998,1.8508437670114317,3.093812375249501
2024-03-15,32.23207820419985,0.0,26.08616944243302,17.57784214337437,8.797972483707458,6.136857349746561,0.0,4.018826937002172,2.063721940622737,3.08653149891383
2024-03-18,31.63536498936924,0.0,25.531537916371366,17.416725726435153,8.522324592487598,6.006378454996456,0.0,3.933380581148122,3.933380581148122,3.0209071580439404
2024-03-19,26.160782808902532,0.0,27.494244052187263,18.860322333077516,9.190330007674596,6.504221028396009,0.0,4.259401381427475,4.259401381427475,3.2712970069071376
2024-03-20,28.198447995101688,0.0,25.084669481568962,17.13014285876267,8.233632820097741,5.913562555112571,0.0,8.697385211034812,3.7853778007652745,2.9567812775562854
2024-03-21,28.04953018120777,0.0,25.075499624127623,17.02914289826648,8.185087014238063,6.312228121149692,0.0,8.646105103800602,3.763059072223855,2.9393479849859143
2024-03-22,30.97945687264861,0.0,25.14526782927302,17.076523518911554,8.207860591574596,5.982000092164537,0.0,6.270405532654504,3.4779070303282187,2.86057853244496
2024-03-25,26.654454017380473,0.0,25.310021745107786,17.035257953184267,8.274763791923519,5.967544537571678,0.0,10.417441883662372,3.4695026381230685,2.871013433046839
2024-03-26,26.79042732502637,0.0,25.157602183320478,17.053951480039363,7.948143546928173,5.943829087268025,0.0,10.393320794848911,3.8531217629673526,2.8596038196013316
2024-03-27,33.37698620569233,0.0,25.42343286188231,17.234154007333682,8.032128514056225,6.0066352365985685,0.0,3.1430068098480883,3.893836214422909,2.889820150165881
2024-03-28,31.85072489708251,0.0,25.792017182745656,17.68390907463755,8.269196348666547,6.228745301592984,0.0,3.221764811168785,3.991408627170217,2.9622337569357438
2024-04-02,31.539705353934604,0.0,25.943226733740566,17.750628817822495,8.300395256916996,6.252245777937477,0.0,3.233920229967661,4.006467840459935,2.973409989220266
2024-04-03,29.48432572806529,0.0,26.785383045817102,18.326841031348547,8.699684659617882,6.455203116304952,0.0,3.33889816360601,3.8397328881469113,3.0699313670933037
2024-04-05,23.637083007491423,0.0,26.82274881164449,18.352407081651496,8.711820770541042,6.464208162363076,0.0,9.166730132311939,3.8450893379573476,2.9999126960391864
2024-04-08,26.07877863035516,0.0,26.015721134530466,17.890312386834314,8.215490884588569,6.2697167277123285,0.0,8.89092674700792,3.7294004673461263,2.9096530216251177
2024-04-09,32.348792100158704,0.0,25.480514900370306,17.51013930523717,7.77640627755246,6.0835831423029445,0.0,4.408393581378946,3.650149885381767,2.7420208076177044
