date,ABN AMRO CLEARING HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,LONG BRIDGE HK LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD
2025-03-24,0.0,90.10166461847838,0.0,0.0,0.0,0.0,3.4409563177298623,0.0,0.0,6.457379063791755
2025-03-26,66.33202554042619,28.98684514193399,0.5692745595815063,0.6346642049388415,0.04615739672282484,0.4308023694130318,0.8500653896453573,0.0,0.0,2.150165397338257
2025-03-27,65.07266940215516,29.021743298692332,1.338344134678069,0.9510296429804043,0.1265482992675538,1.1811174598305019,0.7171070291828048,0.0,0.19173984737508148,1.3997008858380948
2025-03-28,62.14463464293794,28.798733127215144,2.371616016891637,2.5299751149988685,0.12442500565568208,1.670311439559611,0.6749113943141543,0.0,0.29786592263026923,1.387527335796697
2025-03-31,58.28076309189025,29.79782625218515,3.0744090598160674,2.6297788249600975,0.12540852777988903,2.808390970586,0.7258493577563274,0.4560310101086874,0.7524511666793342,1.3490917382382002
2025-04-01,52.54542832419959,30.83717911739256,3.709979809633689,2.3038650129795215,0.11897894433227575,5.754254398615518,0.8869339486587827,0.9013556388808769,1.391693106432074,1.5503316988751081
2025-04-02,55.70413845999933,29.025911228198886,3.4114783072664823,1.8708106846300063,0.11004768733117684,4.895454697035382,0.8503684930136393,1.260546236702571,1.4572981625370993,1.4139460432854236
2025-04-03,49.84939198988509,32.021866051838906,4.138931240935629,2.298166672864527,0.9333977910825183,5.388419917444498,0.9073667769885836,1.4056747610724778,1.4391432077646795,1.6176415901230894
2025-04-07,50.43394406943105,31.525851197982348,4.016764334989986,2.2921148282768344,0.8085453601364885,5.400192864030858,1.1460574141384172,1.4019731473926267,1.361174987018767,1.613381796602626
2025-04-08,51.17862755369303,31.80049390107012,3.8614083663847936,2.9484397216193967,0.7782683529147646,3.513432612437327,1.156177505051261,1.4143530644316398,1.8221956147571654,1.5266033076405
2025-04-09,51.006314856530885,29.91986410133314,4.560729716754681,3.700284353188818,0.7311939141031796,3.3457660918054586,1.8205989881457958,1.3959156541969793,2.101259278407622,1.4180730455334392
2025-04-10,50.14103834718304,29.75146756118015,5.603415415110162,3.743233971182435,1.055881680262255,2.6949759853625066,1.9707250133414653,1.440878249599756,2.207059541053595,1.3913242357246323
2025-04-11,47.13272071652902,31.29773952153852,5.1219417626303745,5.280911946027684,1.042999495948199,3.256950098871699,2.128649528905432,1.4656275444922646,1.8572370206661237,1.415222364390679
2025-04-14,46.75725274296201,32.31814454726485,4.962711334973253,4.73234157198079,1.0932802311506773,3.0377572136972395,2.2060833235719026,1.4759283120534146,1.944476982546562,1.472023739799305
2025-04-15,50.362993652362306,30.28241286251853,4.831046409973773,3.827587517579536,1.0262647763122885,2.786118818655213,2.1019423011136875,1.436770686837204,1.7028393325477973,1.6420236420996617
2025-04-16,50.98594741613781,30.779691749773345,4.786189181021457,2.88229072227259,1.1710486551828347,2.799184043517679,2.0512239347234815,1.4279238440616502,1.809459051072832,1.3070414022363253
2025-04-17,46.31413485953811,33.17480149933497,5.106605940913305,3.0752488815444763,2.244971988231027,3.0550965297650237,2.1845149328926685,1.5235177945266214,1.991052355809923,1.3300552174438758
2025-04-22,47.47080144985904,33.04067660088602,4.905356423681031,2.9399919452275474,2.243254128070882,2.911800241643174,2.1949254933548126,1.522351993556182,1.4780507450664517,1.292790978654853
2025-04-23,45.20100096867937,33.6373910235712,4.940264772360349,4.379237972231191,2.288505004843397,3.039231514368744,2.207781724249273,1.5256700032289312,1.4853083629318695,1.2956086535356797
2025-04-24,44.79451495735216,33.98767497857405,4.995306697139125,4.566787740276701,2.2650287719871036,3.011876096804473,2.236460841529609,1.5426682447047302,1.5018569154797372,1.0978247561523078
2025-04-25,44.125357483317444,33.50413091833492,5.163647918652685,4.206387035271687,3.515252621544328,3.014775977121068,2.236256752462663,1.5014299332697807,1.6126469653638387,1.1201143946615824
2025-04-28,39.19554649521719,38.97208718833307,5.096440332444723,4.151638701583817,3.4694997647796773,2.971616747687,2.140504939626784,1.481888035126235,1.4348439705190528,1.0859338246824526
2025-04-29,39.43806885635141,38.824693312227936,5.18005540166205,4.190740007914523,3.4626038781163437,2.9165017807677085,1.9430154333201426,1.4958448753462603,1.448357736446379,1.1001187178472496
2025-04-30,41.018903443407325,37.418621068319084,5.21217350380422,4.153266922895913,3.4316416973880304,2.8708133971291865,1.9256412267628833,1.482469213271629,1.4354066985645932,1.051062828457134
2025-05-02,41.63627093383535,37.22790916578421,5.173157626387418,4.153429815272385,2.9023022316350944,2.8787700513785937,2.062987802486567,1.4825273561595482,1.4354629956465466,1.047182021414284
