date,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIC SECURITIES BROKERAGE (HK) LTD,FULBRIGHT SECURITIES LTD,DBS BANK LTD,TOTAL_CCASS_PCT
2024-03-01,15.11961519204773,14.54671279583171,0.0,7.160550313580587,8.252240180484845,6.977995233797289,1.9101352211366864,0.0,0.0,0.0,53.96724893687885
2024-03-04,15.119011386089712,14.882244626911923,0.0,7.14927121828479,8.286971099190103,6.984298967999009,1.484377148794453,0.0,0.0,0.0,53.90617444726998
2024-03-05,15.119011386089712,14.935856847751294,13.663269010287163,7.14927121828479,8.371359019882847,6.959905207295039,1.5318130384892485,0.0,0.0,0.0,67.7304857280801
2024-03-06,15.168281952264067,14.854070123125695,13.795599124046621,7.149278826239862,8.367398052798242,6.902350423376662,1.5547742091772228,0.0,0.0,0.0,67.79175271102838
2024-03-07,15.216586428905593,14.8175591844562,13.834725750126257,7.149278826239862,8.375682270542264,6.869286009115538,1.5239801053182505,0.0,0.0,0.0,67.78709857470396
2024-03-08,15.240738667226356,14.87631201600424,13.834725750126257,7.149278826239862,8.324334611872322,6.894935686212188,1.5239801053182505,0.0,0.0,0.0,67.84430566299947
2024-03-11,15.2453275925073,14.793719524403784,13.875543032888343,7.149375435193145,8.304215797351128,6.984468033667254,1.5290520753656105,0.0,0.0,0.0,67.88170149137656
2024-03-12,15.289767711017502,14.790555581183765,13.882547182001364,7.150317372487653,8.255428275943187,6.938844455479335,1.5389303408388024,0.0,0.0,0.0,67.8463909189516
2024-03-13,15.289767711017502,14.743321048699848,13.882547182001364,7.152177094838352,8.276851311333704,6.941815180792787,1.5332219593116903,0.0,0.0,0.0,67.81970148799526
2024-03-14,15.289260514012767,14.819336692587653,13.882547182001364,7.1601714857225245,8.183068169934183,6.977777863652403,1.5732748237309266,0.0,1.4848796119604781,0.0,69.3703163436023
2024-03-15,15.289260514012767,14.823867241908578,13.882547182001364,7.175339091387964,8.083077903286226,6.98403329337748,1.5803131965656483,0.0,1.4848796119604781,0.0,69.3033180345005
2024-03-18,15.288294424479936,14.900004299098422,13.882547182001364,7.175266634673001,8.0803728525943,6.951331162691169,1.5834840473258278,1.6078869617281215,1.4848796119604781,0.0,70.95406717655261
