date,NANYANG COMMERCIAL BANK LTD,BOCOM INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,HUATAI FINANCIAL HOLDINGS (HONG KONG),FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,UBS SECURITIES HONG KONG LTD
2024-03-06,0.0,0.0,67.4908188072208,0.0,0.0,0.0,32.50918119277919,0.0,0.0,0.0
2024-03-11,0.0,0.0,57.06413592530231,0.0,0.0,15.449038945135685,27.486825129562003,0.0,0.0,0.0
2024-03-12,0.0,0.0,55.234421114765155,0.0,0.0,14.862130027826966,26.446159035331817,3.4572898220760604,0.0,0.0
2024-03-13,60.10628011199771,0.0,22.047237473829362,0.0,0.0,5.919398642910595,10.548132951038838,1.378950820223491,0.0,0.0
2024-03-15,60.10880715739199,0.0,22.048164404755898,0.0,0.0,5.919647511898155,10.544372130568588,1.3790087953853658,0.0,0.0
2024-03-18,57.99011933058059,0.0,21.275076863171385,0.0,3.5206982988699695,5.710994475586309,10.172708909638114,1.330402122153629,0.0,0.0
2024-03-21,46.35381542771178,0.0,17.006017533848627,20.030347045702133,2.8142345800695128,4.56502567826944,8.13145198941744,1.0991077449810656,0.0,0.0
2024-03-25,46.365841635533414,0.0,17.02664487339145,20.035543794105436,2.8149647156496473,4.5662100456621,8.133561643835616,1.0572332918223328,0.0,0.0
2024-03-27,46.35381542771178,0.0,17.022228562535666,20.046558074389168,2.8109923743321055,4.56502567826944,8.13145198941744,1.0699278933444,0.0,0.0
2024-03-28,44.290307990656814,0.0,16.26755720224782,19.151058543627364,2.701346336144138,4.368002676563342,7.778762213369187,1.0284942472475387,4.414470790143803,0.0
2024-04-02,44.28756404458184,0.0,16.272744732391224,19.149872065720427,2.7011789778887434,4.36773206287056,7.778280290686508,1.0284305282787418,4.414197297581949,0.0
2024-04-03,44.254663191585514,0.0,16.260655849341614,19.135645789353127,2.7363168679696157,4.358296549888257,7.772501872705549,1.0710018510378811,4.4109180281184415,0.0
2024-04-05,44.26014327197528,0.0,16.26266941570543,19.138015367374358,2.749038765161506,4.346453182755354,7.77346434608169,1.0587514163122016,4.411464234634174,0.0
2024-04-12,44.254663191585514,0.0,16.276132754703433,19.135645789353127,2.751793773331435,4.339724263454073,7.772501872705549,1.058620326748426,4.4109180281184415,0.0
2024-04-15,44.22044341069926,0.0,16.34087197505815,19.12084921066957,2.755851932498639,4.330182609986638,7.766491809768892,1.0578017518681644,4.407507299450685,0.0
2024-04-16,44.21770811426026,0.0,16.339861195303897,19.119666472851435,2.771145448022466,4.329914762535103,7.766011406232604,1.0577363205621466,4.3979562802320835,0.0
2024-04-17,44.21223853642245,0.0,16.337840010885294,19.117301436116918,2.7831723216605027,4.329379167027448,7.765050777432801,1.0576054822309908,4.397412268223594,0.0
2024-04-18,44.10721227116511,0.0,16.521154308913992,19.071888246509246,2.7919862282579855,4.31909471774716,7.7466048830450855,1.0550931381925206,4.386966206168901,0.0
2024-04-19,44.104490964394344,0.0,16.520134994231277,19.070711557801346,2.797983724187289,4.3188282402008875,7.746126936531734,1.0550280415347881,4.386695541118329,0.0
