date,J.P. MORGAN BROKING (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,EAST ASIA SECURITIES CO LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CELESTIAL SECURITIES LTD
2024-03-04,0.0,0.0,0.0,89.94082840236686,10.059171597633137,0.0
2024-03-06,0.0,0.0,0.0,90.05847953216374,9.941520467836257,0.0
2024-03-08,0.0,0.0,0.0,89.94082840236686,10.059171597633137,0.0
2024-03-12,0.0,0.0,53.4435261707989,41.8732782369146,4.683195592286501,0.0
2024-03-13,0.0,24.945770065075923,40.99783080260303,30.36876355748373,3.68763557483731,0.0
2024-03-15,0.0,25.0,40.869565217391305,30.434782608695656,3.6956521739130435,0.0
2024-03-18,0.0,25.900900900900904,41.21621621621622,29.054054054054053,3.8288288288288284,0.0
2024-03-21,0.0,25.95936794582393,41.08352144469526,29.119638826185103,3.837471783295711,0.0
2024-03-26,0.0,29.48717948717949,46.666666666666664,19.743589743589745,4.102564102564102,0.0
2024-03-27,0.0,30.914826498422716,57.413249211356465,6.624605678233439,5.047318611987381,0.0
2024-03-28,68.29652996845425,15.457413249211358,9.14826498422713,3.3123028391167195,2.5236593059936907,1.2618296529968454
2024-04-02,68.29652996845425,15.457413249211358,9.14826498422713,3.3123028391167195,2.5236593059936907,1.2618296529968454
2024-04-05,68.5126582278481,15.18987341772152,9.177215189873419,3.322784810126582,2.5316455696202533,1.2658227848101267
2024-07-22,68.4044233807267,15.165876777251185,9.162717219589258,3.3175355450236967,2.527646129541864,1.4218009478672986
2024-08-16,68.4044233807267,15.165876777251185,9.162717219589258,3.3175355450236967,2.527646129541864,1.4218009478672986
