date,BOCI SECURITIES LTD,GRAND CHINA SECURITIES LTD,CMB WING LUNG BANK LTD,FUBON SECURITIES (HONG KONG) LTD,PARTNERS CAPITAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,TAIPING SECURITIES (HK) CO LTD,FUTU SECURITIES INTERNATIONAL,GF SECURITIES (HONG KONG) BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-05,0.0,69.40991862230325,0.0,0.0,0.0,19.273911381281973,0.0,4.492883510611154,0.0,6.823286485803612
2024-03-07,0.0,69.42135236438014,0.0,0.0,0.0,19.267726744436334,0.0,4.508030310210816,0.0,6.802890580972708
2024-03-08,83.49484313893524,11.491656975328747,0.0,0.0,0.0,3.1742598404688933,0.0,0.742297603083598,0.0,1.0969424421835245
2024-03-11,79.4440886467273,10.95470662022822,4.827251160932721,0.0,0.0,3.0202605415323265,0.0,0.709968779583772,0.0,1.0437242509956617
2024-03-12,79.4123971887095,10.990841860936325,4.825325496857345,0.0,0.0,3.019055713561042,0.0,0.7090718464545227,0.0,1.0433078934812636
2024-03-13,79.40545282486654,11.002460819356816,4.824903537351057,0.0,0.0,3.0186382911311447,0.0,0.7053278678001794,0.0,1.043216659494266
2024-03-14,79.39400336865656,11.01774765099725,4.824207835484207,0.0,0.0,3.0182030342854427,0.0,0.7052261667173347,0.0,1.0406119438592125
2024-03-15,79.3375352439853,11.0791959022343,4.820776669930944,0.0,0.0,3.0160563700791827,0.0,0.7056442880642619,0.0,1.040791525706013
2024-03-18,79.29166541526223,11.10465505025577,4.817989487300656,0.0,0.0,3.0330024783801,0.0,0.7043171383333287,0.0,1.0483704304679236
2024-03-19,79.25184280425376,11.151444574503365,4.815569750999358,0.0,0.0,3.031479215156258,0.0,0.7048821219540986,0.0,1.0447815331331645
