date,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,ROOFER SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,WESTOCK SECURITIES INTERNATIONAL (HK),TOTAL_CCASS_PCT
2024-03-04,5.7855,0.0,0.0,0.0,0.0,0.865,0.0,0.0,0.0,0.527,7.1775
2024-03-07,5.921,0.0,0.0,0.0,0.0,0.865,0.0,0.0,0.0,0.527,7.313
2024-03-08,5.922000000000001,0.0,0.0,0.0,0.0,0.869,0.0,0.0,0.0,0.527,7.318
2024-03-11,5.9225,0.0,0.0,0.0,0.0,0.869,0.0,1.042,0.0,0.527,8.3605
2024-03-12,5.9270000000000005,0.0,0.0,0.0,0.0,0.8715,0.0,1.042,0.0,0.5325,8.373
2024-03-13,5.9319999999999995,0.0,0.0,0.0,0.0,0.8715,0.0,1.042,0.0,0.5275,8.373
2024-03-14,5.939,0.0,0.0,0.0,1.1520000000000001,0.873,0.0,1.042,0.0,0.5465,9.5525
2024-03-15,6.1065000000000005,0.0,0.0,1.0325000000000002,1.1520000000000001,0.8880000000000001,0.0,1.047,0.0,0.528,10.754
2024-03-18,6.1275,0.0,0.0,1.035,1.1520000000000001,0.895,0.0,1.047,0.0,0.5295,10.786
2024-03-19,6.1375,2.6275,0.0,1.0725,1.1520000000000001,0.9005000000000001,0.0,1.047,0.0,0.538,13.475000000000001
2024-03-21,6.141,2.6275,0.0,1.0735,1.157,0.9005000000000001,0.0,1.047,0.0,0.543,13.4895
2024-03-22,5.9675,2.6275,0.0,1.0455,1.157,0.903,0.0,1.047,0.0,0.5415,13.289000000000001
2024-03-26,6.115,2.6275,0.0,1.0515,1.157,0.899,0.0,1.047,0.0,0.5595,13.456499999999998
2024-03-27,6.129,2.6275,0.0,1.0515,1.157,0.899,0.0,1.047,0.0,0.5595,13.4705
2024-03-28,6.191,2.6275,0.0095,1.0725,1.1545,0.899,0.0,0.9990000000000001,0.0,0.5405,13.4935
2024-04-02,6.0955,2.6275,0.0045000000000000005,1.0725,1.1545,0.897,0.0,0.9990000000000001,0.0,0.5405,13.391
2024-04-03,6.098,2.6275,0.0045000000000000005,1.0699999999999998,1.0835,3.3215000000000003,0.0,0.9990000000000001,0.0,0.5455,15.7495
2024-04-05,6.1080000000000005,2.6275,0.0045000000000000005,1.05,1.0835,3.3215000000000003,0.0,0.9990000000000001,0.0,0.5515,15.745500000000002
2024-04-08,6.1305,2.6374999999999997,0.0045000000000000005,1.05,1.0835,3.286,0.0,0.9990000000000001,0.0,0.5515,15.742500000000001
2024-04-09,6.1805,2.6374999999999997,0.0095,1.05,1.0835,3.2535000000000003,0.0,0.9955,0.0,0.5515,15.7615
2024-04-10,6.2175,2.6374999999999997,0.0135,1.05,1.087,3.2024999999999997,0.0,0.9955,0.0,0.5515,15.754999999999999
2024-04-11,6.2364999999999995,2.6374999999999997,0.0135,1.0935000000000001,1.087,3.1245,0.0,0.9955,0.0,0.5515,15.739500000000001
2024-04-12,6.268,2.6374999999999997,0.0135,1.0935000000000001,1.087,3.113,0.0,0.9955,0.0,0.5515,15.759500000000001
2024-04-15,6.263000000000001,2.6374999999999997,0.0135,1.0935000000000001,1.162,3.063,0.0,0.9955,0.0,0.5309999999999999,15.759
2024-04-16,6.2635,2.63,0.015,1.0935000000000001,1.162,3.06,0.0,0.9955,0.0,0.541,15.7605
2024-04-17,6.279,2.63,0.015,1.0959999999999999,1.1405,3.037,0.0,0.9955,0.0,0.5599999999999999,15.753
2024-04-18,6.334,2.63,0.015,1.0959999999999999,1.1405,2.983,0.0,0.9955,0.0,0.5599999999999999,15.754000000000001
2024-04-19,6.338000000000001,2.63,0.015,1.099,1.1405,2.9505,0.0,0.9955,0.0,0.575,15.7435
2024-04-22,6.338000000000001,2.63,0.015,1.099,1.1405,2.9354999999999998,0.0,1.0105,0.0,0.5745,15.742999999999999
2024-04-23,6.3635,2.63,0.015,1.099,1.1405,2.9105,0.0,1.0105,0.0,0.5745,15.7435
2024-04-24,6.398,2.63,0.015,1.099,1.1405,2.8915,0.0,1.0105,0.0,0.5745,15.759
2024-04-25,6.457,2.63,0.015,1.099,1.1405,2.844,0.0,1.0105,0.0,0.5745,15.770500000000002
2024-04-29,6.4605,2.63,0.015,1.1065,1.1405,2.834,0.0,1.0105,0.0,0.5740000000000001,15.770999999999999
