date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,ABCI SECURITIES CO LTD,NANYANG COMMERCIAL BANK LTD,CHINA MERCHANTS BANK CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,93.29693696813153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.703063031868465
2024-03-13,75.9513887018261,0.0,18.59176606433536,0.0,0.0,0.0,0.0,0.0,5.456845233838536
2024-03-15,47.49987988278485,37.46015616743711,11.627261462350758,0.0,0.0,0.0,0.0,0.0,3.4127024874272713
2024-03-18,44.097236010516994,34.77670578499682,10.794345041009178,0.0,0.0,0.0,3.8860167995643806,3.277462099044507,3.168234264868118
2024-03-25,44.097236010516994,34.76355958472766,10.794345041009178,0.0,0.0,0.0,3.8991629998335426,3.277462099044507,3.168234264868118
2024-03-27,44.1107091947199,34.716888157322174,10.786923804836386,0.0,0.0,0.0,3.944213969478396,3.2752088062146063,3.166056067428534
2024-04-02,44.134674442121536,34.655131393002804,10.792784315864317,0.0,0.0,0.0,3.9726454508968363,3.2769882196669373,3.1677761784475704
2024-04-03,40.128342399628345,31.50930636785904,9.813067615131208,9.057597253204735,0.0,0.0,3.6319464720964247,2.9795190965052516,2.8802207955749863
2024-04-05,40.12770297144259,31.50920264481163,9.812911248043841,9.05864801753817,0.0,0.0,3.631888598563541,2.9794716191270094,2.880174900473226
2024-04-08,40.126743867371836,31.516416632430055,9.812676706756228,9.05843150411862,0.0,0.0,3.6318017917223457,2.9794004058965737,2.874529091704338
2024-04-09,40.12658402115078,31.516689439066003,9.812637617631648,9.05839541955493,0.0,0.0,3.631787324318911,2.9793885373557947,2.8745176409219324
2024-04-10,40.12626433252914,31.51723504581756,9.812559440316754,9.05832325129001,0.0,0.0,3.631758389857827,2.979364800557907,2.874494739630808
2024-04-11,40.12658402115078,31.516689439066003,9.812637617631648,9.05839541955493,0.0,0.0,3.631787324318911,2.9793885373557947,2.8745176409219324
2024-04-12,40.126743867371836,31.516416632430055,9.812676706756228,9.05843150411862,0.0,0.0,3.6318017917223457,2.9794004058965737,2.874529091704338
2024-04-15,40.08681785635409,31.5338455973383,9.82046164486007,9.065618057867903,0.0,0.0,3.6346831005638474,2.9817641287053047,2.8768096143104884
2024-04-26,40.08410119397766,31.53170856535374,9.821390693135848,9.065003685742255,0.0,0.0,3.6344367800186514,2.981562056132399,2.8817970256394467
