date,KINGSTON SECURITIES LTD,PRIME SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CEPA ALLIANCE SECURITIES LTD,GOLDEN EAGLE BROKERAGE LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD
2024-03-01,93.19048091445923,0.0,3.730751208412999,0.0,2.213542256096589,0.0,0.0,0.366309132391909,0.4989164886392782,0.0
2024-03-04,93.19090963259114,0.0,3.7307683715467554,0.0,2.214472529352342,0.0,0.0,0.36493068263020306,0.4989187838795527,0.0
2024-03-05,93.20280813447552,0.0,3.7312447115103202,0.0,2.2009521588844154,0.0,0.0,0.3660125099072984,0.4989824852224577,0.0
2024-03-06,93.18780896163965,0.0,3.7320260006776538,0.0,2.2145287202989525,0.0,0.0,0.366549349705558,0.4990869676781892,0.0
2024-03-07,93.1328564686789,0.0,3.7523589908943293,0.0,2.244605045955559,0.0,0.0,0.3680510545323317,0.5021284399388878,0.0
2024-03-08,91.4756227957656,0.0,3.7245049992304797,1.6706367357251142,2.229409382993044,0.0,0.0,0.40605911175868514,0.49376697452707446,0.0
2024-03-11,91.43843242170686,0.0,3.730539320559271,1.670805023514232,2.212543349252514,0.0,0.0,0.4085900375888347,0.539089847378288,0.0
2024-03-12,91.34552225003762,0.0,3.753906677560658,1.7050918121414202,2.2141062075811146,0.0,0.0,0.4410461890919514,0.5403268635872394,0.0
2024-03-13,90.5660233602091,0.0,3.789157285536435,1.7087361701732962,2.287020047071541,0.34306321727553096,0.0,0.5859528826812558,0.7200470370528422,0.0
2024-03-14,86.99262787422252,0.0,4.180485087619891,1.9614691402480924,2.636222801704671,1.5271454729255456,0.0,0.9427973519619391,1.759252271317346,0.0
2024-03-15,85.44830132868796,0.0,4.310566893570598,1.9991382369986437,2.7869068893948574,2.4636923668597843,0.0,1.0963802490101144,1.8950140354780431,0.0
2024-03-18,82.61106712969062,0.0,4.416582830105337,2.073325618666544,2.877946273416027,3.2834441847853517,0.0,1.9831658523963964,2.1071791567112057,0.6472889542285182
2024-03-19,80.74103614164724,0.0,4.568895614897472,2.116492359549487,3.0083739251561137,4.0897086854373175,0.0,2.3949411102148868,2.2338142920314503,0.8467378710660195
2024-03-20,65.25723917975067,6.029914221141692,5.509447240271792,3.225039322035422,3.2151985020265195,4.682107794432101,4.823931376913353,3.026172751022169,2.3648117592473485,1.8661378531589308
2024-03-21,52.167516568423835,12.952844527038229,6.308979806090529,3.668634155393038,4.033049483316731,5.62464320742108,5.181137810815292,4.0658978970373,3.158292081027731,2.839004463436239
