date,SINOPAC SECURITIES (ASIA) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,ICBC (ASIA) SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-03-01,0.0,2.001031281025406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.001031281025406
2024-03-04,0.0,2.1381332701824625,0.0,0.0,5.220783452372849,0.0,0.0,0.0,0.0,0.0,7.358916722555311
2024-03-05,0.0,2.1210040861298567,0.0,0.0,5.205230153253083,0.0,0.0,0.0,0.0,0.0,7.32623423938294
2024-03-06,0.0,2.1381332701824625,0.0,0.0,5.1727532202893425,0.0,0.0,0.0,0.0,1.6993018344649027,9.010188324936708
2024-03-07,0.0,2.258037558550703,0.0,2.8495699489497697,5.138426335447921,0.0,0.0,0.0,0.0,1.6993018344649027,11.945335677413297
2024-03-08,0.0,2.255639472783338,0.0,2.8495699489497697,5.138426335447921,0.0,0.0,0.0,0.0,1.7027276712754238,11.946363428456452
2024-03-11,0.0,2.255639472783338,0.0,2.8495699489497697,5.1364393500978185,0.0,0.0,0.0,0.0,1.7027276712754238,11.94437644310635
2024-03-12,0.0,2.257009807507546,0.0,2.8495699489497697,5.1364393500978185,0.0,0.0,0.04665989735929811,0.0,1.7027276712754238,11.992406675189857
2024-03-13,0.0,2.3254580269817593,0.0,2.8495699489497697,5.1364393500978185,0.0,0.0,0.04665989735929811,0.0,1.7027276712754238,12.06085489466407
2024-03-14,0.0,2.376777062403366,0.0,2.8495699489497697,5.134726431692558,0.0,0.0,0.048372815764558694,0.0,1.7027276712754238,12.112173930085676
2024-03-15,0.0,2.376914095875787,0.0,2.8495699489497697,5.134726431692558,0.0,0.0,0.048372815764558694,0.0,1.7027276712754238,12.112310963558096
2024-03-18,0.0,2.3768455791395766,0.0,2.8495699489497697,5.134726431692558,0.0,0.0,0.048372815764558694,0.0,1.7027276712754238,12.112242446821886
2024-03-19,0.0,2.376777062403366,0.0,2.8478570305445086,5.134726431692558,0.0,0.0,0.048372815764558694,0.0,1.7027276712754238,12.110461011680416
2024-03-20,0.0,2.3767085456671557,0.0,2.8478570305445086,5.134726431692558,0.0,0.0,0.048372815764558694,0.0,1.7013573365512156,12.109022160219997
2024-03-21,0.0,2.405417058139323,0.0,2.8307278464919032,5.134726431692558,0.0,0.0,0.048372815764558694,0.0,1.7013573365512156,12.120601488639558
