date,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,USMART SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,TIGER BROKERS (HK) GLOBAL LTD,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,MIRAE ASSET SECURITIES (HK) LTD,ORIENT SECURITIES (HONG KONG) LTD
2024-05-31,39100.0,5500.0,0.0,80500.0,2700.0,9000.0,0.0,0.0,0.0,0.0
2024-06-03,40600.0,5600.0,100.0,72600.0,2800.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,57300.0,6500.0,300.0,52700.0,3400.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,58000.0,6700.0,600.0,47300.0,0.0,13300.0,0.0,0.0,0.0,0.0
2024-06-13,58600.0,7000.0,700.0,45400.0,0.0,14200.0,0.0,0.0,0.0,0.0
2024-06-21,61300.0,8400.0,1800.0,138000.0,0.0,16600.0,0.0,0.0,0.0,0.0
2024-06-27,67300.0,12900.0,3400.0,123100.0,4500.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,67500.0,13200.0,3700.0,121700.0,4900.0,17000.0,0.0,0.0,0.0,0.0
2024-07-02,70700.0,13600.0,3900.0,117100.0,5000.0,0.0,0.0,0.0,0.0,0.0
2024-07-03,74200.0,14200.0,4400.0,110800.0,5200.0,18100.0,0.0,0.0,0.0,0.0
2024-07-04,80700.0,14700.0,4700.0,100500.0,0.0,18600.0,0.0,0.0,0.0,2000.0
2024-07-08,85600.0,14800.0,4900.0,91300.0,5700.0,20700.0,0.0,0.0,0.0,0.0
2024-07-09,87000.0,16700.0,5300.0,87100.0,5900.0,20800.0,0.0,0.0,0.0,0.0
2024-07-11,94900.0,17900.0,6400.0,69100.0,6300.0,21600.0,0.0,0.0,0.0,0.0
2024-07-12,101900.0,18900.0,9200.0,56100.0,7300.0,21700.0,0.0,0.0,0.0,0.0
2024-07-15,102200.0,20100.0,9400.0,52700.0,0.0,22200.0,0.0,0.0,0.0,0.0
2024-07-17,109300.0,21300.0,11700.0,139800.0,7200.0,22300.0,100.0,0.0,0.0,0.0
2024-07-22,117600.0,22900.0,13400.0,125800.0,7300.0,0.0,2100.0,0.0,0.0,0.0
2024-07-23,121900.0,25100.0,14000.0,115100.0,7600.0,23300.0,3100.0,0.0,0.0,0.0
2024-07-24,133700.0,25500.0,14400.0,92600.0,7400.0,0.0,12100.0,0.0,0.0,0.0
2024-07-25,133800.0,26300.0,15500.0,89300.0,7600.0,23400.0,0.0,0.0,0.0,0.0
2024-07-30,134800.0,29900.0,19800.0,77000.0,8700.0,0.0,13100.0,0.0,0.0,0.0
2024-07-31,136000.0,30900.0,20600.0,72200.0,0.0,0.0,14600.0,0.0,0.0,0.0
2024-08-01,136600.0,32800.0,21000.0,68300.0,0.0,24000.0,0.0,0.0,0.0,0.0
2024-08-02,142500.0,33600.0,22500.0,57900.0,8800.0,25500.0,15100.0,0.0,0.0,0.0
2024-08-05,142800.0,33400.0,22600.0,57400.0,8900.0,25700.0,0.0,0.0,0.0,0.0
2024-08-06,147810.0,35742.0,26300.0,41900.0,10800.0,25800.0,17100.0,0.0,0.0,0.0
