date,M&F ASSET MANAGEMENT LTD,HANG SENG SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-14,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,53.774928774928775,46.225071225071225,0.0,0.0
2024-04-08,0.0,0.0,0.0,38.26659908768373,32.74201723264065,28.99138367967562,0.0
2024-04-11,0.0,0.0,0.0,38.42239185750636,32.46819338422392,29.10941475826972,0.0
2024-04-17,0.0,0.0,0.0,38.44195519348269,32.43380855397149,29.124236252545828,0.0
2024-04-18,0.0,0.0,0.0,38.481141692150864,32.364933741080534,29.153924566768602,0.0
2024-04-24,0.0,0.0,0.0,38.481141692150864,32.415902140672785,29.10295616717635,0.0
2024-04-30,0.0,36.88091040230807,0.0,24.202596569963138,20.61227760859112,18.30421541913768,0.0
2024-05-09,0.0,36.89273689273689,0.0,24.178290844957512,20.618887285553953,18.310084976751643,0.0
2024-05-21,0.0,36.732403399070066,0.0,24.178290844957512,20.77922077922078,18.310084976751643,0.0
2024-05-22,0.0,36.720628305818245,0.0,24.170540150665172,20.804616124378907,18.30421541913768,0.0
2024-06-18,0.0,36.533248285759846,0.0,24.047201403284962,21.20873863817573,18.21081167277946,0.0
2024-08-12,95.9779108995985,1.469399797324166,0.0,0.967199866593122,0.8530343650987083,0.7324550713855074,0.0
2024-08-15,96.17719852232965,1.3965935553090063,0.0,0.9192767705831434,0.8107679740554248,0.6961631777227784,0.0
2024-08-16,96.18307132158644,1.394892901937385,0.0,0.918157353173975,0.8085629741479037,0.6953154491542968,0.0
2024-08-30,95.01906721041297,1.3780119576070349,1.2101964464012895,0.9070458455134914,0.7987777737678493,0.6869007662973522,0.0
2024-09-04,94.50519867430815,1.370559590327714,1.2036516349800788,0.9021404898359635,0.7980473563933523,0.6831859677670228,0.537216286387729
2024-09-13,94.50067597477955,1.3704939999760717,1.2035940322792913,0.902097316439946,0.8027948266992092,0.6831532727947071,0.5371905770312144
2024-09-24,94.50232035211941,1.3700842024686632,1.203234140273658,0.9018275763084872,0.8025547794469429,0.6829490000956846,0.5370299492871495
2024-09-25,94.49553902456526,1.3699858875307962,1.2031477982156098,0.904154806611333,0.8072810773315474,0.6828999928241682,0.5369914129212812
2024-09-26,94.51134286635846,1.3684311125446487,1.2017823650981374,0.903128695839157,0.8003918336140678,0.6821249805875115,0.5327981459580212
2024-10-03,94.51388971719605,1.3627309486038717,1.1999188921623587,0.9017283125991484,0.8086928517754267,0.6810672837223727,0.5319719939407674
2024-10-04,94.49022179823515,1.362389697114238,1.1996184116384452,0.9015025041736227,0.8335320772716432,0.6808967326496541,0.5318387789172431
2024-10-09,94.48803405554297,1.3623409608528194,1.199575498133861,0.9002778340865458,0.8370795225546427,0.6808723751833348,0.5318197536458271
2024-10-16,94.37549873158414,1.360718411681336,1.1981468027583577,1.018305682264807,0.8360825601753153,0.6800614556411753,0.5311863558948584
2024-10-17,94.38561593253448,1.3608642828215451,1.1982752459680301,1.018414846225314,0.825452033256307,0.6801343592919933,0.5312432999023274
2024-10-21,94.39193934272076,1.3599085855760418,1.1974337304940903,1.0176996417221145,0.822491757228048,0.6796567197933653,0.5308702224655708
2024-10-24,94.39980477584933,1.3516891650596385,1.1975335095112254,1.0177844439682882,0.8225602933123825,0.6797133538080613,0.5309144584910602
2024-10-25,94.43135434888674,1.3512548641605084,1.197148739185796,1.0174574274392203,0.8222960027608202,0.6497447431366249,0.5307438744302834
2024-10-31,94.42910691973583,1.3512227048253702,1.197120247515916,1.017433212351996,0.8246563931695128,0.6497292794668887,0.5307312429344916
2024-11-08,94.44034513537638,1.3394822969354359,1.1972627194287413,1.0175542993156799,0.8247545373400774,0.6498066051770306,0.5307944064266588
2024-11-18,94.43922119344012,1.339466355651822,1.1972484707114464,1.0175421893223526,0.8247447218718016,0.6509889796015519,0.5307880894008997
2024-11-27,94.42685959755822,1.3392910265716291,1.1970917572021849,1.0174089984173638,0.8377262396325427,0.6509037685781263,0.5307186120399348
2024-11-28,94.45158602630482,1.3396417306433375,1.1974052252573946,1.0176754151044456,0.8379456049514967,0.6248884127834314,0.5308575849550676
2024-12-02,94.46170511630122,1.3397852534342785,1.1975335095112254,1.0177844439682882,0.8380353784253506,0.6142418398685808,0.5309144584910602
2024-12-06,94.4414691040655,1.3394982385984957,1.1972769684851947,1.017566409597258,0.8592783014376845,0.614110254213082,0.5308007236027802
2024-12-20,94.42009601375719,1.3440731806348372,1.2013661658983974,1.021041820917624,0.8646014951396022,0.6162076954309872,0.532613628221357
2025-01-22,94.41896846152927,1.3440571298916872,1.201351819343436,1.021029627772006,0.8657853568826951,0.6162003367606491,0.532607267820251
2025-02-05,94.41107634991522,1.352303393594918,1.201251403052086,1.0209442839060971,0.8657129892770997,0.6161488309889427,0.5325627492656365
2025-02-11,94.39416912405535,1.3520612218096728,1.2010362818017932,1.0207614522271702,0.8679457026539797,0.6315588400329508,0.5324673774190852
2025-02-12,94.37952109246307,1.351851409745267,1.2008499056986655,1.0206030510659632,0.8678110153508248,0.646978776231289,0.5323847494449352
2025-02-17,94.3772679526356,1.3518191367456074,1.2008212375859435,1.0205786860198625,0.8701776165011459,0.6469633307868602,0.5323720397249809
2025-02-25,94.38177433987491,1.351883684285919,1.200878575180251,1.020627417275462,0.8654443011984911,0.6469942224132168,0.5323974597717614
2025-02-26,94.38064770272044,1.3518675468229622,1.2008642402683443,1.0206152340252825,0.854690652119418,0.6589235195110597,0.5323911045324866
2025-02-27,94.3772679526356,1.3518191367456074,1.2008212375859435,1.0205786860198625,0.8582410236822001,0.658899923605806,0.5323720397249809
2025-03-05,94.38064770272044,1.3518675468229622,1.2008642402683443,1.0206152340252825,0.8582717582037171,0.6589235195110597,0.5288099984481873
2025-03-17,94.38064770272044,1.3518675468229622,1.2008642402683443,1.0206152340252825,0.8594654602318169,0.6577298174829599,0.5288099984481873
2025-03-21,94.38177433987491,1.351883684285919,1.200878575180251,1.0194337009979468,0.8594757198109154,0.6577376689108533,0.528816310939216
2025-03-27,94.37952109246307,1.351851409745267,1.2008499056986655,1.0194093632869388,0.8618425764557023,0.6577219662425096,0.5288036861078617
