date,UOB KAY HIAN (HONG KONG) LTD,BOCI SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,KGI ASIA LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-05,64.12106121991076,0.0,0.0,28.79252556780955,0.0,4.828381021590337,0.0,0.0,2.2580321906893537,0.0
2024-03-06,64.12047950836136,0.0,0.0,28.793625172002145,0.0,4.827883614001184,0.0,0.0,2.2580117056353126,0.0
2024-03-08,62.39701934030284,0.0,0.0,28.019696678977052,0.0,4.703635154637162,0.0,2.682329012702818,2.1973198133801266,0.0
2024-03-11,62.382838027722,0.0,0.0,28.00648815892869,0.0,4.6913126875506785,0.0,2.707756770283375,2.2116043555152607,0.0
2024-03-12,60.98452651490797,0.0,0.0,27.353132830761567,0.0,4.503641984443929,2.3803593044921603,2.6428184128788494,2.135520952515526,0.0
2024-03-13,57.43339672993601,0.0,0.0,25.760604125053614,5.822962591238146,4.241334939874131,2.241668579517051,2.4888919041529363,2.0111411302281215,0.0
2024-03-15,57.42920351581836,0.0,0.0,25.766024345702093,5.822537456554595,4.241025279875591,2.241504915222931,2.4887101900760404,2.0109942967503893,0.0
2024-03-20,57.448210892333776,0.0,0.0,25.757214658094508,5.816393881732494,4.240242729783413,2.2410913147932545,2.488250975555936,2.008595547706623,0.0
2024-03-21,57.44797791984676,0.0,0.0,25.757921273225172,5.8153564572317675,4.240225534123549,2.2410822263880785,2.4882408848323245,2.009195704352357,0.0
2024-03-25,37.748186574172166,34.35948843261845,0.0,16.889585604734865,3.807715962333348,2.7809261536911642,1.4698001617556031,1.6318976662037705,1.3123994444906326,0.0
2024-03-26,37.78797199626139,34.36821792544605,0.0,16.898798281910164,3.8086833640817157,2.781632685598947,1.4701735843691328,1.6323122718810474,1.2522098904515582,0.0
2024-03-27,37.79707032469881,34.36282431203432,0.0,16.896811234135786,3.808085644243052,2.7811961470681417,1.4699428610892866,1.6320561031911014,1.252013373539506,0.0
2024-03-28,37.802529882269255,34.35980828339075,0.0,16.89532819926635,3.8077514081722357,2.7809520411946904,1.4698138440523516,1.6319128574581419,1.2519034841962309,0.0
2024-04-03,37.80237906778197,34.35967120375916,0.0,16.891404245011778,3.8077362170176197,2.7809409464913055,1.469807980179696,1.631906346885922,1.2561539928725483,0.0
2024-04-05,37.84348449823753,34.352681592589214,0.0,16.887968113534065,3.8073605010924862,2.754847408901423,1.469508984702847,1.6315743765721535,1.2525745243702833,0.0
2024-04-08,37.84343418258294,34.35263591821001,0.0,16.887945659756838,3.8073554389308373,2.7549767033776957,1.4695070308841784,1.631572207275804,1.2525728589816976,0.0
2024-04-09,37.84348449823753,34.352681592589214,0.0,16.887968113534065,3.8073605010924862,2.754980366323705,1.469508984702847,1.6315743765721535,1.2524415669480018,0.0
2024-04-10,37.847157902442966,34.35601615035267,0.0,16.889873341214766,3.7997518555603746,2.755247787693532,1.4696516275000393,1.6317327507878434,1.2505685844478027,0.0
2024-04-11,37.90348798345481,34.35464570579788,0.0,16.889465542538158,3.7996002853312407,2.6943728661955757,1.476241255026653,1.6316676617724748,1.2505186998832054,0.0
2024-04-12,37.90603687829841,34.35514818943971,0.0,16.889712574052528,3.799655859677873,2.690955133889108,1.47626284707241,1.6316915271418333,1.2505369904281254,0.0
2024-04-15,37.90603687829841,34.35514818943971,0.0,16.889712574052528,3.800054760584609,2.690556232982372,1.47626284707241,1.6316915271418333,1.2505369904281254,0.0
2024-04-17,37.90669738695747,34.35478274533337,0.0,16.889532914052698,3.8000143384735363,2.690527612878255,1.476247143703765,1.631674170440338,1.250523688160576,0.0
2024-04-19,37.932657698312894,34.33342271175427,0.0,16.888836767653487,3.799857710915383,2.69041671572561,1.476186296305636,1.6316069167096265,1.2470151826230949,0.0
2024-04-22,37.95798694967718,34.33095780254198,0.0,16.882970994084847,3.7995849066466194,2.674003597412622,1.4760803160416998,1.6314897782887476,1.2469256553063073,0.0
2024-04-24,37.95798694967718,34.33095780254198,0.0,6.109737076264031,3.7995849066466194,2.674003597412622,1.4760803160416998,12.404723696109563,1.2469256553063073,0.0
2024-04-25,37.95763369555536,34.330638303186916,0.0,6.109680216299137,3.7995495459982465,2.6739787119308445,1.4760665789734915,12.404608252164092,1.2478446958919114,0.0
2024-04-26,37.95860505089438,34.32995368173636,0.0,6.109824270360456,3.7994737753965273,2.673925387458158,1.4760371432597281,12.404360879516366,1.2478198113780197,0.0
2024-04-29,37.9599106995553,34.307103001273795,0.0,6.105757453277662,3.8576609458417606,2.652349707016828,1.4750546644185332,12.39610429724923,1.246059231366882,0.0
2024-04-30,37.9660784723448,34.30391271325712,0.0,6.105455357929755,3.857302214022071,2.651438830600568,1.4749174960537295,12.394951558033927,1.2459433577580332,0.0
2024-05-02,37.831795542924425,34.18748716050596,0.3448225743742972,6.084733785414506,3.8442107469888582,2.64243999615218,1.4699117089245528,12.352883788723453,1.2417146959917746,0.0
2024-05-06,37.478523039603736,33.67601762095349,0.33997976566271015,6.004238008011338,3.784869351754583,2.6027179351784695,1.448615077706693,12.179395572837926,1.2144854568502348,1.271158171440819
2024-05-07,37.76769258008662,33.622823270994466,0.33944273652710366,5.834448690642033,3.771071044715715,2.5986067041461407,1.4372038046889737,12.160157103560373,1.1994038037941326,1.2691502608444418
2024-05-09,37.76793869359138,33.623042374421495,0.3394449485087167,5.835008031590701,3.769922647332052,2.598623637989851,1.4372131702403554,12.160236345332343,1.1994116197196927,1.2691585312734097
2024-05-10,37.76892317968729,33.62391881668614,0.3394537967234642,5.832553459577484,3.7700209168314567,2.598691375571742,1.4372506336665287,12.160553322748084,1.19944288444061,1.2691916140671964
2024-05-13,37.837324421917266,33.60514521112382,0.339264265820744,5.8101007630370525,3.7619239633398367,2.595286508092825,1.4364481580051471,12.15376358973851,1.1922601463123748,1.268482972612421
2024-05-14,37.875252887297265,33.59696140440793,0.3391816453422535,5.807253318678499,3.7616589734878016,2.572645767222214,1.4360983421061635,12.150803803328895,1.1919697971253327,1.2681740610036467
2024-05-16,38.38714585532187,33.48310941214193,0.3380322406208727,5.528128191627216,3.7546222810221956,2.51629558102918,1.4214976689156515,12.10962766230857,1.197664581778465,1.2638765252340465
2024-05-17,38.434917360489926,33.45200280722674,0.3377836667547554,5.524063052176432,3.7580865306067226,2.514445209242981,1.4198039011545465,12.100722781047152,1.195227564616362,1.2629471266843837
2024-05-20,38.4366620895475,33.45352133999174,0.33779900023324405,5.524313813566982,3.758257126596544,2.514559350912107,1.419868352265477,12.101272085796676,1.1907423837096884,1.2630044573800485
2024-05-21,38.43671319699738,33.45187265369011,0.33881988710389077,5.527283854972607,3.7598875943333576,2.5144354261535047,1.419798377045867,12.100675700103306,1.1875710967330375,1.2629422128669343
2024-05-22,38.43725909070692,33.45573430598763,0.3389887069430579,5.52584661064395,3.7603216321738513,2.5090185912328202,1.4199622772173612,12.102072590573464,1.1877081888086187,1.2630880057123288
