date,CHINA DEMETER SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,CITIBANK N.A.,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,SUPREME CHINA SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,75.49287230815894,0.0,0.0,0.0,0.0,0.0,0.0,24.50712769184107,0.0
2024-03-18,0.0,75.61613519766624,0.0,0.0,0.0,0.0,0.0,0.0,24.38386480233377,0.0
2024-03-19,0.0,75.56697913516783,0.0,0.0,0.0,0.0,0.0,0.0,24.433020864832176,0.0
2024-03-20,0.0,53.52912315132824,29.480619611691317,0.0,0.0,0.0,0.0,0.0,16.990257236980444,0.0
2024-03-27,0.0,41.6094584286804,22.91598561621445,22.26762558570339,0.0,0.0,0.0,0.0,13.206930369401764,0.0
2024-04-02,0.0,41.554974392503,22.91598561621445,22.322109621880788,0.0,0.0,0.0,0.0,13.206930369401764,0.0
2024-04-08,0.0,41.586800261380965,22.90350686125027,22.30995425833152,0.0,0.0,0.0,0.0,13.199738619037246,0.0
2024-04-09,0.0,41.525562149507266,22.970544999183318,22.306310230304348,0.0,0.0,0.0,0.0,13.197582621005063,0.0
2024-04-10,0.0,41.53460763491804,22.97554865762675,22.289386265860696,0.0,0.0,0.0,0.0,13.20045744159451,0.0
2024-04-11,0.0,41.56642899907473,22.96304359658194,22.27725466717466,0.0,0.0,0.0,0.0,13.193272737168671,0.0
2024-04-12,0.0,41.661685594739986,22.925609954898658,22.24093897734065,0.0,0.0,0.0,0.0,13.171765473020702,0.0
2024-04-15,0.0,41.69336881551078,22.913159181013416,22.228860044533754,0.0,0.0,0.0,0.0,13.164611958942052,0.0
2024-04-16,0.0,41.43893525336824,23.013145693558066,22.325860470190367,0.0,0.0,0.0,0.0,13.222058582883326,0.0
2024-04-18,0.0,41.722127637620595,21.766496414383738,24.005571892895837,0.0,0.0,0.0,0.0,12.505804055099828,0.0
2024-04-22,0.0,41.75217862115196,21.755272521012735,23.993193420306298,0.0,0.0,0.0,0.0,12.499355437529006,0.0
2024-04-30,0.0,41.782198629077975,21.74406019687677,23.98082770705561,0.0,0.0,0.0,0.0,12.492913466989641,0.0
2024-05-03,0.0,41.90687361419069,21.60057752797401,23.993193420306298,0.0,0.0,0.0,0.0,12.499355437529006,0.0
2024-05-06,0.0,39.45291168147744,21.14382167502358,27.36930943752172,0.0,0.0,0.0,0.0,12.033957205977263,0.0
2024-05-07,0.0,41.82130420264275,20.31674855698135,26.298716786719456,0.0,0.0,0.0,0.0,11.563230453656443,0.0
2024-05-08,0.0,41.87675737501787,20.29738359624458,26.273650097698138,0.0,0.0,0.0,0.0,11.552208931039413,0.0
2024-05-09,0.0,42.80354546733574,19.973737278994513,25.854710875580363,0.0,0.0,0.0,0.0,11.368006378089387,0.0
2024-05-13,0.0,43.07053167156794,19.880502263921954,25.734024179620036,0.0,0.0,0.0,0.0,11.314941884890072,0.0
2024-05-16,0.0,43.22953032630452,19.82497788949402,25.662151468603085,0.0,0.0,0.0,0.0,11.28334031559838,0.0
2024-05-20,0.0,43.41390989653412,19.760590173061754,25.578805734700506,0.0,0.0,0.0,0.0,11.246694195703615,0.0
2024-05-22,0.0,43.1071495239873,19.87586335635617,25.704685458278888,0.0,0.0,0.0,0.0,11.312301661377637,0.0
2024-05-23,0.0,39.66250161020224,18.28760358967753,23.650650521705526,0.0,0.0,0.0,0.0,10.408347288419426,7.990896989995276
