date,THE HONGKONG AND SHANGHAI BANKING,HSBC BROKING SECURITIES (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,UOB KAY HIAN (HONG KONG) LTD,BOCI SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,HANG SENG SECURITIES LTD
2024-03-01,44.99072384006052,0.0,16.905427515936832,11.347563928964995,8.52379652098818,9.423492404108467,0.0,0.0,5.123426766941825,3.685569022999186
2024-03-04,38.137883866238184,0.0,16.874177561622588,10.109716356500337,7.6983788637103965,8.842487989155897,5.826627338597355,4.317644170764197,4.888091943831766,3.3049919095792837
2024-03-05,38.816565013839515,0.0,16.41763832277199,10.216415350766214,7.711847402069829,8.58839333923595,5.839572287999649,4.3248343797252335,4.782342708701671,3.3023911948899505
2024-03-06,33.201075702466106,14.930159928423548,13.917078067662025,8.67133330738472,6.5427102816717975,7.217952316371518,4.95469374591428,3.674162175335691,4.087208879932303,2.8036255948380164
2024-03-07,33.2460085565769,14.951478540274598,13.81413503691292,8.688079039294225,6.552675517797846,7.188468372927824,4.962027353343718,3.679110238441927,4.091611486711512,2.826405857718524
2024-03-08,33.07662195115822,14.969367836658593,13.834015219590043,8.701534380123254,6.559377748818288,7.216780658388427,4.976252439231682,3.683368626512645,4.10876337282032,2.8739177666985283
2024-03-11,33.07168631488804,14.965661867284574,13.832961269234206,8.697615719398877,6.55902201932964,7.215049136693741,4.975020467425096,3.68245673420884,4.101956661914758,2.8985698096222277
2024-03-12,33.08044167504423,14.968276258655152,13.793502050588707,8.697480696241742,6.558886143255268,7.188394087041826,4.975889567014131,3.6831000323932988,4.104603415301181,2.94942607446447
2024-03-13,33.05121252080066,14.97386614032789,13.748997964200438,8.748827510506809,6.564570889514612,7.194469798366613,4.978151309054436,3.68013008711192,4.096482840846885,2.9632909392697337
2024-03-14,33.0310245827409,14.96649383370367,13.773716889315658,8.741266475727342,6.568618084164976,7.215136584347684,4.975700341647076,3.6774804209056113,4.080183231438953,2.970379556008131
